"平成27年(2015年)産業連関表 輸入表 (統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計"
"耕種農業",61808,82635,1036,0,0,0,0,916644,206532,395674,46321,22594,3653,112,0,2499,49,0,0,0,0,549,0,812,28361,3367,0,0,0,156018,0,0,0,0,918,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,0,0,0,21,9,0,0,0,0,1620,0,2,0,26,0,0,0,0,0,0,0,131,0,0,0,0,0,0,214,3751,0,3294,0,2002,3018,930,115,0,0,5,3946,61282,56,13249,5361,0,0,2035220,6966,317087,0,0,0,0,-11686,312367,2347587,0,0,312367,2347587
"畜産",0,8227,2351,0,0,0,0,19633,0,1,0,1744,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6095,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,27,7149,15,0,13,23,0,0,0,0,0,22,393,0,0,4,0,0,47167,0,218,0,0,0,15012,0,15230,62397,0,0,15230,62397
"農業サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"林業",0,0,0,0,0,0,0,1158,0,0,0,28,0,121035,22,0,0,0,0,556,0,0,0,0,0,4648,0,0,0,0,1386,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,908,0,154,357,291,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,170,0,43,0,106,198,0,0,0,0,0,448,4404,0,0,78,0,0,136062,266,29088,0,0,0,0,-15673,13681,149743,0,0,13681,149743
"漁業",0,0,0,0,21658,0,0,74212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,543,0,2061,0,793,2359,0,0,0,0,0,3459,53319,0,5,419,0,0,206076,4160,37937,0,0,0,0,0,42097,248173,0,0,42097,248173
"石炭･原油･天然ガス",0,96,0,75,0,237,0,8595,1144,757,96,1134,191,12,0,44001,628,0,33502,3843,1274,31562,2387,7028,1301,2639,9045801,759461,324,728,30,6792,50867,8765,10851,60015,40331,1981,32,5579,2210,323,2186,546,476,5,503,1760,575,0,0,173,0,163,711,13,5053,0,168,134,242,20,8,133,56,5684614,1774755,0,11,264,42,78,0,0,154,1,0,3,0,134,17,136,0,0,3,0,0,14,5,115,1597,422,0,43,145,282,623,0,14,19,449,23,607,116,9,0,0,17612212,0,14,0,0,0,0,18795,18809,17631021,0,0,18809,17631021
"その他の鉱業",0,0,0,8,0,0,271,0,0,309,0,0,0,0,0,3483,0,0,2359,54766,0,453,211,0,412,833,0,796,0,356,9,39756,16257,26907,19612,1279949,0,280,0,1222165,0,191,132,48,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,982,58,5324,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,341,0,1,2682045,0,0,0,0,0,0,-19729,-19729,2662316,0,0,-19729,2662316
"食料品",0,10979,0,492,13783,0,0,1635459,85404,161346,0,5,7609,0,0,2459,2,0,0,1,0,561,105,0,26857,60017,33,0,1,0,20275,1,0,89,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,2871,10484,0,24851,0,18985,24723,9,0,0,0,0,59915,1403350,0,247,9717,0,0,3590522,37199,1955445,0,0,0,0,-26954,1965690,5556212,0,0,1965690,5556212
"飲料",0,0,0,0,0,0,0,898,62145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,19,0,0,96,0,69,184,0,0,0,0,0,3963,156707,0,0,566,0,0,224655,17466,415730,0,0,0,0,-149,433047,657702,0,0,433047,657702
"飼料･有機質肥料(別掲を除く。)",0,84630,1203,966,5602,0,0,0,0,3641,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,5003,942,0,298,118,0,0,0,0,0,0,0,0,807,0,0,0,105833,0,84310,0,0,0,0,2528,86838,192671,0,0,86838,192671
