"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",-106207,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-01-09",-106787,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-01-16",-123915,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-01-23",-139247,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-01-30",-138051,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-02-06",-145544,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-02-13",-164519,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-02-20",-161038,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-02-27",-158552,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-03-06",-170410,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-03-13",-148420,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-03-20",-147388,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-03-27",-152612,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-04-03",-149956,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-04-10",-153666,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-04-17",-156681,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-04-24",-159975,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-05-01",-171600,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-05-08",-177437,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-05-15",-187904,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-05-22",-194423,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-05-29",-189766,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2018-06-05",-184425,"ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
