"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"化学肥料",0.069438,0.015311,0.002207,0.000925,0.001901,0.000114,0.000266,0.01152,0.004493,0.023566,0.00283,0.002966,0.001367,0.000623,0.000423,0.000923,0.000721,0.000533,1.226602,0.009735,0.000485,0.013727,0.008724,0.00508,0.003358,0.006917,0.00009,-0.00363,0.002627,0.006025,0.001939,0.000857,0.000164,0.000349,0.000886,-0.003464,-0.001351,-0.000529,-0.000727,0.000315,0.000363,-0.000126,-0.000091,0.000056,0.000131,0.000413,0.000522,0.000351,0.000272,0.000459,0.000281,0.000932,0.00042,0.000397,0.000449,0.000438,0.000443,0.000096,0.000215,0.001042,0.000117,0.00022,0.000193,0.000669,0.000418,0.00017,0.000228,0.000287,0.000262,0.000084,0.000063,0.000049,0.000027,0.00001,0.000069,0.000077,0.000219,0.00012,0.000126,0.000054,0.000093,0.000126,0.000038,0.000068,0.000146,0.000098,0.000104,0.000254,0.00008,0.000286,0.000383,0.000833,0.000344,0.000524,0.000751,0.000336,0.000132,0.000191,0.000473,0.000077,0.001657,0.004111,0.000309,0.000555,0.001353,0.000818,0.001707
"無機化学工業製品",0.013907,0.007415,0.006405,0.00145,0.004916,0.001445,0.003064,0.010866,0.009773,0.010559,0.00153,0.031373,0.012315,0.005042,0.006865,0.02442,0.011515,0.007318,0.131041,1.201532,0.011165,0.059472,0.04559,0.036238,0.042156,0.077952,0.001093,0.002105,0.020116,0.056309,0.009039,0.046893,0.003434,0.023268,0.009141,0.01203,0.010803,0.005661,0.006552,0.005941,0.007821,0.00974,0.004763,0.005244,0.004587,0.007914,0.018522,0.010141,0.006888,0.01367,0.008795,0.025209,0.011509,0.010925,0.007635,0.007455,0.006667,0.008056,0.005415,0.011308,0.001796,0.00372,0.004242,0.002964,0.003951,0.0012,0.001333,0.011882,0.00975,0.000747,0.0007,0.000348,0.000287,0.000119,0.001057,0.000782,0.002813,0.001163,0.001725,0.000658,0.00195,0.001555,0.000439,0.000825,0.001638,0.001118,0.001191,0.003955,0.00129,0.000761,0.00807,0.009292,0.017078,0.002229,0.001882,0.001954,0.001497,0.002603,0.006826,0.000848,0.002864,0.004345,0.005725,0.002316,0.001751,0.011648,0.002888
"石油化学系基礎製品",0.00935,0.004791,0.004549,0.002767,0.004562,0.001648,0.003954,0.007266,0.008623,0.00605,0.003014,0.035874,0.020178,0.008889,0.010458,0.016067,0.01639,0.011991,0.033411,0.023995,1.226802,0.398926,0.414959,0.138506,0.036305,0.10831,0.001457,0.003231,0.106713,0.060075,0.017692,0.013173,0.002582,0.003542,0.01888,0.002095,0.001803,0.002136,0.001327,0.002653,0.006249,0.002908,0.002608,0.003465,0.003784,0.010182,0.011338,0.008566,0.008343,0.013279,0.006299,0.016036,0.010304,0.009899,0.012133,0.010693,0.012107,0.005295,0.005262,0.018145,0.001471,0.004084,0.004922,0.00274,0.003326,0.001296,0.00187,0.005862,0.002323,0.001359,0.001161,0.00049,0.00049,0.000198,0.000905,0.00087,0.003287,0.001288,0.002031,0.000907,0.001247,0.001797,0.000539,0.000961,0.001878,0.002162,0.001534,0.004366,0.001133,0.00086,0.006331,0.008128,0.003504,0.001959,0.001576,0.002856,0.001913,0.003286,0.007791,0.001252,0.002505,0.003271,0.004584,0.002132,0.002023,0.016957,0.00238
"有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)",0.01935,0.011516,0.012867,0.005814,0.010614,0.004279,0.010386,0.017703,0.020561,0.014451,0.008328,0.110466,0.059602,0.020549,0.02382,0.04591,0.041491,0.02672,0.024214,0.052459,0.035934,1.451921,0.566479,0.429377,0.118245,0.26335,0.003429,0.00901,0.192412,0.203859,0.039683,0.033952,0.006744,0.009285,0.059937,0.005806,0.004788,0.005507,0.003431,0.007085,0.014197,0.007127,0.006237,0.008874,0.009614,0.02267,0.027904,0.018509,0.018239,0.029311,0.01505,0.032446,0.021935,0.021228,0.026475,0.024953,0.025802,0.012975,0.012091,0.038208,0.003789,0.009252,0.011158,0.006334,0.00771,0.003259,0.003861,0.011657,0.006318,0.002977,0.002545,0.001097,0.001053,0.000425,0.002159,0.002213,0.008544,0.003321,0.004795,0.002139,0.002848,0.004386,0.00135,0.002244,0.004442,0.004598,0.003596,0.010589,0.002761,0.002234,0.013257,0.025165,0.009219,0.005047,0.004006,0.007142,0.004744,0.0075,0.02033,0.002908,0.006068,0.007696,0.011275,0.00497,0.004852,0.040094,0.005027
"合成樹脂",0.004837,0.003296,0.00256,0.004111,0.005112,0.001315,0.001983,0.006682,0.009866,0.00396,0.001668,0.015877,0.011626,0.008081,0.01131,0.008128,0.015561,0.013612,0.004137,0.00361,0.00117,0.002367,1.005194,0.069144,0.009688,0.032326,0.000947,0.001522,0.207536,0.011242,0.02507,0.007725,0.001454,0.002346,0.00551,0.001076,0.001027,0.001228,0.000906,0.001457,0.007874,0.002287,0.002313,0.003039,0.003477,0.013136,0.012631,0.01121,0.011674,0.018899,0.007105,0.02555,0.015015,0.014021,0.016607,0.012305,0.017223,0.004093,0.006232,0.023907,0.00132,0.004505,0.005645,0.00308,0.003816,0.001105,0.001274,0.009498,0.001462,0.001838,0.001497,0.000579,0.000655,0.000268,0.000945,0.000748,0.002702,0.001035,0.002074,0.001023,0.001465,0.001872,0.000495,0.00102,0.001821,0.003006,0.00158,0.003778,0.001108,0.000723,0.00342,0.003005,0.001686,0.001401,0.001138,0.002588,0.001653,0.003336,0.006926,0.001121,0.00224,0.003151,0.002481,0.002224,0.00147,0.018952,0.00326
"化学繊維",0.000998,0.000597,0.000825,0.000529,0.003304,0.000641,0.000704,0.00073,0.000474,0.000654,0.011366,0.159096,0.096655,0.000694,0.003228,0.002741,0.002631,0.000672,0.001157,0.000614,0.000392,0.000418,0.000384,1.002129,0.000436,0.000514,0.000424,0.000807,0.000893,0.003706,0.007596,0.002158,0.000534,0.001127,0.010144,0.000524,0.000449,0.000592,0.000391,0.000577,0.00065,0.000469,0.000436,0.000495,0.000575,0.00116,0.001068,0.000896,0.000702,0.001318,0.000654,0.000753,0.000789,0.000702,0.000972,0.000703,0.00071,0.00096,0.00049,0.01242,0.000488,0.000839,0.001205,0.000525,0.000591,0.00037,0.00047,0.000455,0.000418,0.000593,0.000329,0.000126,0.000095,0.000041,0.000356,0.000262,0.00061,0.00108,0.000591,0.000286,0.00034,0.000497,0.000286,0.00029,0.000474,0.00046,0.000467,0.000777,0.000511,0.000169,0.000487,0.000457,0.001016,0.00082,0.000502,0.002798,0.00065,0.000482,0.000653,0.000423,0.00134,0.00048,0.000824,0.001009,0.000823,0.00624,0.000502
"医薬品",0.002833,0.013841,0.04544,0.000134,0.006328,0.000073,0.0001,0.002621,0.000366,0.003902,0.000191,0.00017,0.000159,0.000132,0.000092,0.000117,0.000091,0.000093,0.000108,0.00011,0.000069,0.000097,0.000082,0.000119,1.039786,0.00161,0.000054,0.000083,0.000057,0.000212,0.000545,0.000069,0.00009,0.000053,0.000108,0.000066,0.000057,0.000082,0.000058,0.000078,0.000079,0.000055,0.000054,0.000057,0.000052,0.000064,0.000048,0.000052,0.000052,0.000047,0.000041,0.000066,0.000049,0.000051,0.000064,0.000072,0.000064,0.00011,0.000089,0.000199,0.000103,0.000088,0.000091,0.000077,0.00009,0.000123,0.000075,0.000103,0.005285,0.000043,0.000055,0.000033,0.000015,0.000006,0.000162,0.000071,0.000061,0.000136,0.000083,0.000042,0.000472,0.000101,0.000927,0.000114,0.000115,0.000026,0.00008,0.000079,0.000506,0.000119,0.000948,0.192733,0.017692,0.00844,0.004243,0.000058,0.00004,0.000075,0.00006,0.000029,0.000537,0.000779,0.000146,0.000187,0.000166,0.000115,0.002235
"化学最終製品(医薬品を除く。)",0.054673,0.017282,0.010047,0.003226,0.009936,0.004749,0.022899,0.01582,0.011286,0.021541,0.00559,0.034943,0.021226,0.047009,0.038564,0.025745,0.030948,0.041931,0.011218,0.02314,0.011134,0.024353,0.022351,0.02656,0.024447,1.14357,0.003963,0.016774,0.015883,0.021866,0.009395,0.010174,0.013208,0.007813,0.024287,0.008259,0.006911,0.009749,0.004666,0.011326,0.010421,0.012169,0.010864,0.007134,0.008262,0.01976,0.009094,0.011645,0.010734,0.010208,0.009172,0.014133,0.012018,0.014114,0.021102,0.025009,0.021946,0.024897,0.011515,0.040353,0.002594,0.014192,0.014882,0.006812,0.00748,0.003828,0.006385,0.005261,0.005392,0.002229,0.002677,0.001367,0.001136,0.000449,0.002265,0.002018,0.006395,0.002997,0.004905,0.001709,0.002717,0.003703,0.001258,0.00281,0.006387,0.004331,0.004871,0.015924,0.002871,0.001734,0.011737,0.008485,0.01375,0.007214,0.006077,0.0079,0.006763,0.013405,0.01411,0.006322,0.008059,0.009324,0.033559,0.006475,0.011022,0.03245,0.003935
"石油製品",0.048624,0.034743,0.022061,0.031523,0.078024,0.029917,0.125606,0.035186,0.024313,0.039438,0.007413,0.061596,0.037283,0.030446,0.02806,0.045233,0.034152,0.025693,0.120282,0.067483,0.855625,0.313714,0.310069,0.129522,0.041636,0.101428,1.077894,0.145751,0.090469,0.064817,0.03296,0.060913,0.047146,0.073025,0.057327,0.054834,0.043207,0.034001,0.032702,0.07264,0.05328,0.029377,0.026129,0.020857,0.018838,0.02509,0.025797,0.026749,0.024638,0.027072,0.01858,0.033124,0.022445,0.022505,0.028658,0.027592,0.029079,0.027449,0.024134,0.041356,0.057977,0.026122,0.02911,0.038221,0.029139,0.061203,0.05278,0.030165,0.032244,0.020903,0.009152,0.007428,0.005018,0.001406,0.012605,0.070085,0.377307,0.140493,0.270929,0.034158,0.009818,0.010448,0.022285,0.010403,0.015458,0.013464,0.012199,0.023267,0.022031,0.010805,0.021339,0.017356,0.014436,0.01218,0.012194,0.017821,0.012708,0.019357,0.024281,0.009168,0.027659,0.023341,0.024151,0.025393,0.02111,0.038316,0.040923
"石炭製品",0.001246,0.001053,0.001186,0.000498,0.001211,0.002487,0.001884,0.001118,0.001361,0.001112,0.00026,0.002353,0.001641,0.00121,0.004182,0.0041,0.001925,0.001521,0.00857,0.005882,0.002212,0.007496,0.004025,0.004485,0.00149,0.002754,0.001771,1.043608,0.00259,0.002701,0.001171,0.002314,0.003263,0.002262,0.011869,0.078925,0.054201,0.030964,0.030845,0.003956,0.003241,0.013723,0.010737,0.007292,0.006157,0.002823,0.002238,0.002705,0.004813,0.004166,0.001877,0.003333,0.002219,0.001952,0.005543,0.006417,0.005014,0.011354,0.004689,0.001936,0.001249,0.00402,0.003763,0.031068,0.017287,0.023936,0.001783,0.001732,0.002213,0.000699,0.000325,0.000481,0.000285,0.000075,0.001774,0.00041,0.001426,0.000781,0.00134,0.000352,0.001409,0.000638,0.000298,0.000524,0.000599,0.00035,0.00053,0.000854,0.000619,0.00071,0.000653,0.000685,0.000656,0.000745,0.000561,0.000737,0.0005,0.000653,0.002303,0.00028,0.001487,0.001643,0.001073,0.001074,0.000879,0.001994,0.000906
