"Date","受注額合計","民需","民需(船舶・電力を除く)","製造業","非製造業","非製造業(船舶・電力を除く)","官公需","外需","代理店"
"14年05月",-25.4,-12.8,-12.8,-13.7,-9.5,-11.3,26.8,-42.5,6.8
"14年06月",14.5,-3.3,5.3,4.5,-6.8,0,-23.6,45.8,-2.7
"14年07月",-15.3,11.8,1.6,14.6,11,-4.2,11.1,-41.8,2.6
"14年08月",6.4,-7.3,4.7,-2.6,-8.2,5.2,-18.8,34.9,-2
"14年09月",-1.1,15.7,4.1,10.4,12.3,3.6,14.4,-9.1,-0.9
"14年10月",-2.9,-10.2,-7.3,-7.9,-8.4,-5,3.5,-5.7,4.9
"14年11月",-5.5,-6.5,2.1,-1,-12.8,1.4,-7.2,-4.4,-6.6
"14年12月",6.7,16.2,8.9,18.2,21.8,3.5,-2.3,-2,9.1
"15年01月",9.1,6,-2.4,-9.5,8.8,4.4,30.7,17.4,-8.3
"15年02月",0.3,-9,-1.6,2.1,-9.4,-4.2,-18.7,15.4,2.9
"15年03月",-1.7,12.3,2.7,-3.3,20.5,1.6,-11.1,-18.7,-0.5
"15年04月",-2.1,-6,2.5,9.9,-14.8,0.9,25.4,-4.7,3.5
"15年05月",3.1,3.7,4.6,11.5,-3.5,2,-11,12.2,-8.8
"15年06月",-0.2,-4.6,-6.3,-13.1,5.9,-1.7,0,4.3,11.4
"15年07月",-0.7,-5.8,-7.2,-6.4,-6,-9.8,-24.2,4.4,-10.5
"15年08月",-8,-2.1,-2,-4.3,-0.2,-3.2,7.7,-15.7,18.8
"15年09月",4.1,6.3,6.5,2.2,0.6,17.9,54.1,4.4,-0.3
"15年10月",19.1,18.3,6,5,29.9,5.2,-40.5,32.3,0
"15年11月",-23.1,-25.5,-9.2,-8.9,-30.8,-12.4,-3,-29.3,1.2
"15年12月",6.1,10.8,2.9,5.1,14.7,5.7,20.7,1.7,-4.9
"16年01月",-5.1,13.5,11.2,26.5,-1.1,-0.6,-12.9,-22.8,12.1
"16年02月",5,1.4,-8.1,-26.4,27.1,6.9,24,12.7,-3
"16年03月",13.7,-0.3,2.3,15.9,-7.6,-6.4,43.7,14.3,-2
"16年04月",-12.2,-12.8,-7.6,-13,-14.5,-3.2,-35.3,-1.7,-4.8
"16年05月",-6.4,-1.9,0.7,1.1,1.4,3.2,0.4,-12.9,-6.7
"16年06月",5.2,3.2,5.7,10.9,-1,1.4,3.2,11.9,11.2
"16年07月",-1.3,-0.2,3.2,-2.3,-2.9,4.1,7.7,-10.6,1.2
"16年08月",-6.6,-2.9,-5.9,-7.2,-0.2,-3.3,-11.2,-4.4,-0.6
"16年09月",5.4,3.1,4.4,1.5,4.8,5.6,9.6,8.3,5.2
"16年10月",2.4,0.3,1.3,-3.3,0.3,2.2,1,3.2,-5.8
"16年11月",8,3,-4,9.6,3.3,-8,18.3,12.7,3.7
"16年12月",7.9,21.5,6.4,9.5,22.7,4.1,-0.5,-4.9,3.3
"17年01月",-10.2,-23.9,-4.4,-12.5,-25.9,0.6,11.3,-3.2,-7.7
"17年02月",-2.7,3.8,0.7,1,6.6,-1.1,-28.6,4,14.4
"17年03月",1.1,-2,0.3,4.4,-5.2,-4.2,15,-0.9,-5.7
"17年04月",3,-3.8,-4.9,-4.2,-4.8,-4.8,-13.6,9.2,1.2
"17年05月",-3.8,1.4,-1,2.4,2.1,-3.1,-20.2,-1.3,-1.2
"17年06月",2.6,2.9,-0.7,0.9,3,1,49.6,-0.3,5.7
"17年07月",3.5,-0.8,3.3,-2,-4.2,1.4,-12.7,7,-2.8
"17年08月",3.3,3.3,4,9.6,-1.9,3.5,13.4,5.7,0.8
"17年09月",-0.7,4.6,-3.7,2.5,12.9,-6.3,-17.6,-2.8,-4.8
"17年10月",-1.1,-2.2,3.5,1.5,-7.3,1.3,-1.8,-1.5,0.7
"17年11月",2.7,4.6,2.8,1.9,6.2,5.5,8.4,2.5,2.4
"17年12月",-0.4,-3.6,-6.6,-4.7,-2.8,-4.5,8.5,-4.6,-2.8
"18年01月",1.9,-3.3,6.1,5.6,-4,1.7,-14.5,6.3,0.1
"18年02月",-2.4,9.2,2.4,4,6.8,1.1,13.3,-4.7,2
"18年03月",-6.2,-12.8,-4.4,-10.7,-11.2,0.6,2.1,-5.3,4.1
"18年04月",9,10.6,6.3,11.1,9.3,-0.2,-6.3,6.7,-0.8
"18年05月",3,3.1,-0.7,1.8,7.8,-0.4,3.9,3.2,2.2
"18年06月",-11.9,-6.4,-9.3,-8.8,-11.9,-6.2,-7.3,-9.6,-9
"18年07月",13.7,9.7,10.9,5.8,15.5,10.4,36.2,5.2,8.8
"18年08月",-1.2,2.1,7.4,3.6,-1.1,5.2,-20.6,3.2,-4
"18年09月",-7.5,-13.8,-16.8,-10.6,-13.3,-12.9,13.5,-7.7,1.8
"18年10月",8.5,9.7,7.9,7.1,10.7,3.9,8.6,8,6.7
"18年11月",1.3,-11.6,-1.3,-3.9,-15,0.9,-19.1,19.6,-4.2
"18年12月",-6.8,9,1,-4,12.8,10.6,-6.3,-18.2,0.8
"19年01月",-4.9,0.1,-4.5,-0.6,8.8,-9.5,2.7,-17.5,-0.5
"19年02月",3.5,-0.1,1.3,1.7,-6.9,-2,0.8,18.2,-6.6
"19年03月",-2.2,-2.7,2.7,-7.2,2.2,10.2,-33.6,8.6,4.2
"19年04月",0,8.4,6.2,10.7,4.7,4.6,68.6,-23.5,2.6
"19年05月",-2.4,-3,-4.7,-3.4,-6.6,-3.7,18.6,0,-1.9
"19年06月",2,6,7.8,-3.4,15.9,17.6,-25.1,5.4,-6.5
"19年07月",-2,-4.7,-6,2,-6,-14,4.4,-4.4,-0.6
"19年08月",13.7,13.6,-2,-2,11.2,-8.3,32.4,17.1,2.3
"19年09月",-15.1,-18.4,-2,-2.1,-16.6,5.5,-37.6,-11.5,0.6
"19年10月",3.3,4.9,-3.2,-0.8,3.8,-1.8,23.5,1,-4.2
"19年11月",-0.5,5.1,11.9,-1.2,9.7,18.4,-3.3,-10.2,1.3
"19年12月",-4.6,-8.6,-11.9,2.4,-9.1,-18.8,-17.8,3,-2.6
"20年01月",11.5,-1.6,2.9,4.6,-5.1,-1.7,87.8,9.1,8.1
"20年02月",-6.9,3.1,2.3,-1.7,-6.8,5,-39.1,2.7,-2.7
"20年03月",3,-3.9,-0.4,-8.2,11.8,5.3,17.1,-1.3,-3.3
"20年04月",-8.3,2.6,-12,-2.6,4.3,-20.2,-7.2,-21.6,-8.9
"前月比:機械受注統計調査:主要需要者別受注額(季調系列・月次)(単位:%) Source:内閣府",,,,,,,,,
"機械受注統計",,,,,,,,,
