"Date","全産業活動指数【月次】業種別指数(2010=100.0):全産業活動指数(ウエイト:100):季節調整値:経済産業省"
"2008-01-01",106.6
"2008-02-01",107.6
"2008-03-01",108.7
"2008-04-01",107.5
"2008-05-01",107.2
"2008-06-01",106
"2008-07-01",105.8
"2008-08-01",104.3
"2008-09-01",105.1
"2008-10-01",104.3
"2008-11-01",102.1
"2008-12-01",100
"2009-01-01",96.7
"2009-02-01",94.5
"2009-03-01",95
"2009-04-01",95.9
"2009-05-01",96.1
"2009-06-01",96.5
"2009-07-01",96.5
"2009-08-01",96.8
"2009-09-01",97.6
"2009-10-01",97.9
"2009-11-01",98.2
"2009-12-01",98.3
"2010-01-01",99.8
"2010-02-01",99.3
"2010-03-01",100
"2010-04-01",100.2
"2010-05-01",99.4
"2010-06-01",99.5
"2010-07-01",100.2
"2010-08-01",100.7
"2010-09-01",100.7
"2010-10-01",99.7
"2010-11-01",100.6
"2010-12-01",100.4
"2011-01-01",101.2
"2011-02-01",101.4
"2011-03-01",94.2
"2011-04-01",95.7
"2011-05-01",97.2
"2011-06-01",99.4
"2011-07-01",100.1
"2011-08-01",100.3
"2011-09-01",100.2
"2011-10-01",100.9
"2011-11-01",100.1
"2011-12-01",101.2
"2012-01-01",101.1
"2012-02-01",101.5
"2012-03-01",101
"2012-04-01",101.2
"2012-05-01",101.1
"2012-06-01",101.1
"2012-07-01",100.8
"2012-08-01",100.7
"2012-09-01",99.8
"2012-10-01",100.3
"2012-11-01",100.1
"2012-12-01",100.7
"2013-01-01",100.2
"2013-02-01",100.9
"2013-03-01",101.2
"2013-04-01",101.3
"2013-05-01",102.2
"2013-06-01",101.6
"2013-07-01",102.2
"2013-08-01",102.3
"2013-09-01",102.6
"2013-10-01",102.5
"2013-11-01",103.1
"2013-12-01",103
"2014-01-01",104
"2014-02-01",103.3
"2014-03-01",105
"2014-04-01",100.8
"2014-05-01",101.5
"2014-06-01",100.9
"2014-07-01",100.9
"2014-08-01",100.7
"2014-09-01",101.6
"2014-10-01",101.7
"2014-11-01",101.5
"2014-12-01",101.9
"2015-01-01",102.8
"2015-02-01",102.4
"2015-03-01",102.4
"2015-04-01",102.7
"2015-05-01",102.1
"2015-06-01",102.6
"2015-07-01",102.5
"2015-08-01",102.5
"2015-09-01",102.2
"2015-10-01",103
"2015-11-01",102.1
"2015-12-01",101.5
"2016-01-01",102.6
"2016-02-01",102.3
"2016-03-01",102.3
"2016-04-01",102.7
"2016-05-01",102.2
"2016-06-01",102.8
"2016-07-01",102.9
"2016-08-01",103.3
"2016-09-01",103.3
"2016-10-01",103.3
"2016-11-01",103.6
"2016-12-01",103.6
"2017-01-01",103.6
"2017-02-01",103.8
"2017-03-01",103.4
"2017-04-01",105.1
"2017-05-01",104.8
"2017-06-01",104.8
"2017-07-01",104.8
"2017-08-01",105.1
"2017-09-01",104.7
"2017-10-01",104.9
"2017-11-01",105.6
"2017-12-01",106
"2018-01-01",105
"2018-02-01",105.6
"2018-03-01",105.4
"2018-04-01",106
"2018-05-01",106.1
"2018-06-01",105.6
"2018-07-01",105.6
"2018-08-01",105.9
"2018-09-01",105.1
"2018-10-01",106.6
"2018-11-01",106.3
"2018-12-01",106.2
"2019-01-01",106.2
"2019-02-01",106.2
"2019-03-01",106
"2019-04-01",106.4
"2019-05-01",106.5
"2019-06-01",105.8
"2019-07-01",105.9
"2019-08-01",105.6
"2019-09-01",108.2
"2019-10-01",102.8
"2019-11-01",103.4
"2019-12-01",103.5
"2020-01-01",104.1
"2020-02-01",103.4
"2020-03-01",99.5
" Source:経済産業省",
"全産業活動指数:季節調整値",
