"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",54023,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-01-15",52175,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-01-22",48156,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-01-29",54283,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-02-05",57095,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-02-12",53203,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-02-19",50269,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-02-26",58313,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-03-05",32521,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-03-12",27082,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-03-19",23310,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-03-26",26677,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-04-02",16783,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-04-09",16418,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-04-16",5885,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-04-23",-110,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-04-30",2136,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-05-07",-957,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-05-14",-2209,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-05-21",-14662,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
"2019-05-28",-22409,"SILVER - COMMODITY EXCHANGE INC.","(CONTRACTS OF 5,000 TROY OUNCES)"
