"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9588)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=7063)","生鮮食品及びエネルギーを除く総合(ウエイト=9038)"
"71年01月",6.2,6.1,5.8,6.1
"71年02月",5.6,5.6,5.3,5.9
"71年03月",4.6,5.9,5.1,6
"71年04月",5.4,6.1,6,6.7
"71年05月",5.9,6.9,6,6.9
"71年06月",7.2,7.9,7.6,8
"71年07月",7.2,7.5,7.2,7.7
"71年08月",6.7,7.1,6.6,7.3
"71年09月",8.6,7.2,6.3,7.2
"71年10月",6.4,6.3,6,6.5
"71年11月",5.8,6,6.3,6.4
"71年12月",4.9,5.8,5.8,6.1
"72年01月",4.2,5.6,5.3,5.8
"72年02月",4.7,6.1,6.1,6.3
"72年03月",5.4,6.3,6.1,6.3
"72年04月",5,5.8,5.4,5.8
"72年05月",6,5.9,6.4,6.3
"72年06月",5.1,5.9,6.1,6.2
"72年07月",5.9,6.3,7.1,6.7
"72年08月",7.6,7.1,8,7.2
"72年09月",4.9,6.4,7.3,6.5
"72年10月",5,6.8,7.2,6.8
"72年11月",5.9,7.2,7.3,7
"72年12月",7,7.6,7.4,7.5
"73年01月",8,8,8,8
"73年02月",8.5,8.7,8,8.5
"73年03月",10,9.8,9.1,9.8
"73年04月",10.5,10.1,9.5,10.2
"73年05月",11.5,11,10.2,10.8
"73年06月",11.6,11.3,10.6,11.2
"73年07月",12.1,11.2,10.6,11.4
"73年08月",12.1,11.3,10.9,11.6
"73年09月",13.6,12.5,11.9,12.8
"73年10月",12.8,12.5,11.9,12.7
"73年11月",13.8,13.3,12.5,13.5
"73年12月",15.7,15,14.3,15.1
"74年01月",19,17.8,15.8,18.1
"74年02月",21.6,19.5,17.6,20.1
"74年03月",20.1,19,17.6,19.2
"74年04月",21.8,19.8,18.3,19.8
"74年05月",19.9,19.8,18.6,20.3
"74年06月",20.2,19.7,17.7,19.4
"74年07月",21.5,20.5,18.4,20.1
"74年08月",21.4,20.3,17.6,19.8
"74年09月",20.7,20.3,16.9,19.2
"74年10月",24,23.3,19.6,22.6
"74年11月",23.7,23.1,19.5,22.4
"74年12月",21,21,17.4,20.3
"75年01月",16.9,17.9,15.4,16.9
"75年02月",13.9,15.2,13,14.2
"75年03月",14,15,12.1,13.9
"75年04月",13.6,15.2,13.9,14.8
"75年05月",14.7,14.2,13,13.7
"75年06月",14.1,13.6,13.1,13.9
"75年07月",12,12.4,11.5,12.9
"75年08月",10.9,11.9,11.3,12.3
"75年09月",11,12.3,11.5,12.7
"75年10月",10.2,9.3,9.3,9.6
"75年11月",8.8,8.2,8.6,8.8
"75年12月",8.1,7.8,8.4,8.3
"76年01月",9.7,9.2,9.9,9.7
"76年02月",10.5,9.7,10.8,10.1
"76年03月",9.9,9.4,10.7,10
"76年04月",10.1,9,9.4,9.3
"76年05月",9.5,8.8,9.6,9.3
"76年06月",9.4,8.7,9.2,9.1
"76年07月",9.8,9,9.7,9.1
"76年08月",9,8.6,9.4,8.9
"76年09月",9.3,8.6,9.4,8.7
"76年10月",8.7,9.3,9.7,9
"76年11月",9.5,9.7,10.6,9.4
"76年12月",10.6,10.6,11.9,10.2
"77年01月",9.5,9.2,10,8.8
"77年02月",9.2,8.8,9.2,8.2
"77年03月",9.1,8.5,8.9,8
"77年04月",8.4,8.4,9.3,8.1
"77年05月",9.2,9,9.7,8.7
"77年06月",8.9,9,9.5,8.8
"77年07月",8.2,8.9,9.5,8.8
"77年08月",9.6,8.9,9.5,8.8
"77年09月",8.3,8.2,8.9,8.2
"77年10月",8,7.7,9,8.2
"77年11月",6.6,7.3,8.1,7.5
"77年12月",5.5,6.1,6.7,6.6
"78年01月",5,6,6.7,6.4
"78年02月",5,6.2,7.1,6.7
"78年03月",5.6,6.4,7.5,6.8
"78年04月",5.3,6.1,6.7,6.4
"78年05月",5,5.6,6.4,5.8
"78年06月",4.5,4.8,5.9,5.1
"78年07月",5.4,4.9,6,5.2
"78年08月",5,4.9,5.8,5.1
"78年09月",4.9,4.4,5.7,4.8
"78年10月",4.5,3.9,5.9,4.7
