"Date","景気動向指数:CI指数(H27=100):一致指数:内閣府","景気動向指数:CI指数(H27=100):先行指数:内閣府","景気動向指数:CI指数(H27=100):遅行指数:内閣府"
"1985-01-01",84.2,82.6,87
"1985-02-01",83.7,82.8,86.5
"1985-03-01",84,82.6,87.1
"1985-04-01",84.6,83.3,87.7
"1985-05-01",84.6,83.3,87.8
"1985-06-01",84.1,82.5,88.1
"1985-07-01",84.8,82.3,89.1
"1985-08-01",84.2,81,89.3
"1985-09-01",84.1,81.2,88.9
"1985-10-01",84.2,80.8,88.2
"1985-11-01",84,80.1,88.6
"1985-12-01",83.4,80.1,89.1
"1986-01-01",83.5,80.7,88.9
"1986-02-01",83.2,79.9,89.1
"1986-03-01",82.8,79.7,88.7
"1986-04-01",82.9,79.1,87.2
"1986-05-01",82.1,78,87.8
"1986-06-01",82,78,87.8
"1986-07-01",81.3,77.6,87.3
"1986-08-01",81.2,78.4,87.2
"1986-09-01",82.1,78.1,87.4
"1986-10-01",81.8,77.9,87.4
"1986-11-01",81.3,77.7,86.8
"1986-12-01",82,79,86.8
"1987-01-01",82.3,80,86.7
"1987-02-01",82.6,81,86.9
"1987-03-01",83.4,82.6,87.5
"1987-04-01",83.5,83.6,87.6
"1987-05-01",84.1,85.9,87
"1987-06-01",85.8,87.8,87.8
"1987-07-01",87,88.8,88.6
"1987-08-01",87.9,91,89.4
"1987-09-01",89.4,92.1,89.8
"1987-10-01",90.5,93.4,90.3
"1987-11-01",91.4,94.2,90.7
"1987-12-01",92.4,93.7,91.6
"1988-01-01",93.2,95.1,92
"1988-02-01",95.6,96,93
"1988-03-01",94.5,95.1,93.8
"1988-04-01",96.1,95.3,94.2
"1988-05-01",95.9,95.7,95
"1988-06-01",96.8,95.6,95.6
"1988-07-01",97.4,95.3,96
"1988-08-01",97.8,95.1,97.1
"1988-09-01",98.3,95,98.1
"1988-10-01",98.7,95.9,99
"1988-11-01",100.1,96.5,99.3
"1988-12-01",100.3,98,100.1
"1989-01-01",100.6,97.1,100.4
"1989-02-01",100.7,96.2,100.9
"1989-03-01",104.5,97.3,102.1
"1989-04-01",101.9,97.3,102.7
"1989-05-01",101.6,96.6,103.3
"1989-06-01",102,97,104.6
"1989-07-01",101.6,96.8,104.9
"1989-08-01",102.6,97.3,104.8
"1989-09-01",103,97.4,105.4
"1989-10-01",102.6,96.8,105.5
"1989-11-01",103.6,97.6,106.7
"1989-12-01",104.2,98.4,107.1
"1990-01-01",104,97.4,107.6
"1990-02-01",104.1,98.2,108
"1990-03-01",104,97.4,108.2
"1990-04-01",104.6,98,108.2
"1990-05-01",105.7,99.4,108.2
"1990-06-01",106.5,98.7,108.2
"1990-07-01",107,97.7,107.8
"1990-08-01",106.5,96.8,108.4
"1990-09-01",106,95.3,108.6
"1990-10-01",107.3,95.7,109.1
"1990-11-01",106.7,95.1,109.2
"1990-12-01",106.7,95.1,110.3
"1991-01-01",106.3,93.9,110.1
"1991-02-01",105.8,93,110.2
"1991-03-01",104.6,92.1,110.4
"1991-04-01",104.1,91.3,110.7
"1991-05-01",104.5,90.6,111.4
"1991-06-01",102.6,89.3,111.8
"1991-07-01",103.5,88.8,111.2
"1991-08-01",102.1,87.9,110.3
"1991-09-01",100.9,86.9,110.1
"1991-10-01",99.9,86.8,109.8
"1991-11-01",100.1,85.7,110
"1991-12-01",97.8,84.5,109.2
"1992-01-01",96.3,84,108.5
"1992-02-01",95.5,83.4,108.4
"1992-03-01",93.5,82.9,107.3
"1992-04-01",92,81.3,106.7
"1992-05-01",89.9,80.7,106.3
"1992-06-01",89.9,80.5,105.7
"1992-07-01",88.9,79.9,104.8
"1992-08-01",86.8,79.4,104.3
"1992-09-01",88,79.7,103.7
"1992-10-01",85.5,78.1,102.7
"1992-11-01",83.8,77.9,101.8
"1992-12-01",83.2,78.6,100.7
"1993-01-01",84.1,78.4,100.6
"1993-02-01",83.9,79.4,99.9
"1993-03-01",82.9,79.1,98.6
"1993-04-01",82.2,80,98
"1993-05-01",82.2,81,96.8
"1993-06-01",81.1,81.1,96
"1993-07-01",80.6,81.3,95.8
"1993-08-01",80.4,80.9,95.2
"1993-09-01",80.3,80.9,94.2
"1993-10-01",78.9,80,93.9
"1993-11-01",78.6,79.6,93.3
"1993-12-01",78.1,79.2,92
"1994-01-01",78.4,80.2,92.4
"1994-02-01",78.4,81.1,91.4
"1994-03-01",79.7,83.5,91.1
"1994-04-01",79.9,84.3,91
"1994-05-01",80.2,84.7,89.9
"1994-06-01",81.2,86.1,89.8
"1994-07-01",82.1,86.7,89.8
"1994-08-01",82.6,87.4,90
"1994-09-01",82.4,87.8,90.2
"1994-10-01",83.4,87.9,90
"1994-11-01",84.1,89.2,89.8
"1994-12-01",84.9,90,90.3
"1995-01-01",83.3,88.5,89.6
"1995-02-01",84.6,90.1,89.9
"1995-03-01",85.1,88.7,90.3
"1995-04-01",85.8,87.9,89.7
"1995-05-01",85,87.3,89.8
"1995-06-01",84.8,86.7,89.7
"1995-07-01",83.9,85.7,89.6
"1995-08-01",85.2,86.9,89.7
"1995-09-01",85,87.4,90.3
"1995-10-01",85.3,88.1,90.2
"1995-11-01",86.2,90.5,90.3
"1995-12-01",87.1,91.3,91
"1996-01-01",87.2,90.9,90.8
"1996-02-01",88.6,91.9,92
"1996-03-01",88.9,92.1,92
"1996-04-01",89.5,93.1,92.1
"1996-05-01",90.1,93.8,92.6
"1996-06-01",90.2,93.5,92.2
"1996-07-01",91.1,94.8,93.1
"1996-08-01",91.1,95.2,93.5
"1996-09-01",91.8,95.3,93.2
"1996-10-01",93.1,97.4,94.3
"1996-11-01",93.8,96.9,94.9
"1996-12-01",94.1,96,94.4
"1997-01-01",95.6,96.3,95.4
"1997-02-01",95.8,96.3,95.6
"1997-03-01",97.4,95,96.7
"1997-04-01",95,94.2,97.4
"1997-05-01",96.1,95.6,98
"1997-06-01",96.1,94.5,98.5
"1997-07-01",95.8,94.3,98.6
"1997-08-01",95.5,93.6,98.7
"1997-09-01",94.5,93,99.3
"1997-10-01",93.8,91.5,99.1
"1997-11-01",92,88.8,98.8
"1997-12-01",91.5,87.6,98.8
"1998-01-01",91.1,86.9,97.9
"1998-02-01",88.9,86.2,96.9
"1998-03-01",86.1,85.1,95.6
"1998-04-01",86.3,83.6,94.8
"1998-05-01",85.3,84.3,94.2
"1998-06-01",84.7,83.1,93.9
"1998-07-01",84.9,82.8,93.4
"1998-08-01",83.8,82.8,92.9
"1998-09-01",84.6,82.8,92.6
"1998-10-01",84.1,81.2,92.2
"1998-11-01",83.7,82.7,91.5
"1998-12-01",83.6,82.4,91
"1999-01-01",84,82.3,91.1
"1999-02-01",84.2,83.1,90.2
"1999-03-01",85.2,85.4,89.8
"1999-04-01",84.8,87.1,89.5
"1999-05-01",85.3,86.7,89.2
"1999-06-01",85.2,88.2,88.9
"1999-07-01",86.1,89.4,89.1
"1999-08-01",87.2,89.2,89.2
"1999-09-01",88,90.1,89.5
"1999-10-01",88.4,91.1,89
"1999-11-01",89.1,91.2,89.5
"1999-12-01",89.2,92,89.6
"2000-01-01",89.5,93.4,89.6
"2000-02-01",90.4,93.6,90
"2000-03-01",91.4,92.9,90.9
"2000-04-01",92.5,94,90.6
"2000-05-01",92.5,94,90.6
"2000-06-01",93.6,94.8,90.4
"2000-07-01",93.6,94.9,90.4
"2000-08-01",95,95.6,90.6
"2000-09-01",94.1,95.9,90.3
"2000-10-01",95.3,95.8,91.1
"2000-11-01",95.9,95.8,91.4
"2000-12-01",96.6,96,91.7
"2001-01-01",94.6,93,91.5
"2001-02-01",94.1,92.5,91.9
"2001-03-01",92.8,91.1,91.4
"2001-04-01",91.6,90.1,91.2
"2001-05-01",90.5,90.2,91.3
"2001-06-01",90,89,90.8
"2001-07-01",88.5,87.5,90.7
"2001-08-01",87,86.6,90.8
"2001-09-01",85.5,84.4,90.3
"2001-10-01",84.8,83.4,90.2
"2001-11-01",83.8,83.8,89.5
"2001-12-01",83.6,83.7,88.4
"2002-01-01",83.8,85,88.9
"2002-02-01",84.5,85.6,88.4
"2002-03-01",85.2,87.8,88.1
"2002-04-01",86,89.3,88
"2002-05-01",88.6,91.4,87.4
"2002-06-01",87.6,90.9,87.3
"2002-07-01",87.9,91,87.6
