"Date","機械受注統計調査:主要需要者別受注額(季調系列・月次)(単位:億円):民需(船舶・電力を除く):内閣府"
"2005-04-01",8897.42
"2005-05-01",8729.03
"2005-06-01",8682.7
"2005-07-01",9152.82
"2005-08-01",9494.75
"2005-09-01",9433.87
"2005-10-01",9589.95
"2005-11-01",9659.15
"2005-12-01",9646.72
"2006-01-01",9188.03
"2006-02-01",9446.87
"2006-03-01",9500.37
"2006-04-01",9914.77
"2006-05-01",10032.73
"2006-06-01",10497
"2006-07-01",9566.65
"2006-08-01",9401.48
"2006-09-01",9547.17
"2006-10-01",9230.14
"2006-11-01",9881.17
"2006-12-01",9451.82
"2007-01-01",9757.5
"2007-02-01",9355.8
"2007-03-01",9259.64
"2007-04-01",9205.87
"2007-05-01",9350.57
"2007-06-01",8761.11
"2007-07-01",9436.51
"2007-08-01",9203.78
"2007-09-01",9364.23
"2007-10-01",9648.15
"2007-11-01",9574.89
"2007-12-01",9326.31
"2008-01-01",10708.73
"2008-02-01",9513.66
"2008-03-01",8890.95
"2008-04-01",8955.06
"2008-05-01",9814.19
"2008-06-01",9588.87
"2008-07-01",8974.12
"2008-08-01",8707.19
"2008-09-01",8697.73
"2008-10-01",8179.71
"2008-11-01",7378.53
"2008-12-01",6981.96
"2009-01-01",6343.36
"2009-02-01",6765.8
"2009-03-01",6773.39
"2009-04-01",6300.02
"2009-05-01",6125.69
"2009-06-01",6422.16
"2009-07-01",5823.72
"2009-08-01",6382.85
"2009-09-01",6620.23
"2009-10-01",6580
"2009-11-01",6158.36
"2009-12-01",6764.78
"2010-01-01",6660.31
"2010-02-01",6510.12
"2010-03-01",6738.05
"2010-04-01",7041.8
"2010-05-01",6689.9
"2010-06-01",6550.98
"2010-07-01",7029.36
"2010-08-01",7554.89
"2010-09-01",6841.46
"2010-10-01",7147.9
"2010-11-01",6768.48
"2010-12-01",6819.59
"2011-01-01",7193.55
"2011-02-01",7271.42
"2011-03-01",7148.1
"2011-04-01",6993.08
"2011-05-01",7352.86
"2011-06-01",7845.06
"2011-07-01",7456.38
"2011-08-01",7548.75
"2011-09-01",7482.12
"2011-10-01",7422.33
"2011-11-01",7518.81
"2011-12-01",7284.12
"2012-01-01",7490.48
"2012-02-01",7722.7
"2012-03-01",7206.74
"2012-04-01",7601.3
"2012-05-01",7219.65
"2012-06-01",7222.26
"2012-07-01",7507.82
"2012-08-01",7309.88
"2012-09-01",7075.01
"2012-10-01",7051.07
"2012-11-01",7486.68
"2012-12-01",7248.19
"2013-01-01",6644.54
"2013-02-01",7049.87
"2013-03-01",7458.83
"2013-04-01",7229.77
"2013-05-01",8176.21
"2013-06-01",7810.46
"2013-07-01",7793.28
"2013-08-01",8226.6
"2013-09-01",8062.43
"2013-10-01",8134.56
"2013-11-01",8912.8
"2013-12-01",7692.48
"2014-01-01",8273.59
"2014-02-01",7827.77
"2014-03-01",8830.96
"2014-04-01",8263.65
"2014-05-01",7208.43
"2014-06-01",7590.71
"2014-07-01",7712.28
"2014-08-01",8073.23
"2014-09-01",8401.18
"2014-10-01",7786.35
"2014-11-01",7949.07
"2014-12-01",8653.09
"2015-01-01",8446.91
"2015-02-01",8309.92
"2015-03-01",8534.33
"2015-04-01",8751.48
"2015-05-01",9153.34
"2015-06-01",8580.95
"2015-07-01",7960.78
"2015-08-01",7801.16
"2015-09-01",8304.54
"2015-10-01",8804.51
"2015-11-01",7997.56
"2015-12-01",8227.39
"2016-01-01",9145.89
"2016-02-01",8409.62
"2016-03-01",8607.01
"2016-04-01",7951.99
"2016-05-01",8010.93
"2016-06-01",8466.46
"2016-07-01",8733.34
"2016-08-01",8219.44
"2016-09-01",8584.88
"2016-10-01",8693.45
"2016-11-01",8349.3
"2016-12-01",8884.7
"2017-01-01",8492.64
"2017-02-01",8555.68
"2017-03-01",8578.47
"2017-04-01",8156.04
"2017-05-01",8076.84
"2017-06-01",8017.28
"2017-07-01",8280.17
"2017-08-01",8609.02
"2017-09-01",8294.46
"2017-10-01",8580.68
"2017-11-01",8816.73
"2017-12-01",8238.73
"2018-01-01",8743.97
"2018-02-01",8957.73
"2018-03-01",8561.44
"2018-04-01",9097.94
"2018-05-01",9037.92
"2018-06-01",8200.02
"2018-07-01",9097.24
"2018-08-01",9768.16
"2018-09-01",8122.41
"2018-10-01",8765.29
"2018-11-01",8648.98
"2018-12-01",8735.86
"2019-01-01",8339.54
"2019-02-01",8445.08
"2019-03-01",8673.15
"2019-04-01",9212.21
"2019-05-01",8775.95
"2019-06-01",9458.71
"2019-07-01",8894.83
"2019-08-01",8720.07
"2019-09-01",8549.19
"2019-10-01",8279.18
"2019-11-01",9261.44
"2019-12-01",8157.39
"2020-01-01",8393.56
"2020-02-01",8584.78
"2020-03-01",8547.44
"2020-04-01",7525.92
"2020-05-01",7650.25
" Source:内閣府",
"機械受注統計",
