"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"耕種農業",1.029858,0.146777,0.012177,0.006314,0.015017,0.000256,0.000321,0.112585,0.042048,0.240113,0.028798,0.014279,0.004149,0.001228,0.000372,0.001525,0.000602,0.000316,0.00036,0.000175,0.000061,0.000598,0.000238,0.001534,0.004318,0.002219,0.000011,0.000063,0.000158,0.037845,0.009959,0.000166,0.000166,0.000247,0.000748,0.000091,0.000109,0.000129,0.000092,0.000068,0.000101,0.000185,0.000112,0.000336,0.000534,0.000433,0.000243,0.000145,0.000379,0.000345,0.000134,0.000203,0.000309,0.00017,0.000859,0.001138,0.000783,0.000468,0.00041,0.003542,0.000241,0.000696,0.000192,0.001932,0.001329,0.00008,0.000056,0.000158,0.000423,0.000172,0.00006,0.000037,0.000027,0.000011,0.000092,0.000131,0.000562,0.000132,0.000176,0.000096,0.000086,0.000342,0.000052,0.000095,0.000256,0.000115,0.000165,0.000335,0.000164,0.002221,0.001172,0.001932,0.000183,0.003824,0.006367,0.001951,0.000288,0.000218,0.001363,0.000072,0.014664,0.037215,0.000208,0.002741,0.005097,0.001158,0.000246
"畜産",0.009841,1.116639,0.02091,0.002498,0.005322,0.000017,0.000059,0.125122,0.007934,0.0322,0.000298,0.002017,0.001221,0.000577,0.000125,0.000665,0.000222,0.000141,0.000862,0.000082,0.00002,0.000449,0.000148,0.000156,0.0012,0.001887,0.000003,0.00002,0.00006,0.000452,0.027188,0.000058,0.000026,0.000141,0.000201,0.00001,0.000012,0.000024,0.000011,0.00001,0.000016,0.000025,0.000021,0.00002,0.000025,0.000049,0.000029,0.000035,0.00003,0.000032,0.000022,0.000033,0.000032,0.000027,0.000045,0.000051,0.000045,0.000048,0.000024,0.000682,0.000013,0.000057,0.000043,0.000039,0.000032,0.000008,0.000032,0.000019,0.000023,0.000016,0.000013,0.000007,0.000005,0.000002,0.000021,0.000011,0.000032,0.000017,0.000039,0.000014,0.000014,0.000118,0.000011,0.000042,0.000037,0.000025,0.000042,0.000085,0.000048,0.001031,0.001835,0.0008,0.000046,0.001857,0.00347,0.000207,0.000025,0.00005,0.00004,0.000019,0.007721,0.025016,0.00006,0.000116,0.000951,0.000244,0.000057
"農業サービス",0.056996,0.05694,1.001585,0.000486,0.001058,0.000015,0.000021,0.011661,0.002658,0.014598,0.001596,0.000873,0.000282,0.000097,0.000027,0.000114,0.000043,0.000024,0.000058,0.000014,0.000004,0.000053,0.00002,0.000092,0.000292,0.000206,0.000001,0.000005,0.000012,0.002099,0.001738,0.000012,0.000011,0.000021,0.00005,0.000006,0.000007,0.000009,0.000006,0.000004,0.000007,0.000012,0.000008,0.00002,0.000031,0.000027,0.000015,0.000011,0.000023,0.000022,0.000009,0.000013,0.00002,0.000011,0.00005,0.000066,0.000046,0.000029,0.000024,0.000226,0.000014,0.000042,0.000013,0.000108,0.000075,0.000005,0.000005,0.00001,0.000025,0.000011,0.000005,0.000003,0.000002,0.000001,0.000009,0.000008,0.000033,0.000008,0.000012,0.000007,0.000006,0.000025,0.000004,0.000011,0.000077,0.00001,0.000028,0.000069,0.000012,0.000498,0.000146,0.000142,0.000013,0.000292,0.000502,0.000118,0.000018,0.000045,0.000077,0.000006,0.001147,0.003141,0.000016,0.001358,0.000324,0.000075,0.000018
"林業",0.00048,0.000828,0.000197,1.120308,0.000483,0.000366,0.000222,0.000887,0.000263,0.000949,0.000089,0.000196,0.000232,0.158516,0.011906,0.010844,0.003016,0.001445,0.000155,0.000486,0.000033,0.000118,0.000106,0.00038,0.000202,0.001044,0.000011,0.000039,0.000169,0.000151,0.004484,0.00096,0.000111,0.002854,0.000431,0.000075,0.000091,0.000156,0.000085,0.000062,0.000305,0.000246,0.000172,0.00011,0.000105,0.000298,0.000145,0.000304,0.000194,0.000188,0.000122,0.000203,0.000171,0.000148,0.00014,0.000181,0.000156,0.000526,0.000211,0.003863,0.000073,0.006944,0.002001,0.000373,0.000585,0.000336,0.000095,0.000168,0.000105,0.000174,0.000121,0.000051,0.000059,0.000032,0.00013,0.000068,0.000213,0.000121,0.000323,0.000111,0.000207,0.001044,0.00006,0.00013,0.000286,0.000182,0.000202,0.000888,0.000095,0.000182,0.000226,0.000108,0.000167,0.000314,0.00036,0.000307,0.000088,0.000352,0.000108,0.000122,0.001261,0.002127,0.000149,0.000213,0.000317,0.002478,0.000106
"漁業",0.000165,0.004323,0.000297,0.000839,1.037646,0.000021,0.000037,0.042097,0.002578,0.011444,0.000014,0.000055,0.000285,0.000211,0.00011,0.000231,0.000077,0.000053,0.00008,0.000033,0.000008,0.000157,0.000054,0.00005,0.000525,0.000642,0.000001,0.00001,0.000026,0.000037,0.002344,0.000047,0.000016,0.000082,0.000085,0.000007,0.00002,0.000032,0.000015,0.000007,0.000016,0.000016,0.000015,0.000014,0.000026,0.00003,0.000019,0.000029,0.000024,0.000017,0.000034,0.000022,0.00003,0.000023,0.000026,0.000027,0.000025,0.000027,0.000016,0.012288,0.000012,0.000035,0.000057,0.000041,0.00004,0.000007,0.00001,0.000022,0.000018,0.000016,0.000018,0.00001,0.000007,0.000002,0.000013,0.000011,0.000026,0.000013,0.000029,0.000016,0.000014,0.000064,0.00001,0.000032,0.000055,0.000069,0.000045,0.000106,0.000038,0.00037,0.000137,0.000477,0.000028,0.001162,0.002357,0.000109,0.000066,0.000067,0.000026,0.000041,0.005438,0.012128,0.000059,0.0001,0.000691,0.001076,0.000032
"石炭･原油･天然ガス",0.000332,0.000234,0.000238,0.000192,0.000429,1.000394,0.000746,0.000259,0.000202,0.000256,0.000052,0.000491,0.000275,0.000228,0.000234,0.000825,0.000376,0.000292,0.001923,0.000883,0.004251,0.00163,0.001438,0.000924,0.000247,0.000511,0.006574,0.006431,0.000476,0.000404,0.000187,0.000582,0.000665,0.00071,0.000562,0.000889,0.000788,0.000854,0.00052,0.000331,0.000277,0.000344,0.000341,0.000242,0.000208,0.000186,0.000259,0.000255,0.000203,0.000194,0.000128,0.000235,0.000154,0.000147,0.00026,0.000274,0.000278,0.000334,0.000229,0.00025,0.000366,0.000204,0.000223,0.000394,0.000284,0.003739,0.004809,0.000328,0.000431,0.000198,0.000079,0.000105,0.000056,0.000011,0.000268,0.000372,0.001905,0.000507,0.001371,0.000201,0.00023,0.000104,0.000133,0.000111,0.000132,0.000091,0.000112,0.000192,0.000173,0.000159,0.000164,0.000126,0.000144,0.000166,0.00014,0.000126,0.000086,0.000156,0.000182,0.000077,0.000389,0.000298,0.000274,0.000255,0.000209,0.000326,0.000255
"その他の鉱業",0.000192,0.000128,0.000104,0.00012,0.000247,0.000387,1.000568,0.000163,0.000442,0.000183,0.000026,0.00018,0.000122,0.000166,0.001624,0.000718,0.000251,0.000167,0.00156,0.007559,-0.00008,0.000411,0.00024,0.000233,0.000415,0.000793,-0.000225,0.003783,0.000277,0.000563,0.000165,0.010434,0.013574,0.009379,0.009086,0.041232,0.021579,0.008025,0.011599,0.073863,0.018647,0.005952,0.004962,0.002982,0.002347,0.001821,0.001171,0.002639,0.002949,0.00205,0.00102,0.003641,0.001559,0.000899,0.002434,0.002707,0.002457,0.004182,0.00146,0.00155,0.00005,0.002125,0.002054,0.00463,0.005007,0.000146,0.000071,0.000247,0.000109,0.000051,0.000034,0.000026,0.000037,0.000027,0.000109,0.000046,0.000188,0.000089,0.000128,0.000041,0.000078,0.000122,0.000019,0.000047,0.000094,0.000056,0.000077,0.000133,0.000098,0.000054,0.000129,0.000129,0.000161,0.000076,0.00006,0.000084,0.000134,0.000081,0.000909,0.000034,0.000094,0.000122,0.000099,0.000079,0.000102,0.000474,0.000339
"食料品",0.003998,0.108396,0.007091,0.023556,0.049995,0.00011,0.000395,1.216381,0.073973,0.280646,0.000327,0.001248,0.004116,0.005457,0.000996,0.006319,0.001978,0.00132,0.000573,0.00073,0.000181,0.004272,0.001389,0.001242,0.011152,0.018231,0.000022,0.000194,0.000536,0.000786,0.065343,0.000494,0.00021,0.001234,0.00185,0.000088,0.000094,0.000188,0.000079,0.000071,0.000123,0.000194,0.000173,0.00014,0.000153,0.000333,0.0002,0.000279,0.000222,0.00022,0.000159,0.00027,0.000232,0.000223,0.000314,0.00036,0.000328,0.000369,0.000169,0.004388,0.000076,0.000455,0.000332,0.000177,0.000166,0.000061,0.000135,0.000143,0.000153,0.000105,0.000097,0.000049,0.000036,0.000015,0.000136,0.000074,0.000196,0.000092,0.000261,0.00009,0.000107,0.000778,0.000064,0.000193,0.00027,0.000187,0.000248,0.000733,0.000388,0.007278,0.001401,0.00594,0.000369,0.01251,0.023264,0.001691,0.000154,0.000408,0.00023,0.000146,0.053953,0.177846,0.000511,0.000533,0.006439,0.001868,0.000435
"飲料",0.000054,0.000548,0.000081,0.000078,0.012979,0.000047,0.000072,0.002795,1.051445,0.000751,0.000048,0.00003,0.000045,0.000058,0.000036,0.000053,0.000039,0.000032,0.000021,0.000026,0.000007,0.000033,0.000022,0.000042,0.000101,0.000072,0.000003,0.000015,0.000027,0.000035,0.00019,0.000044,0.000049,0.000028,0.00005,0.000029,0.000032,0.000059,0.00005,0.000026,0.000038,0.000034,0.000036,0.000046,0.00004,0.000028,0.000021,0.000022,0.000033,0.000026,0.000019,0.000036,0.000023,0.000022,0.000026,0.000028,0.000029,0.000077,0.000042,0.000193,0.000041,0.000075,0.000083,0.000038,0.000049,0.000021,0.000017,0.000046,0.000075,0.000132,0.000025,0.000033,0.000012,0.000004,0.000059,0.000062,0.000103,0.000089,0.000189,0.000037,0.000028,0.000612,0.000017,0.000025,0.000055,0.000022,0.000035,0.00004,0.00004,0.000353,0.000046,0.000643,0.000055,0.001439,0.002805,0.000038,0.000034,0.000037,0.000032,0.000029,0.023939,0.075295,0.00004,0.000026,0.001518,0.000071,0.002968
"飼料･有機質肥料(別掲を除く。)",0.011501,0.345272,0.023573,0.011359,0.049001,0.000013,0.000028,0.041381,0.002912,1.054488,0.000331,0.000743,0.00043,0.001687,0.000163,0.000335,0.000111,0.000066,0.000679,0.000038,0.000008,0.000157,0.000055,0.000071,0.000436,0.000645,0.000002,0.000008,0.000027,0.000457,0.008608,0.000033,0.000013,0.000079,0.000079,0.000005,0.000008,0.000014,0.00001,0.000006,0.000012,0.000016,0.000013,0.000014,0.000017,0.000026,0.000017,0.00002,0.000019,0.00002,0.000014,0.000019,0.000019,0.000015,0.000028,0.000032,0.000028,0.000029,0.000016,0.000841,0.000008,0.000094,0.00004,0.000151,0.000031,0.000008,0.000013,0.000012,0.000014,0.000049,0.000009,0.000004,0.000004,0.000001,0.000012,0.000007,0.000024,0.000009,0.00002,0.000008,0.000009,0.000054,0.000006,0.000021,0.000077,0.000017,0.000036,0.000089,0.00002,0.000651,0.004066,0.000326,0.00002,0.000715,0.001254,0.000091,0.000016,0.000054,0.00003,0.000011,0.002764,0.008588,0.000028,0.001197,0.000374,0.00017,0.000025
