"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-11-26",-71388,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-03",-90445,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-10",-107054,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-17",-100119,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-24",-110123,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-31",-97086,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-01-07",-98688,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-01-14",-57177,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-01-21",-60412,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-01-28",-54973,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-02-04",-63795,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-02-11",-34262,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-02-18",-50262,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-02-25",-70673,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-03-03",-42597,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-03-10",-62630,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-03-17",-78073,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-03-24",-68882,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-03-31",-105709,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-04-07",-117493,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-04-14",-116716,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-04-21",-112423,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-04-28",-95565,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-05-05",-108833,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2020-05-12",-118122,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
