"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"セメント･セメント製品",0,0,0,58,0,142,57,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,104,19,93,0,0,0,0,282430,0,1825,0,0,167,0,0,0,15,517,46,0,0,0,0,0,0,0,22,0,0,0,0,0,0,10,1534,0,902869,400953,728523,311302,0,35,0,934,0,0,3,492,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,2641271,0,1525,0,0,0,0,-1408,117,2641388,43630,43630,43747,2685018,-16814,-91,-1352,-18257,25490,2666761
"陶磁器",697,0,0,0,0,0,0,0,1062,0,0,0,0,14,2808,0,0,0,0,445,0,14,0,0,0,374,0,0,657,0,0,3,167,4162,1,0,0,12,0,0,0,3,1598,356,1115,3207,26765,277236,25228,66,881,1668,3995,0,0,0,3183,23,195,1048,80,157854,9421,3068,4526,0,0,0,900,5801,108,0,0,0,0,331,0,428,1,10,2,43,0,0,0,0,0,0,1863,2429,203,7963,448,10374,7204,800,1,0,0,185,5360,32273,0,151,1364,0,5412,615586,2801,21998,0,0,0,0,680,25479,641065,166267,166267,191746,807332,-127047,-1056,-10147,-138250,53496,669082
"その他の窯業･土石製品",18320,5174,2389,33,77,229,0,4220,226,3358,2,0,0,353,1767,5755,66,88,1640,36047,31,2950,1061,58,8010,3763,244,4832,1395,824,19,18635,39970,15966,92877,100617,5714,27254,0,37447,8972,13448,18415,61746,69231,8828,54453,20527,38850,4315,3316,21297,5736,2524,26577,2638,45700,3442,3833,10828,0,265526,184131,68718,94559,734,295,20262,0,6178,67,0,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,508,1927,25652,3212,1835,0,0,68,0,0,0,1936,103,201,2175,203,5598,4378,7297,7368,1569045,3020,93849,0,0,0,0,-37146,59723,1628768,426804,426804,486527,2055572,-293714,-1503,-23617,-318834,167693,1736738
"銑鉄･粗鋼",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,-1,137,0,0,0,0,0,14,0,-6,-2,0,0,0,-8,-3,-25,3573104,5709018,273497,6646,0,24,-2030,-11904,-4532,-11010,-1607,0,-25,-1928,-1133,-5,-1275,-590,-22,-1865,-2266,-4699,-6329,-1656,-181,0,0,-4574,-1129,-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9503023,0,-34627,0,0,-28047,-168467,-2400,-233541,9269482,377649,377649,144108,9647131,-316641,-2303,-25516,-344460,-200352,9302671
"鋼材",341,22,1,8,107,1470,491,0,0,0,0,102,450,1359,41073,0,0,0,0,0,0,0,0,0,0,0,0,0,15549,11936,3,0,31880,0,3536,0,3298312,140872,1254996,597,6887,671404,916836,644037,820814,82940,4934,35707,300144,74001,8515,59668,21757,5587,540755,242587,528096,310714,83388,20098,0,612201,158156,253064,279435,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13570,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,2923,0,0,0,0,0,446,0,16077,11517971,0,0,0,0,0,0,-210168,-210168,11307803,3142381,3142381,2932213,14450184,-453221,0,-36260,-489481,2442732,13960703
"鋳鍛造品(鉄)",0,0,0,0,257,15,296,0,0,0,0,0,0,4,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,288,1494,526,0,0,10746,0,0,0,58498,41285,325570,429001,34172,0,2848,86495,2685,4223,4471,2499,2758,6980,1922,577430,67936,54407,5506,0,8230,2916,14553,76432,0,0,106,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,117,0,0,25,0,73,84,20,0,0,0,0,108,675,0,30,145,34,3937,1831005,0,37,0,0,0,0,-24790,-24753,1806252,44621,44621,19868,1850873,-28318,-3,-2263,-30584,-10716,1820289
"その他の鉄鋼製品",0,0,0,0,0,0,0,0,0,0,0,0,0,104,71611,0,0,0,0,592,0,12,0,0,0,183,0,0,652,0,0,51,7784,771,3630,849,0,1228,0,0,2893,426138,550224,226907,293617,38619,992,31878,88441,64528,90,24762,15289,1476,79528,21390,232641,123121,74357,6986,0,7676,7671,4885,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0,3050,2421770,0,0,0,0,0,0,-1990,-1990,2419780,19923,19923,17933,2439703,-167263,0,-13381,-180644,-162711,2259059
"非鉄金属製錬･精製",0,0,0,0,0,0,0,0,0,0,0,5,0,64,1204,443,0,-2958,0,70417,0,8422,0,0,0,34475,0,0,6213,-54,0,7637,0,21405,23633,57765,153659,3939,-506,606260,2736750,-1542,151076,3319,20901,88707,57941,130154,90689,3294,2161,169106,7285,-110,124,-4510,169622,500,1665,59117,0,2366,0,-44,-74,140,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,154,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7811,4691109,0,161699,0,0,0,-205416,-45473,-89190,4601919,1311109,1311109,1221919,5913028,-2249620,-1441,-180085,-2431146,-1209227,3481882
"非鉄金属加工製品",0,0,0,0,0,396,187,40676,14408,0,354,24,0,2515,23832,8,2190,12554,0,1616,0,10,0,0,7644,15051,193,2,20477,6411,381,918,605,958,5982,0,16003,226,0,3317,212539,315497,302382,387542,302686,164706,76502,354378,485507,124175,46079,116745,177447,37174,98436,44791,892269,52163,64560,54491,0,205882,102889,48186,188060,6474,0,1078,18,1263,0,0,0,0,0,0,0,522,0,0,0,204,0,0,0,0,0,2489,7932,0,2632,78601,0,1359,3707,971,0,0,23949,1868,3282,9187,3450,0,2506,1379,10054,5194949,1312,7258,0,0,0,336808,-75946,269432,5464381,1082952,1082952,1352384,6547333,-1125440,-6580,-90560,-1222580,129804,5324753
"建設用･建築用金属製品",0,0,0,30,311,158,0,0,0,0,0,0,0,135,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,60,0,0,0,77449,9271,4166,1804,0,0,293,0,0,0,0,371,0,0,0,0,20140,13557,26342,0,2338495,1101367,368255,489977,0,0,0,0,0,0,0,1322,343,224,0,0,1958,0,0,0,51,0,0,0,0,0,0,123,0,0,0,0,0,0,0,1056,0,1876,0,0,0,0,0,0,0,2229,4464191,0,28739,638,0,332,33949,25703,89361,4553552,44532,44532,133893,4598084,-342347,-1352,-27496,-371195,-237302,4226889
