"Date","企業物価指数 2015年基準/消費税を除く国内企業物価指数:[消費税を除く国内企業物価指数] 総平均:日本銀行"
"2015-01-01",100.6
"2015-02-01",100.6
"2015-03-01",100.8
"2015-04-01",100.8
"2015-05-01",101
"2015-06-01",100.9
"2015-07-01",100.5
"2015-08-01",99.8
"2015-09-01",99.4
"2015-10-01",98.7
"2015-11-01",98.7
"2015-12-01",98.3
"2016-01-01",97.2
"2016-02-01",96.9
"2016-03-01",96.8
"2016-04-01",96.4
"2016-05-01",96.4
"2016-06-01",96.4
"2016-07-01",96.3
"2016-08-01",96
"2016-09-01",96.1
"2016-10-01",96
"2016-11-01",96.4
"2016-12-01",97.1
"2017-01-01",97.7
"2017-02-01",97.9
"2017-03-01",98.2
"2017-04-01",98.4
"2017-05-01",98.4
"2017-06-01",98.5
"2017-07-01",98.7
"2017-08-01",98.7
"2017-09-01",99
"2017-10-01",99.4
"2017-11-01",99.8
"2017-12-01",100
"2018-01-01",100.3
"2018-02-01",100.3
"2018-03-01",100.2
"2018-04-01",100.6
"2018-05-01",101.1
"2018-06-01",101.4
"2018-07-01",101.8
"2018-08-01",101.8
"2018-09-01",102
"2018-10-01",102.4
"2018-11-01",102
"2018-12-01",101.4
"2019-01-01",100.9
"2019-02-01",101.2
"2019-03-01",101.5
"2019-04-01",101.9
"2019-05-01",101.8
"2019-06-01",101.2
"2019-07-01",101.1
"2019-08-01",100.9
"2019-09-01",100.9
"2019-10-01",100.5
"2019-11-01",100.6
"2019-12-01",100.7
"2020-01-01",100.9
"2020-02-01",100.4
"2020-03-01",99.5
"2020-04-01",98.1
" Source:日本銀行",
"国内企業物価指数",
