"Date","季節調整値推移表:着工新設住宅戸数(戸):国土交通省"
"1969-01-01",105980
"1969-02-01",106758
"1969-03-01",94235
"1969-04-01",110034
"1969-05-01",112012
"1969-06-01",119026
"1969-07-01",114659
"1969-08-01",117520
"1969-09-01",121609
"1969-10-01",110848
"1969-11-01",114965
"1969-12-01",114783
"1970-01-01",123113
"1970-02-01",129356
"1970-03-01",122435
"1970-04-01",127735
"1970-05-01",123388
"1970-06-01",128733
"1970-07-01",124481
"1970-08-01",126071
"1970-09-01",116624
"1970-10-01",117127
"1970-11-01",122109
"1970-12-01",123339
"1971-01-01",157229
"1971-02-01",108869
"1971-03-01",118209
"1971-04-01",113515
"1971-05-01",117520
"1971-06-01",113833
"1971-07-01",122366
"1971-08-01",122107
"1971-09-01",120979
"1971-10-01",127866
"1971-11-01",122615
"1971-12-01",122236
"1972-01-01",125521
"1972-02-01",128807
"1972-03-01",197645
"1972-04-01",137608
"1972-05-01",146814
"1972-06-01",149584
"1972-07-01",139115
"1972-08-01",142758
"1972-09-01",149453
"1972-10-01",156516
"1972-11-01",164650
"1972-12-01",162351
"1973-01-01",174227
"1973-02-01",171761
"1973-03-01",178744
"1973-04-01",167095
"1973-05-01",160767
"1973-06-01",152568
"1973-07-01",141040
"1973-08-01",147499
"1973-09-01",162773
"1973-10-01",154693
"1973-11-01",155048
"1973-12-01",149796
"1974-01-01",130345
"1974-02-01",125457
"1974-03-01",109381
"1974-04-01",95897
"1974-05-01",105910
"1974-06-01",104564
"1974-07-01",116778
"1974-08-01",123244
"1974-09-01",115813
"1974-10-01",104055
"1974-11-01",98024
"1974-12-01",92843
"1975-01-01",85059
"1975-02-01",99571
"1975-03-01",112708
"1975-04-01",109209
"1975-05-01",112063
"1975-06-01",112678
"1975-07-01",117431
"1975-08-01",116860
"1975-09-01",111253
"1975-10-01",119395
"1975-11-01",114443
"1975-12-01",138860
"1976-01-01",128829
"1976-02-01",129235
"1976-03-01",122155
"1976-04-01",121232
"1976-05-01",130403
"1976-06-01",133725
"1976-07-01",130381
"1976-08-01",124827
"1976-09-01",122618
"1976-10-01",125095
"1976-11-01",124473
"1976-12-01",134089
"1977-01-01",141253
"1977-02-01",127107
"1977-03-01",119015
"1977-04-01",128921
"1977-05-01",124626
"1977-06-01",113883
"1977-07-01",115547
"1977-08-01",132213
"1977-09-01",124348
"1977-10-01",124226
"1977-11-01",136623
"1977-12-01",128183
