"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"99年02月",-9.4,9,,-56.1,-18.4,-17.4,-15.2,-16.8
"99年03月",0,19.1,,-41.9,-10.2,-20.5,13.5,-8.4
"99年04月",1.1,12.5,,-26.4,-4.6,-15.8,9.6,-6.8
"99年05月",-0.9,17.9,,-1.1,-10.3,-17.9,-13.6,-16.3
"99年06月",7.3,29.2,,-21.5,-8.2,-6,5.5,-1.5
"99年07月",1.9,5.4,,-20.9,-2.9,12.5,-2.6,5.4
"99年08月",8.4,12.9,,-27.6,0.3,29.4,-0.3,16.7
"99年09月",10.5,12.3,,6.2,0.9,39.4,8.1,25
"99年10月",-0.6,-4.9,,-28.6,-11.4,40.8,16.1,30
"99年11月",8.1,3.4,,-51.8,-4.3,60.5,15.4,41.3
"99年12月",-0.8,7.8,,-44.9,-8.9,9.2,-5.1,2.6
"00年01月",16.8,26.9,,-4.1,5.4,16.8,33,21.6
"00年02月",2.4,-4.4,,-33.1,3.3,14.9,9.8,12.7
"00年03月",-3.6,-11.6,,8.4,-2.6,21.3,-8.3,7.9
"00年04月",0.1,-10.3,,-27.8,-0.9,38.9,4.9,23.8
"00年05月",-1.1,-15.1,,-10.2,5.1,18.3,24,19.9
"00年06月",-1.2,-22.6,,-27,8.3,54.3,5.3,30.9
"00年07月",-0.8,-8.7,,-23.8,-10.8,41.1,17.7,31.4
"00年08月",-3.8,-4.3,,7.3,-8.1,-0.4,8.6,2.7
"00年09月",-3.1,1.6,,-10.4,-9.7,-2.5,5.8,0.4
"00年10月",1.5,7.8,,-9.1,-2.7,0.4,-0.3,0.2
"00年11月",2.2,5.2,,66.4,5.7,-11,2.1,-6.6
"00年12月",10.6,-0.7,,19.1,2.4,53.3,14,37.9
"01年01月",-11.1,-16.5,,-47.3,-8,-9.2,-1.8,-6.2
"01年02月",-5.9,-10,,44,-6,-3.1,2.3,-1.3
"01年03月",-1.4,-13.1,,-34.9,3.7,15.7,3.9,10.8
"01年04月",-7.2,-15.8,,-12.2,-1.5,-3.9,2.3,-1.6
"01年05月",-0.2,-14,,-53.9,12.5,6.6,4.4,6
"01年06月",-10.5,-9.9,,-11.3,-5.3,-20.7,-13.6,-17.9
"01年07月",1.4,-9.5,,-8.1,12.8,7.6,-2.9,3.2
"01年08月",1.1,-15.5,,-27.3,13.4,11.6,7,9.9
"01年09月",-2.9,-15.6,,12.1,4.9,14.9,-15.7,3
"01年10月",-3.3,-15.6,,-9.1,8.8,-3.7,-3.7,-3.3
"01年11月",-1.2,-15.6,,4.2,9.1,6.4,-1.7,2.9
"01年12月",-12.9,-21.3,,-8.5,2.2,-24,-13,-20.5
"02年01月",3.5,-14.1,,-45.6,8.9,32.9,-2.4,18.8
"02年02月",2.8,-12.2,,0.3,7.1,27.7,-3.5,16.1
"02年03月",-6.2,-6.6,,52,-1.9,-8.9,-17.2,-12
"02年04月",-0.6,3.2,,-19.9,4.5,-9.3,-13.9,-11.2
"02年05月",5.8,1.5,,56.7,12,10.1,-11,1.9
"02年06月",0.3,-6.4,,-8,5.7,6.8,-4.5,2.1
"02年07月",-6.7,-2.4,,-13.4,1.6,-32.2,-1.2,-21.5
"02年08月",-6.7,-8.6,,21.5,-2.3,-9.2,-14,-11.2
"02年09月",-5.1,-6.1,,-40.1,4.8,-23.1,-0.4,-15.7
"02年10月",1.8,-2.9,,-6.8,2.6,12.3,-3.2,6.2
"02年11月",-6.7,-4.8,,-53.6,-4.6,-13.5,-3.7,-10.1
"02年12月",-3.4,-1.2,,14.5,-3,-14.1,7.3,-6.6
"03年01月",-1.7,-2,,177,0.2,-9.3,0.4,-5.8
"03年02月",-2.8,-1.8,,49.1,6,-22.9,6.1,-13.7
"03年03月",-1.9,-5,,-32.5,8.4,-18.3,9.4,-8.6
"03年04月",1.4,-6.4,,34.1,0.9,11.5,12.9,12.2
"03年05月",-7.7,-3.2,,-18.2,-8.2,-22.6,7.9,-12
"03年06月",13.4,20.9,,-7.1,13.8,-9.4,26.5,3.8
"03年07月",2.6,-2.1,,27.3,-0.9,21.3,4.1,13.8
"03年08月",-5.4,6.7,,-46.4,-12.3,-15.7,7.4,-7.5
"03年09月",1.2,10.8,,-36.8,-6.2,-1.2,10,2.7
"03年10月",1,3.1,,13.3,-1.9,-1.9,12.2,2.7
"03年11月",-0.3,-5.6,,25.9,-1.6,8.8,4.4,7.4
"03年12月",9.4,-1.5,,-21.3,10.5,30.9,3.3,20.2
"04年01月",7.3,1,,-36.3,10.8,6,20,10.3
"04年02月",1.9,-3.3,,-45.1,3.2,2.3,17.5,7.4
"04年03月",6.9,3.4,,-25.5,8,5.1,18.5,10.6
"04年04月",-4.1,-3.4,,-33.4,-4.4,-11,9.7,-3.5
"04年05月",0.9,-1.6,,47.4,-3.5,9.9,12,10.2
"04年06月",-7.4,-11.8,,22.5,-10.5,4.8,2.2,3.4
"04年07月",7.8,8.1,,-42.8,3.3,15.7,14.7,15.5
"04年08月",10.5,10.5,-43.5,67.7,15.1,-10.2,21.6,3.2
"04年09月",10.1,-0.8,-59,39.6,10.2,32.7,9.8,23.4
"04年10月",1.5,-4.5,-65.1,-18.9,4.4,3.1,6.4,4.3
"04年11月",0.2,-1.6,-69.4,-2.2,2.6,-8.4,10.9,-1.5
"04年12月",-2,-2.2,-63.5,95.5,2.1,-17.7,7.1,-8.9
"05年01月",6.9,-0.5,-62.4,26.3,8.4,13.7,5.2,10.7
"05年02月",0.4,-1.8,-58.4,-37.9,6.7,-8.6,1.8,-4.2
"05年03月",-2.7,-6.8,-57.1,109.1,-7.6,14.5,-4.8,5.6
"05年04月",0.6,-5.5,-50.4,22.5,7.2,-3.5,1.3,-1.3
"05年05月",3,-3.1,-39.8,-42.3,4.6,17.1,-0.9,9.5
"05年06月",2.4,-7.7,-42.5,-30.4,10.3,10.9,-2.7,5
"05年07月",8.3,-8.5,-43.2,155.1,17.3,25.9,-3.9,14
"05年08月",7,-10.9,-38.7,8.7,15.3,38.9,-1.4,18.7
"05年09月",-0.2,-8.1,-31.7,27.4,3.3,6.4,-3.3,2.9
"05年10月",9.1,-1.1,-23,23.8,14.6,18.4,-1.8,11
"05年11月",12.6,6.4,-6.7,16.3,17,19.7,1.7,12.2
"05年12月",-0.9,-0.8,-15.1,-65.3,2.3,-2.7,-2.1,-3.1
"06年01月",-2.2,-2.1,-17.5,-47.9,6.2,-16.6,0.8,-10.8
"06年02月",13.7,1.2,-32.9,46.8,16.5,38.1,0.4,21.5
"06年03月",3.9,-1.8,-26.2,-57.3,17.2,-4.3,-1.4,-3
"06年04月",15,2.6,-25.6,23.6,14.3,55.8,-2.9,30
"06年05月",6.7,4.5,-25.7,40.2,13.1,0.6,-1.3,0
"06年06月",4.7,2.2,-30.4,75.1,5.2,9.4,-0.1,5.4
"06年07月",-7.5,-1,-24.8,-44.2,3.1,-38.3,0,-25.5
"06年08月",1.8,6.1,-26.1,4.4,-0.6,1.1,-2.1,1
"06年09月",4,6,-28.1,-31.9,6.8,-2.4,1.1,-0.7
"06年10月",2.2,1.2,-35.6,10.1,6.2,-4.1,-0.4,-2.9
"06年11月",4,-3,-36.1,12.4,3.3,16.6,1.9,11.3
"06年12月",10.2,0.3,-32.9,142.9,8.5,28.9,8,20.3
"07年01月",-0.7,1.8,-37.3,32.9,-1.2,-8.6,5.7,-2.7
"07年02月",-9.9,-7.8,-32.5,21.1,-14.6,-6.9,-4.7,-6.3
"07年03月",5.5,-4.8,-42.8,-61.3,2,37.3,0.3,22.1
"07年04月",-3.6,-6.5,-44.5,75.8,-5.3,-1.5,0.4,-0.9
"07年05月",-10.7,-12.7,-45.4,47.4,-7.8,-20.3,-3.2,-14
"07年06月",6,-7.1,-35.2,48.6,13.1,16.2,-4.7,8.2
"07年07月",-23.4,-26,-53,104.7,-25.3,-17,-24.6,-20.6
"07年08月",-43.3,-31,-45.1,-27.8,-46.6,-63.2,-32.9,-52
"07年09月",-44,-21.6,-39.8,-46,-51.3,-74.8,-18.7,-55.6
"07年10月",-35,-8,-21.1,-56.3,-40.2,-71.1,-9.5,-50.2
"07年11月",-27,-7.6,-28.2,-58.6,-23.4,-63.9,-14.9,-47.4
"07年12月",-19.2,-6,-25.3,-49.1,-14.4,-49.7,-12.1,-35.5
"08年01月",-5.7,-4.2,-5.4,20.8,-2.8,-12,-11.2,-11.5
"08年02月",-5,-2.1,6.3,2.7,-3.1,-11.8,-7.1,-9.6
"08年03月",-15.6,-6.1,11.8,344.9,-22,-22.2,-9.3,-18
"08年04月",-8.7,-7.8,16.4,-76.2,-5.2,-10.7,-10.7,-10.4
"08年05月",-6.5,-5.7,20.4,-28.6,-8.5,3.9,-12.8,-3.2
"08年06月",-16.7,-6.6,6.5,-43.5,-15.1,-36.5,-10.2,-27.2
"08年07月",19,23.1,45.9,-41,22.7,15.9,8.8,12.7
"08年08月",53.6,35.6,37.8,9.2,59.6,128.8,25.3,73.7
"08年09月",54.2,19.9,23.1,600,67.1,217.5,4.4,82.5
"08年10月",19.8,-4.3,-0.9,51.7,35.4,96.3,-11.9,28.9
"08年11月",0,-11.7,-7.8,137.6,1.7,43.3,-15.9,11
"08年12月",-5.8,-7.3,26.5,13.2,-4.1,5,-18.6,-7.5
"09年01月",-18.7,-10.8,10.6,-14.2,-18.4,-25.1,-27.2,-26.4
"09年02月",-24.9,-9.9,8.4,25.8,-28.4,-35.7,-31.7,-34.4
"09年03月",-20.7,-13.1,-14.4,83.8,-11.2,-47.8,-32.5,-42.1
"09年04月",-32.4,-15.8,-9.1,614.9,-33.1,-65.9,-29.7,-54.3
"09年05月",-30.8,-14.9,-16.1,99,-33.3,-60.3,-27.9,-48
"09年06月",-32.4,-10.5,6.5,55.7,-38.4,-68.2,-24.9,-50
"09年07月",-32.1,-12.2,4.1,-25.5,-36,-71.9,-19.7,-50.1
"09年08月",-38.3,-20,9.3,-74.4,-42.2,-71.7,-24.2,-53.5
"09年09月",-37,-19.7,22.4,-59.3,-39,-72.3,-17.4,-52.4
"09年10月",-27.1,-4.9,51.8,75.7,-35.6,-63.4,-8.4,-40.6
"09年11月",-19.1,8.3,89.7,-22.6,-25.3,-63.7,-1.5,-38.2
"09年12月",-15.7,3,63.2,94.2,-22.7,-47,-2.1,-27.4
"10年01月",-8.1,5.4,99.7,-13.7,-14.5,-25.9,7.6,-11.7
"10年02月",-9.3,2.9,105.2,12.9,-8.4,-57,23.5,-25.6
"10年03月",-2.4,3.2,193.4,-13.9,-12.5,-4.3,28.2,8.8
"10年04月",0.6,2.3,192.5,-79.7,-7,35.8,19,27.4
"10年05月",-4.6,4.8,243.2,-48.6,-13.5,-31.5,30,0.8
"10年06月",0.6,4.4,246.3,-63.5,-10.9,29.8,22,24.6
"10年07月",4.3,4.4,254.8,2.8,-5.8,37.5,23,27.3
"10年08月",20.4,15.5,289.2,138.7,16.7,44.6,29.8,35.2
"10年09月",17.7,12.9,267.7,-35.4,2.2,124.8,20.5,58.9
"10年10月",6.4,10.4,252.6,-57.4,-9,73.2,16.9,37.1
"10年11月",6.8,7.1,292,-38.6,-9.5,106.1,14.2,46.3
"10年12月",7.5,11.8,276,-51.3,-8.4,64.5,19.4,37.6
"11年01月",2.7,5.5,221,5.5,-11.3,31.1,14.6,22.3
"11年02月",10.1,6,196.6,-52,-3.8,103.9,12.7,44.2
"11年03月",-2.4,4,133.4,-58.5,-9.5,-1.3,9.6,4.6
"11年04月",0.3,0.2,84,27.1,-9.3,11.8,12.6,12.4
"11年05月",6.4,-2.9,49.7,-7.5,-4.9,138.1,-1.8,42.9
"11年06月",5.8,-2.6,23.2,19.5,5,47.9,5.6,21.6
"11年07月",21.2,19.1,47.2,-57.8,18.5,79.6,7.8,33.2
"11年08月",14,6.9,11.9,78.1,9.8,61.6,10.8,31.2
"11年09月",-10.8,-9.7,-13.2,131.7,-18.2,-13.9,-0.9,-7.7
"11年10月",-5.8,-8.1,-17.2,-33.5,-8.9,7.5,-1.2,3.1
"11年11月",-0.3,-5.1,-23.7,286,-8.5,24.5,2.6,13.1
"11年12月",-7.3,-8.8,-33.5,-33.8,-9,-5.6,0.8,-2.2
"12年01月",-1.1,-2.7,-33.4,-56,1.1,-2.6,2.3,-0.5
"12年02月",7.5,1.5,-31.4,-18.6,9.4,19.5,6.2,13.1
"12年03月",5,-2.3,-34.4,-20.3,7.8,20.4,4.1,11.8
"12年04月",10.3,2.5,-34.8,0.1,16.5,27,-2.8,13
"12年05月",9.3,8.2,-23.4,-1.2,15.3,-3.2,12.3,4.4
"12年06月",-0.2,0.1,-25.2,64.2,3.3,-20.2,4.4,-7.2
"12年07月",-9.6,-12.5,-37.4,101,-14.7,1.4,0.5,1.2
"12年08月",-5.5,-9.1,-29.5,-44.8,-2.7,-3.6,-2,-2.5
"12年09月",15.5,12.6,-9.5,-70.4,35.4,1.8,7.9,4.8
"12年10月",25.2,13,-4,3.5,48.2,17.8,11.8,14.2
"12年11月",10.3,9.2,-10.4,-74.6,23.2,-4.7,10.8,2.4
"12年12月",10,9.2,-6.4,-18.6,11.2,14.5,5.8,9.8
"13年01月",5,8.6,2.7,25,1.6,-1,10.1,5
"13年02月",3,2.3,-13,35.3,-2.4,15.9,1.9,9.1
"13年03月",7.3,11.4,-10.9,-25.9,10.7,-8.3,8.2,-0.3
"13年04月",5.8,17.5,-5.8,-57.2,7.8,-22,15.4,-6.9
"13年05月",14.5,13.5,-18.8,-51.9,11.6,33.1,10.1,21.7
"13年06月",15.3,13.8,-19.1,-47.3,13.1,46,9.4,24.3
"13年07月",12.4,11.1,-22.5,-1.5,19.4,4,8.4,6
"13年08月",8.8,11.2,-25.1,-16.5,7,6,11.3,8.5
"13年09月",19.4,14.2,-26.8,42,21.5,35.6,12.4,23.5
"13年10月",7.1,17.6,-27.1,97.2,3.3,-17.7,10.4,-2.7
"13年11月",14.1,22.6,-27.1,4.7,17.1,-14.6,12.1,-1
"13年12月",18,19.1,-27.1,-38.9,29.8,-7.4,10.8,2.1
"14年01月",12.3,5.9,,24.6,21.5,18.6,-0.3,8.6
"14年02月",1,-0.4,,37.4,24.7,-33.5,-4.9,-20.9
"14年03月",-2.9,-13,,-9.6,11.3,-13.4,-4.3,-8.5
"14年04月",-3.3,-16.1,,95.4,12,-16.9,1.7,-7.8
"14年05月",-15,-22.9,,95.1,3.1,-43.3,-7.9,-27.1
"14年06月",-9.5,-19,,-10.8,1.8,-24.5,-1.4,-11.9
"14年07月",-14.1,-25.3,,13.3,-7.7,-12.7,-3.7,-7.7
"14年08月",-12.5,-22.7,,11.5,-3.8,-6.8,-14.1,-10.3
"14年09月",-14.3,-23.4,,61,-5.7,-20.4,-10.1,-15.3
"14年10月",-12.3,-28.6,,-31.5,-4.1,23.3,-13.8,1.6
"14年11月",-14.3,-29.3,,246.4,-7.4,2.4,-12.5,-6
"14年12月",-14.7,-25.5,,229.9,-8.9,-10.5,-10.5,-10.5
"15年01月",-13,-18.7,,50.1,-10.3,-13.1,-9.7,-11.2
"15年02月",-3.1,-9.1,,-7,-7.5,23.3,-0.2,11.2
"15年03月",0.7,-1.4,,98.9,4.6,-8.6,-1.6,-4.9
"15年04月",0.4,-2.1,,0,-1.8,24.4,-7.9,7.2
"15年05月",5.8,1.1,,-40.5,2.8,54.9,-8.8,18.1
"15年06月",16.3,7.2,,-8.3,14.6,82.8,-2.9,31.3
"15年07月",7.4,8,,-5.8,18.7,-17.6,-2.7,-9
"15年08月",8.8,4.1,,-21.3,17.7,0,4.6,2.6
"15年09月",2.6,2.4,,-63.7,13.3,-22.4,1,-10.1
"15年10月",-2.5,2.4,,52.3,-2.6,-17.2,-1.1,-9.5
"15年11月",1.7,3.5,,-69.6,2.6,-4.1,8.2,2.5
"15年12月",-1.3,-5.4,34.5,-41.2,3.9,-13.5,3.9,-3.5
"16年01月",0.2,-0.1,40,-32.5,5.3,-19.2,8.9,-5.7
"16年02月",7.8,0.8,31,-8,12.5,9.9,10.1,9.6
"16年03月",8.4,4.3,32.6,5.6,1.1,49,8,26
"16年04月",9,1.2,2.7,-50.3,16,7.8,10.5,9
"16年05月",9.8,4.3,10.1,56.1,15,-0.8,18,7.9
"16年06月",-2.5,1.1,-9.5,24.9,3.7,-28.1,1.1,-15.2
"16年07月",8.9,6,-9,0.8,11.1,5.9,12.1,9.1
"16年08月",2.5,4.3,-3.1,85.4,9.9,-33.1,5.9,-12.7
"16年09月",10,1.4,-13.8,-3.7,12.6,23,12.1,17
"16年10月",13.1,4.9,0.9,-9.2,22,3.7,12.6,9.3
"16年11月",6.7,2.7,7.9,-17.2,15.3,-6.9,1.8,-1.8
"16年12月",3.9,6.5,4.8,-28.9,2.2,10.7,0.6,4.6
"17年01月",12.8,-0.2,11.2,43.9,12,56.2,4.9,27.3
"17年02月",-2.6,1.6,3.5,-38.8,6.8,-35.7,0.9,-17.9
"17年03月",0.2,-3.6,-0.2,-2.3,11,-24.3,3.4,-10.8
"17年04月",1.9,0.8,0,9.4,1.9,1.3,5.2,2.9
"17年05月",-0.3,1.5,-1.3,-43.4,1.6,-12.6,4.5,-3.9
"17年06月",1.7,-3.4,5.6,-1.2,-2.6,27.1,4.8,15.5
"17年07月",-2.3,-5.7,1,-29.6,-3.7,15.2,-1.3,5.7
"17年08月",-2,-7.4,-4.8,-19.9,-4.9,33.7,0.8,12
"17年09月",-2.9,-2.7,-3.7,68.4,-2.3,-9.2,-2.2,-5.3
"17年10月",-4.8,-4.8,-8.3,-2.4,-4.8,-16.9,5,-4.8
"17年11月",-0.4,-4.2,-17.3,30.3,-2.9,9.5,7.7,8.7
"17年12月",-2.1,-2.5,-8.4,92.1,-3,-11,6.6,-1.3
"18年01月",-13.2,0.1,-13.3,-22.4,-10.8,-50.2,-1.1,-27.5
"18年02月",-2.6,-6.1,-9.3,75.7,-4.6,9.3,-1.3,3.4
"18年03月",-8.3,-4.2,-16.9,-64.1,-12.3,-8,-0.8,-3.6
"18年04月",0.3,-1.9,-5.4,79.8,-2.1,2.1,7.1,5
"18年05月",1.3,-2.2,-9.1,258.7,-5.7,20.7,5.8,12.2
"18年06月",-7.1,-3.4,-18.4,102.1,-3,-36.2,0.7,-18.8
"18年07月",-0.7,0.3,-12.5,-5.6,-1.4,-4,2.5,-0.7
"18年08月",1.6,0.2,-8.3,35.1,1.4,0.4,4,2.9
"18年09月",-1.5,0,-4.2,18,-5.8,3.5,4.7,4.3
"18年10月",0.3,4.6,-5.6,18.1,-7.3,14.9,5.9,9.2
"18年11月",-0.6,2.5,2.4,37.9,-6.9,15.6,-0.2,6.1
"18年12月",2.1,4.8,-3.7,-17,-7.9,28.6,8.5,16.5
"19年01月",1.1,3.3,-0.7,18.2,-12.3,43.6,4.2,19.8
"19年02月",4.2,9.9,-8.8,40.3,-5.1,10.5,12.2,11.4
"19年03月",10,8.9,-6.8,62.4,-4.5,69.5,7.1,33
"19年04月",-5.7,9.2,-2.1,75.9,-16.7,-15.1,3,-6
"19年05月",-8.7,6.5,-6.4,-68.6,-15.8,-22.7,-0.4,-11.4
"19年06月",0.3,12.9,11.7,-34.3,-12.2,4.2,10,7.8
"19年07月",-4.1,3.3,4.9,43.3,-15.2,-1.1,8.9,5.1
"19年08月",-7.1,-1.6,-2,-64.3,-17.5,11.1,2.4,5.6
"19年09月",-4.9,-3.5,2.3,-24.7,-16.8,34.6,0.1,14.1
"19年10月",-7.4,-5.6,-0.3,-58.7,-16.5,16.2,1.4,7
"19年11月",-12.7,-7.3,-3.1,-52.1,-17.5,-23.6,1.1,-10.3
"19年12月",-7.9,-8.7,7.6,66.9,-10.3,-6.2,-4.5,-5.1
"20年01月",-10.1,-13.8,-9,-36.6,-2.5,-27.5,-2.8,-14.6
"20年02月",-12.3,-11.1,12.1,-36.5,-18.9,2.4,-7.9,-3.9
"20年03月",-7.6,-0.3,22.8,44.8,-6.6,-28.7,-1,-16.1
"20年04月",-12.9,-17.4,-1,-40.4,-15.4,2.3,-8.1,-3.6
"新設住宅着工:利用関係別戸数,床面積:原系列:前年比 Source:国土交通省",,,,,,,,
"新設住宅着工戸数",,,,,,,,
