"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"74年02月",-27.1,-3.6,,-25.7,-53.6,,,-16.2
"74年03月",-39,-16.6,,-48.8,-56.1,,,-39.7
"74年04月",-41.8,-24.7,,-45.8,-58.2,,,-42.7
"74年05月",-34.2,-21.2,,-45.1,-52.7,,,-23.6
"74年06月",-32.1,-12.2,,-38.9,-52.8,,,-39.1
"74年07月",-16,2.7,,-39.9,-31.3,,,-30.9
"74年08月",-15.6,13.7,,-43.5,-42.6,,,-30.6
"74年09月",-29.9,-3.6,,-41.3,-47.2,,,-48.9
"74年10月",-33.4,-17.2,,-23.7,-46.9,,,-46.1
"74年11月",-38,-25.6,,-45.3,-47,,,-46.6
"74年12月",-37.7,-30.7,,-32,-39.7,,,-47
"75年01月",-34.3,-37.2,,-39.4,-34.2,,,-27.4
"75年02月",-19.9,-18.7,,-25.2,-12.2,,,-32.7
"75年03月",2.4,22.3,,-13.9,-15.2,,,-17.9
"75年04月",15.9,26.2,,4.9,5,,,5.7
"75年05月",5.4,12.1,,17.9,12.8,,,-21.6
"75年06月",7.9,8.6,,-6.5,17,,,-4.7
"75年07月",2,4.1,,1.8,-6.2,,,8.6
"75年08月",-4,-15.8,,-15.3,20.4,,,8.1
"75年09月",-6.3,-16.4,,-14.5,2.9,,,16.8
"75年10月",12.7,-5.6,,-6.5,31,,,44.6
"75年11月",14.6,5.7,,-5.9,18.7,,,37.7
"75年12月",49.9,85.9,,-23.7,29.9,,,19.4
"76年01月",51.7,80,,1.9,54.2,,,3.6
"76年02月",30.1,15.8,,-20.5,50.3,,,50.4
"76年03月",9.3,-8.2,,4,31.7,,,39.5
"76年04月",14.2,0.1,,-16.2,46.9,,,16
"76年05月",15.9,0.7,,-6.5,33.6,,,38.5
"76年06月",19.5,6.8,,-7.9,36.6,,,42.9
"76年07月",11.7,13.2,,-12.5,15.4,,,4.7
"76年08月",7.6,-0.3,,8.4,12.5,,,23.1
"76年09月",7,-13.2,,-6.2,21.3,,,39.8
"76年10月",3,-14.7,,0.9,17.7,,,17.8
"76年11月",7.5,-8.3,,-27.7,19.8,,,29.2
"76年12月",-3.6,-16.8,,-35,2.9,,,31.4
"77年01月",8.9,-3.3,,-3.3,14.2,,,39.5
"77年02月",-1.4,-7,,21.3,-8.2,,,22.1
"77年03月",-1.2,-8,,-8.5,-6.9,,,27.3
"77年04月",9.6,15.7,,-14.3,-9.9,,,33.5
"77年05月",-4.4,0,,-29.2,-19.3,,,14.4
"77年06月",-13.3,-23.4,,-10.9,-17.3,,,22.9
