"Date","国内総生産(支出側)","民間最終消費支出:家計最終消費支出","民間企業設備","民間最終消費支出","総資本形成","政府最終消費支出","公的固定資本形成","財貨・サービス:輸出","財貨・サービス:輸入"
"03年12月期",4.5,5.6,19.4,5.5,-1.8,1.8,-8.7,21.5,8.6
"04年03月期",2.9,-0.3,-0.8,-0.3,6.3,1.8,-17.2,21.2,12.3
"04年06月期",0.1,0.7,-0.4,0.6,-4.1,-1.1,-2.6,13.5,6.7
"04年09月期",2.5,3.3,4.1,3.2,3.6,1.8,-7.4,3.8,9.2
"04年12月期",-0.8,-1.7,8.5,-1.7,3,-0.3,-5.2,5.5,12.1
"05年03月期",2,1.3,13.4,1.4,3.5,4,-8.2,-4,-1.8
"05年06月期",2.7,1.7,14.7,1.8,2,-1.6,-22.7,18.3,7.1
"05年09月期",3.9,3.9,7.8,3.9,6,-0.7,6.3,13.3,12.2
"05年12月期",0.7,0,-6,0,-6,1.8,-8.2,14.9,0.3
"06年03月期",0.7,1.9,-2.6,1.8,-1.8,-1.3,11.6,9.3,7.3
"06年06月期",1,-0.3,8.5,-0.3,2.1,1.4,-14.8,7,5.3
"06年09月期",-0.7,-2.9,0.6,-2.8,-1.5,0,-20.2,7.8,-0.4
"06年12月期",5.3,6,8.2,5.8,6.4,-0.6,6.7,4.5,0.3
"07年03月期",3,0.8,1.4,0.7,4.5,2.2,-3.8,10,3.6
"07年06月期",0.5,2.7,-4.2,2.6,-8.6,3,-9.3,9.7,5.8
"07年09月期",-2,-3.7,-5.4,-3.7,-8,-0.7,-5.2,10.7,-3.6
"07年12月期",1.9,0.9,0.3,0.8,-1.2,2.8,9.2,12,5.3
"08年03月期",1,1.6,4,1.6,-3.1,0.5,-10,10.1,6.2
"08年06月期",-1.5,-4,-6.2,-4,4.9,-4.7,-13.8,-7.7,-11.4
"08年09月期",-4.9,-1.3,-6.7,-1.3,-16.3,0,-0.4,0.8,1.3
"08年12月期",-9.4,-6,-14.3,-5.9,17.7,1.5,-0.9,-41.9,7.7
"09年03月期",-17.8,-2,-22,-1.8,-42.8,1.1,13.7,-69.3,-50.5
"09年06月期",8.6,4.3,-11.8,4.4,-11.2,5.7,31.9,41.4,-17
"09年09月期",0.2,2.8,-11.1,2.8,-19,4.9,-4,45.7,23.4
"09年12月期",5.6,2.8,-3.5,2.9,3.4,2.2,5.3,31.3,9.4
