"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合小分類)(単位:100万円)(総務省)","穀類","いも･豆類","野菜","果実","その他の食用作物","非食用作物","畜産","農業サービス","育林","素材","特用林産物","海面漁業","内水面漁業","石炭･原油･天然ガス","砂利･砕石","その他の鉱物","畜産食料品","水産食料品","精穀･製粉","めん･パン･菓子類","農産保存食料品","砂糖･油脂･調味料類","その他の食料品","酒類","その他の飲料","飼料･有機質肥料(別掲を除く。)","たばこ","紡績糸","織物","ニット生地","染色整理","その他の繊維工業製品","織物製･ニット製衣服","その他の衣服･身の回り品","その他の繊維既製品","木材","その他の木製品","家具･装備品","パルプ","紙･板紙","加工紙","紙製容器","その他の紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","その他の無機化学工業製品","石油化学系基礎製品","脂肪族中間物･環式中間物･合成染料･有機顔料","合成ゴム","その他の有機化学工業製品","合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料･印刷インキ","農薬","その他の化学最終製品","石油製品","石炭製品","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","ガラス･ガラス製品","セメント･セメント製品","陶磁器","建設用土石製品","その他の窯業･土石製品","銑鉄･粗鋼","鉄屑","熱間圧延鋼材","鋼管","冷延･めっき鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属屑","電線･ケーブル","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","その他の金属製品","ボイラ･原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","基礎素材産業用機械","金属加工機械","半導体製造装置","その他の生産用機械","事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置","電気計測器","その他の電気機械","通信機器","映像･音響機器","電子計算機･同附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車部品･同附属品","船舶･同修理","鉄道車両･同修理","航空機･同修理","その他の輸送機械","がん具･運動用品","その他の製造工業製品","再生資源回収･加工処理","住宅建築","非住宅建築","建設補修","公共事業","その他の土木建設","電力","都市ガス","熱供給業","水道","廃棄物処理","卸売","小売","金融","保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","道路旅客輸送","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","その他の運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務(中央)","公務(地方)","学校教育","社会教育･その他の教育","学術研究機関","企業内研究開発","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸業(貸自動車業を除く。)","貸自動車業","広告","自動車整備","機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"穀類",24468,635,8372,3415,574,6539,29164,4556,3,0,1807,0,0,0,0,0,0,0,1735023,0,3,6286,4400,5020,1200,46201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7856,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,1886247,0,7,0,0,0,0,0,-16858,-16851,1869396,506,0,506,-16345,1869902,-244267,0,-18,-19542,-263827,-280172,1606075
"いも･豆類",0,25853,14965,0,0,0,1413,0,0,0,0,0,0,0,0,0,0,0,1322,41157,2861,166404,128556,13783,5200,5963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2245,0,0,0,1287,0,1837,3282,0,0,0,0,0,0,0,4904,45553,0,0,421,0,0,467087,0,96836,0,0,0,0,0,8268,105104,572191,503,60,563,105667,572754,-239881,-72,-1764,-19331,-261048,-155381,311706
"野菜",0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,3145,4138,0,18381,113455,31405,157917,0,5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,893,0,29435,0,0,0,34101,0,19178,31398,1605,0,0,0,0,0,0,33925,393110,0,922,6050,0,0,886493,15288,1598232,0,0,0,0,0,0,1613520,2500013,3701,389,4090,1617610,2504103,-100481,-463,-3281,-8279,-112504,1505106,2391599
"果実",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1015,0,17067,24354,1257,84613,6216,24534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,255,0,11881,0,0,0,12904,0,9630,15887,3254,0,0,0,0,0,0,16015,191435,0,0,2694,0,0,423695,13909,693186,0,0,0,0,23365,0,730460,1154155,10359,65,10424,740884,1164579,-304497,-157,-26284,-26462,-357400,383484,807179
"その他の食用作物",0,0,0,0,1227,1194,13086,0,0,0,0,0,0,0,0,0,0,37,30292,25501,125,354246,22622,5713,250082,345875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,33,0,11,16,0,0,0,0,0,0,0,23,1212,0,0,3,0,0,1051466,0,2549,0,0,0,0,10007,-4247,8309,1059775,691,0,691,9000,1060466,-832505,0,-899,-66672,-900076,-891076,160390
"非食用作物",0,1838,58637,2481,2182,59201,248172,1865,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,21227,84089,15666,662,0,670,5756,0,23,3630,0,112,0,3166,0,0,0,49,0,0,0,0,0,60,0,344,0,812,29398,0,0,0,0,3529,0,0,0,142513,13505,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,4672,0,9109,11533,0,28293,12044,0,0,0,0,0,0,11343,0,0,11,3,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2050,0,0,2038,0,1356,333,4353,800,0,0,0,0,66,1257,9942,384,27824,32911,0,0,862246,21170,279797,0,0,0,0,0,-10896,290071,1152317,20463,45,20508,310579,1172825,-418751,-60,-390,-33531,-452732,-142153,720093
"畜産",10946,3348,10063,1818,4484,13609,339181,16946,12,0,0,0,0,0,0,0,2486205,2286,0,21532,0,17003,73569,0,0,1825,0,1059,332,0,0,587,0,0,938,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,6212,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,106,0,5519,55,7066,21647,6738,0,4856,9160,0,0,0,0,0,0,0,9248,164616,0,27,1575,0,0,3243749,0,235702,0,0,0,0,160052,-5230,390524,3634273,3445,166,3611,394135,3637884,-52897,-126,-4761,-4613,-62397,331738,3575487
"農業サービス",188157,13294,71214,38538,2733,15454,156508,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11360,0,0,0,505531,0,411830,0,0,0,0,0,0,411830,917361,0,0,0,411830,917361,0,0,0,0,0,411830,917361
"育林",0,0,0,0,0,0,0,0,6915,75471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82465,0,0,0,0,0,0,0,243122,243122,325587,0,0,0,243122,325587,0,0,0,0,0,243122,325587
"素材",0,0,0,142,0,0,0,0,15,0,19199,0,0,42,4,17,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,354195,1031,2,1530,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,91,342,0,126,12,10,851,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378079,0,0,0,0,0,0,0,-31984,-31984,346095,8252,0,8252,-23732,354347,-96512,0,-4,-7721,-104237,-127969,250110
