"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合小分類)(単位:100万円)(総務省)","穀類","いも･豆類","野菜","果実","その他の食用作物","非食用作物","畜産","農業サービス","育林","素材","特用林産物","海面漁業","内水面漁業","石炭･原油･天然ガス","砂利･砕石","その他の鉱物","畜産食料品","水産食料品","精穀･製粉","めん･パン･菓子類","農産保存食料品","砂糖･油脂･調味料類","その他の食料品","酒類","その他の飲料","飼料･有機質肥料(別掲を除く。)","たばこ","紡績糸","織物","ニット生地","染色整理","その他の繊維工業製品","織物製･ニット製衣服","その他の衣服･身の回り品","その他の繊維既製品","木材","その他の木製品","家具･装備品","パルプ","紙･板紙","加工紙","紙製容器","その他の紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","その他の無機化学工業製品","石油化学系基礎製品","脂肪族中間物･環式中間物･合成染料･有機顔料","合成ゴム","その他の有機化学工業製品","合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料･印刷インキ","農薬","その他の化学最終製品","石油製品","石炭製品","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","ガラス･ガラス製品","セメント･セメント製品","陶磁器","建設用土石製品","その他の窯業･土石製品","銑鉄･粗鋼","鉄屑","熱間圧延鋼材","鋼管","冷延･めっき鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属屑","電線･ケーブル","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","その他の金属製品","ボイラ･原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","基礎素材産業用機械","金属加工機械","半導体製造装置","その他の生産用機械","事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置","電気計測器","その他の電気機械","通信機器","映像･音響機器","電子計算機･同附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車部品･同附属品","船舶･同修理","鉄道車両･同修理","航空機･同修理","その他の輸送機械","がん具･運動用品","その他の製造工業製品","再生資源回収･加工処理","住宅建築","非住宅建築","建設補修","公共事業","その他の土木建設","電力","都市ガス","熱供給業","水道","廃棄物処理","卸売","小売","金融","保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","道路旅客輸送","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","その他の運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務(中央)","公務(地方)","学校教育","社会教育･その他の教育","学術研究機関","企業内研究開発","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸業(貸自動車業を除く。)","貸自動車業","広告","自動車整備","機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"特用林産物",0,0,1360,13,0,106,0,0,1,0,31,234,17,0,0,0,5,348,0,1269,585,0,11366,0,0,1,0,0,0,0,31,0,0,0,0,0,2327,34,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,184,0,5004,0,0,0,0,0,0,1455,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,645,0,69,138,481,393,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,1988,0,0,0,523,0,1260,2329,0,0,0,0,0,0,0,5257,51612,0,0,913,0,0,91126,3108,174150,0,0,0,0,0,44,177302,268428,1521,14,1535,178837,269963,-40570,-17,-1549,-3370,-45506,133331,224457
"海面漁業",0,0,0,0,0,0,0,0,0,0,0,44717,408,0,0,0,657,1007499,0,981,0,457,34109,0,0,2796,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,208,0,2154,0,0,0,10095,0,6568,14758,0,0,0,0,0,0,0,15562,117299,0,53,2488,0,0,1309645,14509,314958,0,0,0,0,0,6826,336293,1645938,58602,297,58899,395192,1704837,-192554,-699,-6637,-15929,-215819,179373,1489018
"内水面漁業",0,0,0,0,0,0,0,0,0,0,0,0,18997,0,0,0,0,13830,0,0,0,0,14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1953,0,1021,1902,0,0,0,0,0,0,0,4107,65188,0,228,738,0,0,122596,0,14584,0,0,0,0,0,206,14790,137386,3467,61,3528,18318,140914,-29095,-150,-724,-2385,-32354,-14036,108560
"石炭･原油･天然ガス",0,0,0,0,0,0,96,0,0,4,71,0,0,237,0,0,1333,199,36,3156,21,2431,1419,242,902,757,97,9,0,10,873,242,25,88,78,0,12,0,12717,31569,259,65,565,0,33518,62,3820,1291,19267,5468,7021,2400,7118,1305,1557,19,132,0,934,9071166,759461,324,481,251,30,0,6792,51516,8765,2827,8161,60882,0,40829,31,430,1984,32,5591,0,155,2056,323,0,151,2035,15,410,0,0,121,422,0,0,27,3,12,1,11,0,5,0,0,0,0,503,1760,575,0,0,0,173,0,0,163,711,12,1,5053,0,0,165,3,26,108,243,12,8,8,133,56,5801547,1816935,543,0,11,81,183,42,0,78,0,0,154,0,0,1,0,0,0,3,0,0,134,17,41,95,0,0,3,0,0,14,0,5,115,0,20,1597,422,0,43,145,282,619,4,0,14,0,19,449,23,607,116,9,0,0,17800809,0,14,0,0,0,0,0,19041,19055,17819864,91,0,91,19146,17819955,-15676411,0,0,-1954610,-17631021,-17611875,188934
"砂利･砕石",0,0,0,0,0,0,0,0,236,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27669,0,0,0,0,0,0,122669,0,0,15896,-41196,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30730,33007,2947,190264,121724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,504523,0,14,0,0,0,0,0,-5209,-5195,499328,13846,0,13846,8651,513174,-13361,0,0,-1069,-14430,-5779,498744
"その他の鉱物",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,76,0,0,0,362,0,0,0,0,3,0,0,0,0,0,3,0,395,7058,673,0,30,0,1598,2493,52055,-62,21,0,918,217,0,566,21,26,133,766,130,-18500,231,0,294,293,0,16,62227,43056,27599,19025,38262,1304765,0,0,0,0,429,0,1256206,0,0,259,42,307,0,151,0,0,0,0,87,0,0,3,0,0,0,0,463,0,0,0,362,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4026,0,0,0,0,1512,9,-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249,-791,0,317,640,0,1016,2810696,-5364,-6148,0,0,0,0,-6516,-15683,-33711,2776985,31138,0,31138,-2573,2808123,-2451747,0,0,-196139,-2647886,-2650459,160237
"畜産食料品",0,0,0,0,0,0,1856,0,0,0,0,0,0,0,0,0,769278,5878,0,279352,3,37203,436256,1457,184528,31428,0,0,0,0,0,0,0,129,7486,0,0,0,0,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,22505,0,0,1104,0,19931,0,0,0,0,0,0,20634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,0,0,2096,402,87764,437,0,0,45602,0,28612,49505,0,0,0,0,0,0,0,80540,1606141,0,239,15164,0,0,3750580,60260,3954723,0,0,0,0,0,-12097,4002886,7753466,34368,4012,38380,4041266,7791846,-1691615,-2757,-231619,-153666,-2079657,1961609,5712189
"水産食料品",0,0,0,0,0,0,0,0,0,0,0,49939,1086,0,0,0,1613,244914,0,18019,2469,24948,122222,0,0,7968,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,1683,88,15327,112,0,0,28031,0,25410,44712,0,0,0,0,0,0,0,43016,719078,0,109,6686,0,0,1357919,60873,3096720,0,0,0,0,0,5387,3162980,4520899,180989,2265,183254,3346234,4704153,-1434254,-746,-55318,-119083,-1609401,1736833,3094752
"精穀･製粉",0,0,0,0,0,0,5253,0,0,0,4269,0,0,0,0,0,0,555,29907,492698,188,28455,305514,46564,0,59880,0,0,0,0,7,0,0,0,0,3001,101,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,0,372,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,1451,0,13441,0,0,0,17883,0,10541,28401,3006,0,0,0,0,0,0,29654,315090,0,0,4816,0,0,1401808,3399,1328758,0,0,0,0,0,-8412,1323745,2725553,12520,0,12520,1336265,2738073,-79050,-499,-2089,-6342,-87980,1248285,2650093
"めん･パン･菓子類",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98722,0,0,4076,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,867,671,14040,0,0,0,10884,0,9184,17422,3232,0,0,0,0,0,0,19588,605469,0,0,3311,0,0,788684,119346,5364006,0,0,0,0,0,-9214,5474138,6262822,84004,73127,157131,5631269,6419953,-198057,-2693,-28577,-17616,-246943,5384326,6173010
"農産保存食料品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4684,349,0,82509,43655,20613,72358,1648,61055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,406,0,6193,0,0,0,6556,0,6393,9864,0,0,0,0,0,0,0,10058,202934,0,0,1787,0,0,531081,8442,962549,0,0,0,0,0,-1035,969956,1501037,13232,292,13524,983480,1514561,-607313,-210,-56327,-53039,-716889,266591,797672
"砂糖･油脂･調味料類",0,0,0,0,0,0,18175,0,0,0,0,28,4,0,0,0,71801,71335,1881,394838,42132,469391,271476,41787,116195,299416,250,2,464,0,63,15,0,0,0,0,0,0,0,8711,4452,121,1,0,55,0,538,0,51,0,17388,201,0,49100,52701,74,11149,0,23001,70,0,220,0,6,0,7,182,0,520,254,2003,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,628,0,14268,0,0,0,13415,0,10667,19067,0,0,0,0,0,0,0,19286,406238,0,0,3326,0,0,2457830,40364,1112250,0,0,0,0,0,-754,1151860,3609690,58972,168,59140,1211000,3668830,-469232,-465,-9533,-38135,-517365,693635,3151465
