"Date","[国内企業物価指数] 総平均","大類別/スクラップ類","大類別/工業製品","大類別/鉱産物","大類別/電力・都市ガス・水道","大類別/農林水産物"
"15年02月",0,-2.5,-0.1,0.2,0.7,2
"15年03月",0.2,-1.6,0.2,0.3,0.4,-0.6
"15年04月",0,-0.3,0,-1.3,-0.3,0.7
"15年05月",0.2,1.1,0.3,-0.9,0.3,-0.4
"15年06月",-0.1,1.5,0.1,-1.4,-4.2,0.5
"15年07月",-0.4,-4.7,-0.4,-1,-0.4,0.6
"15年08月",-0.7,-4,-0.6,-0.4,-2.5,0.4
"15年09月",-0.4,-11.8,-0.3,-0.6,-1.9,1.4
"15年10月",-0.7,-7.4,-0.5,0,-3.4,0.8
"15年11月",0,-2.7,-0.1,0,0.2,1
"15年12月",-0.4,1.9,-0.5,0.3,-0.1,1.3
"16年01月",-1.1,-1.1,-1,-0.1,-0.5,-4.1
"16年02月",-0.3,1.1,-0.3,-0.2,-1.1,1.6
"16年03月",-0.1,3,0,-0.5,-1.6,-0.7
"16年04月",-0.4,14.2,-0.4,-2.1,-2.2,0.2
"16年05月",0,4.1,-0.1,-0.5,0.5,1.2
"16年06月",0,-10.7,0.2,-1.1,-2.7,0
"16年07月",-0.1,-2.7,-0.1,-0.5,2.6,-1.6
"16年08月",-0.3,0.8,-0.2,-0.8,-1.8,-0.5
"16年09月",0.1,1.8,0,-0.3,-0.6,2.8
"16年10月",-0.1,0,0.2,-0.5,-3.9,0.8
"16年11月",0.4,10.8,0.2,0.4,0.4,1.9
"16年12月",0.7,9.3,0.6,0.4,0.8,1.1
"17年01月",0.6,3.2,0.7,0.3,0.8,-2.1
"17年02月",0.2,0.2,0.2,0.6,1.5,0.7
"17年03月",0.3,6.3,0.1,0.9,1.3,-0.1
"17年04月",0.2,-2.5,0.2,-0.7,1.8,0.6
"17年05月",0,-8.1,-0.2,1,2.7,-0.1
"17年06月",0.1,1.3,0,0.2,1,0.8
"17年07月",0.2,6.4,-0.1,-0.1,3.8,0.1
"17年08月",0,7.1,0.1,0.2,-0.1,-0.7
"17年09月",0.3,4.8,0.2,0.2,0.4,1.7
"17年10月",0.4,-1.7,0.6,-0.1,-3.8,1.5
"17年11月",0.4,5,0.4,0.1,-0.4,2.6
"17年12月",0.2,3.7,0.2,0.1,-0.4,0.6
"18年01月",0.3,2.2,0.4,0.1,0.3,-3.9
"18年02月",0,-1.3,0,0.5,0.4,0.6
"18年03月",-0.1,0.5,-0.2,0.8,1,-0.3
"18年04月",0.4,-5.4,0.4,0.6,1.2,-0.2
"18年05月",0.5,1.6,0.4,0.8,1.5,1.2
"18年06月",0.3,2.1,0.3,-0.1,0.5,-0.4
"18年07月",0.4,-1.2,0.1,0.1,3.2,1.6
"18年08月",0,1.5,0,0.5,0.8,-0.3
"18年09月",0.2,1.7,0.2,0.6,0.8,-0.8
"18年10月",0.4,1.6,0.6,0.9,-2,-0.5
"18年11月",-0.4,-5.8,-0.4,1,0.9,0.3
"18年12月",-0.6,-6,-0.8,1.1,0.9,-0.2
"19年01月",-0.5,-1.7,-0.6,0.6,1.1,-2.8
"19年02月",0.3,1,0.3,0.5,1.1,1.4
"19年03月",0.3,6.4,0.2,1.5,0.1,0.2
"19年04月",0.4,-4.1,0.6,-0.7,-0.9,1
"19年05月",-0.1,-5,-0.1,-0.8,-0.8,0.2
"19年06月",-0.6,-4.8,-0.5,-1.1,-1.4,-0.7
"19年07月",-0.1,-6.1,-0.2,-0.7,2.8,-0.6
"19年08月",-0.2,-0.8,-0.2,-1.1,-1,-0.1
"19年09月",0,-5.1,0.1,-0.8,-0.5,1.2
"19年10月",1.2,-2.3,1.5,1.9,-2.7,0
"19年11月",0.1,0.9,0.1,0.1,0.2,0.2
"19年12月",0.1,4.9,0.1,0.1,-0.6,0.8
"20年01月",0.1,0.3,0.3,0,-0.1,-2.4
"20年02月",-0.4,-8.3,-0.5,0.3,-0.3,-0.6
"20年03月",-0.9,-3.7,-0.9,0,0.1,-0.4
"20年04月",-1.5,-1.6,-1.7,-0.1,0,0.9
"企業物価指数 2015年基準/国内企業物価指数:前月比(%) Source:日本銀行",,,,,,
"国内企業物価指数",,,,,,
