"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"83年03月",2.3,2.3,2.5,2.4
"83年04月",2.1,2.1,2.5,2.4
"83年05月",2.7,1.9,2.6,2.3
"83年06月",2,1.8,2.4,2.2
"83年07月",2.3,1.8,2.5,2.3
"83年08月",1.3,1.3,2.1,2
"83年09月",0.9,1.6,2.2,2
"83年10月",1.5,1.6,2.3,2
"83年11月",1.9,1.7,2.6,2.4
"83年12月",1.7,1.6,2.5,2.3
"84年01月",1.9,1.7,2.5,2.5
"84年02月",2.9,2,2.7,2.7
"84年03月",2.5,2,2.5,2.5
"84年04月",2.3,2,2.4,2.3
"84年05月",2,2.4,2.9,2.7
"84年06月",1.9,2.1,2.6,2.4
"84年07月",2.5,2.2,2.6,2.4
"84年08月",1.9,2.3,2.7,2.6
"84年09月",2.3,2.2,2.4,2.4
"84年10月",2.2,2.3,2.9,2.7
"84年11月",2.2,2.2,2.8,2.4
"84年12月",2.6,2.3,2.8,2.4
"85年01月",2.9,2.4,3.2,2.7
"85年02月",1.5,2.3,2.7,2.2
"85年03月",1.8,2.3,3,2.5
"85年04月",2,2.4,2.8,2.5
"85年05月",1.8,1.8,2.5,2.1
"85年06月",2.5,2,2.8,2.4
"85年07月",2.4,2.1,2.6,2.3
"85年08月",2.3,2.5,2.4,2
"85年09月",1.7,1.8,2.9,2.4
"85年10月",2.3,1.3,2.6,2.3
"85年11月",1.9,1.4,2.7,2.4
"85年12月",1.9,1.5,2.7,2.4
"86年01月",1.5,1.4,1.8,1.7
"86年02月",1.8,1.6,2.1,1.9
"86年03月",1.3,1.4,1.9,1.7
"86年04月",1,1.2,2,1.6
"86年05月",1.1,1.3,2,1.7
"86年06月",0.6,0.8,2,1.7
"86年07月",0.1,0.6,1.9,1.6
"86年08月",0.1,0.5,1.8,1.5
"86年09月",0.5,0.5,1.9,1.5
"86年10月",-0.3,0.4,1.8,1.5
"86年11月",0,0.2,1.8,1.4
"86年12月",-0.3,0.1,1.7,1.4
"87年01月",-1.1,-0.3,1.7,1.1
"87年02月",-1,-0.1,1.7,1.1
"87年03月",-0.5,0,1.8,1.2
"87年04月",0.1,0.1,1.8,1.1
"87年05月",0,-0.2,1.4,0.7
"87年06月",0.3,0.3,1.4,0.8
"87年07月",0.1,0.5,1.6,0.9
"87年08月",0.4,0.6,1.7,1
"87年09月",0.8,0.5,1.4,0.8
"87年10月",0.7,0.5,1.3,0.7
"87年11月",0.7,0.6,1.4,0.7
