"Date","利益剰余金(当期末純資産):兆円"
"1983-06-01",48.712627
"1983-09-01",50.371766
"1983-12-01",51.691424
"1984-03-01",53.892444
"1984-06-01",53.35857
"1984-09-01",54.052332
"1984-12-01",56.298395
"1985-03-01",57.656935
"1985-06-01",60.119619
"1985-09-01",61.637882
"1985-12-01",64.048053
"1986-03-01",64.817685
"1986-06-01",69.900994
"1986-09-01",69.509419
"1986-12-01",72.813617
"1987-03-01",72.902105
"1987-06-01",78.621288
"1987-09-01",79.602827
"1987-12-01",82.676089
"1988-03-01",84.7801
"1988-06-01",88.882744
"1988-09-01",90.040351
"1988-12-01",94.937282
"1989-03-01",98.023072
"1989-06-01",94.542473
"1989-09-01",97.762591
"1989-12-01",104.291517
"1990-03-01",103.899768
"1990-06-01",107.859439
"1990-09-01",109.11856
"1990-12-01",114.839512
"1991-03-01",113.982162
"1991-06-01",122.053072
"1991-09-01",123.94639
"1991-12-01",128.668164
"1992-03-01",129.983044
"1992-06-01",127.225156
"1992-09-01",125.002833
"1992-12-01",131.223254
"1993-03-01",127.956228
"1993-06-01",133.610299
"1993-09-01",132.334103
"1993-12-01",135.986689
"1994-03-01",134.635141
"1994-06-01",134.729213
"1994-09-01",138.251853
"1994-12-01",143.586102
"1995-03-01",141.818131
"1995-06-01",139.331151
"1995-09-01",142.097555
"1995-12-01",145.294894
"1996-03-01",141.879842
"1996-06-01",142.859998
"1996-09-01",138.759662
"1996-12-01",142.962978
"1997-03-01",146.980257
"1997-06-01",140.518019
"1997-09-01",142.680501
"1997-12-01",148.751857
"1998-03-01",144.829139
"1998-06-01",156.875733
"1998-09-01",155.6042
"1998-12-01",161.638336
"1999-03-01",164.326387
"1999-06-01",166.527233
"1999-09-01",168.689183
"1999-12-01",173.176566
"2000-03-01",167.87334
"2000-06-01",177.978687
"2000-09-01",190.485444
"2000-12-01",194.210932
"2001-03-01",195.431867
"2001-06-01",189.947521
"2001-09-01",184.628711
"2001-12-01",182.117364
"2002-03-01",180.614936
"2002-06-01",179.293462
"2002-09-01",180.235306
"2002-12-01",188.649445
"2003-03-01",191.845182
"2003-06-01",197.347674
"2003-09-01",202.865709
"2003-12-01",208.361249
"2004-03-01",222.87443
"2004-06-01",207.842422
"2004-09-01",203.626292
"2004-12-01",213.437291
"2005-03-01",208.353909
"2005-06-01",205.753816
"2005-09-01",214.943273
"2005-12-01",222.162892
"2006-03-01",222.690941
"2006-06-01",226.676438
"2006-09-01",236.10175
"2006-12-01",239.69406
"2007-03-01",241.970268
"2007-06-01",259.949971
"2007-09-01",264.24948
"2007-12-01",270.089684
"2008-03-01",272.370014
"2008-06-01",269.404298
"2008-09-01",279.67347
"2008-12-01",267.298038
"2009-03-01",257.942176
"2009-06-01",262.48602
"2009-09-01",263.077723
"2009-12-01",267.281623
"2010-03-01",258.832101
"2010-06-01",277.058913
"2010-09-01",280.484325
"2010-12-01",286.727466
"2011-03-01",290.109807
"2011-06-01",266.310382
"2011-09-01",265.237383
"2011-12-01",273.980373
"2012-03-01",270.909838
"2012-06-01",272.836716
"2012-09-01",273.155591
"2012-12-01",274.403111
"2013-03-01",284.747205
"2013-06-01",279.448457
"2013-09-01",286.901172
"2013-12-01",293.532035
"2014-03-01",304.237859
"2014-06-01",313.062428
"2014-09-01",323.764441
"2014-12-01",332.015991
"2015-03-01",345.888587
"2015-06-01",342.839747
"2015-09-01",343.110059
"2015-12-01",355.765152
"2016-03-01",366.685995
"2016-06-01",365.249468
"2016-09-01",365.311905
"2016-12-01",375.128024
"2017-03-01",390.397757
"2017-06-01",388.330637
"2017-09-01",389.13507
"2017-12-01",417.289484
"2018-03-01",426.737569
"2018-06-01",446.686405
"2018-09-01",453.171663
"2018-12-01",458.371075
"2019-03-01",466.77029
"2019-06-01",467.317115
"2019-09-01",471.082082
"2019-12-01",479.205195
"2020-03-01",483.958973
" Source:財務省",
"法人企業統計調査",
