"Date","利益剰余金(当期末純資産):兆円"
"1954-06-01",1.322259
"1954-09-01",1.535401
"1954-12-01",1.522921
"1955-03-01",1.619963
"1955-06-01",1.618434
"1955-09-01",1.658633
"1955-12-01",1.675733
"1956-03-01",1.710702
"1956-06-01",1.674941
"1956-09-01",1.716844
"1956-12-01",1.718103
"1957-03-01",1.772266
"1957-06-01",1.849425
"1957-09-01",1.909028
"1957-12-01",1.847445
"1958-03-01",1.884709
"1958-06-01",1.925769
"1958-09-01",1.926305
"1958-12-01",1.911643
"1959-03-01",2.016452
"1959-06-01",1.998224
"1959-09-01",2.126396
"1959-12-01",2.113478
"1960-03-01",2.249355
"1960-06-01",2.29155
"1960-09-01",2.415226
"1960-12-01",2.403548
"1961-03-01",2.59602
"1961-06-01",2.636858
"1961-09-01",2.884543
"1961-12-01",2.859908
"1962-03-01",3.02014
"1962-06-01",2.902099
"1962-09-01",3.073858
"1962-12-01",2.945361
"1963-03-01",3.12261
"1963-06-01",3.182449
"1963-09-01",3.460941
"1963-12-01",3.439109
"1964-03-01",3.636304
"1964-06-01",3.709732
"1964-09-01",3.937053
"1964-12-01",3.77269
"1965-03-01",4.038281
"1965-06-01",3.869172
"1965-09-01",4.081633
"1965-12-01",3.982524
"1966-03-01",4.256183
"1966-06-01",4.381703
"1966-09-01",4.732478
"1966-12-01",4.728812
"1967-03-01",5.254868
"1967-06-01",5.169959
"1967-09-01",5.733748
"1967-12-01",5.809776
"1968-03-01",6.187305
"1968-06-01",6.453432
"1968-09-01",7.063754
"1968-12-01",7.226638
"1969-03-01",7.717758
"1969-06-01",8.185541
"1969-09-01",8.789023
"1969-12-01",9.146222
"1970-03-01",9.889655
"1970-06-01",10.162563
"1970-09-01",11.014276
"1970-12-01",10.84162
"1971-03-01",11.303152
"1971-06-01",11.466064
"1971-09-01",12.069276
"1971-12-01",11.998994
"1972-03-01",12.68814
"1972-06-01",13.170988
"1972-09-01",14.166939
"1972-12-01",14.99276
"1973-03-01",16.503375
"1973-06-01",17.787848
"1973-09-01",19.639408
"1973-12-01",20.511525
"1974-03-01",22.038176
"1974-06-01",22.184306
"1974-09-01",23.019721
"1974-12-01",22.340053
"1975-03-01",22.347787
"1975-06-01",17.441307
"1975-09-01",17.772426
"1975-12-01",18.045232
"1976-03-01",18.753809
"1976-06-01",19.081301
"1976-09-01",19.906951
"1976-12-01",20.214721
"1977-03-01",20.30627
"1977-06-01",21.866463
"1977-09-01",22.495151
"1977-12-01",23.145533
"1978-03-01",23.820302
"1978-06-01",22.841759
"1978-09-01",23.636963
"1978-12-01",25.47718
"1979-03-01",26.060777
"1979-06-01",28.453003
"1979-09-01",29.609949
"1979-12-01",31.242617
"1980-03-01",32.262194
"1980-06-01",34.259838
"1980-09-01",34.980069
"1980-12-01",36.446198
"1981-03-01",37.432295
"1981-06-01",39.241323
"1981-09-01",39.560338
"1981-12-01",41.811552
"1982-03-01",42.339038
"1982-06-01",42.581652
"1982-09-01",43.35093
"1982-12-01",44.614628
"1983-03-01",46.963562
