"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"08年01月",6.7,4.8,4.1,2.6,2.8,4,3.8,8,4.9,3.2,3,4.3,4.2,4
"08年02月",7,5.4,4,2.8,2.5,4.1,3.9,7.2,5.3,3.2,3.1,4.4,4.3,4.1
"08年03月",6.3,5.5,3.8,3.1,2.5,4,3.9,6.8,4.8,3,2.8,4.3,4,3.9
"08年04月",6.5,5.5,3.9,3.3,2.3,4.1,3.9,7.5,5,2.9,2.8,4.3,4,3.9
"08年05月",5.9,5.3,3.9,3,2.2,3.9,3.7,7.8,5.1,3,3,4.3,4.2,4.1
"08年06月",6.3,5.5,4,2.8,2.6,4,3.8,7.7,4.8,3.3,3,4.2,4.1,4.1
"08年07月",7.6,5.5,3.8,2.6,2.7,4.1,3.9,7.8,4.9,2.9,2.9,4.2,4.1,4
"08年08月",6.6,5.7,3.8,2.5,2.8,4.1,3.9,8.8,5.3,3.2,2.9,4.3,4.3,4.2
"08年09月",6.8,5.5,3.9,2.8,2.7,4.1,3.8,9.1,5,3,3,4.2,4.2,4.1
"08年10月",6.5,4.8,3.9,2.9,2.1,3.8,3.6,7.2,5.2,3.2,2.9,4,4.1,4
"08年11月",7.6,5,4.1,2.9,2.3,4.1,3.8,7.6,5.1,3.2,3.2,4.4,4.3,4.1
"08年12月",6.9,5.6,4.3,3.3,3.3,4.4,4.2,8,5.7,3.5,3.6,5.1,4.8,4.5
"09年01月",7.4,5.6,4.4,3.5,2.5,4.4,4.2,8.2,5.7,3.8,3.1,4.4,4.6,4.4
"09年02月",8.8,5.7,4.6,3.5,2.9,4.7,4.5,8.9,5.8,4.1,3.5,4.6,4.9,4.6
"09年03月",9.1,6,4.8,3.7,3.5,5.1,4.8,9.4,5.9,4.2,3.8,4.8,5.1,4.9
"09年04月",8.7,5.8,4.8,3.8,2.9,4.9,4.7,9.2,6.2,4.5,4,5.3,5.4,5.2
"09年05月",8.2,5.9,5.1,4,3.4,5.1,4.8,9.2,6.6,4.9,4.2,5.6,5.6,5.4
"09年06月",8.3,6.2,5,3.9,3.5,5.1,4.8,9.4,7.2,4.7,3.6,6,5.7,5.5
"09年07月",7.9,6.7,5.2,3.7,3.9,5.3,4.9,11.7,7.2,4.8,4,5.9,6,5.9
"09年08月",8.2,6.5,5.1,4.2,3.8,5.2,4.9,10.2,7.2,4.5,4.2,6.4,5.9,5.7
"09年09月",7.9,7,5,4.6,3.7,5.4,5,11.3,7.3,3.9,4,6,5.8,5.6
"09年10月",8.2,6.9,4.8,3.9,3.6,5.2,4.9,10.8,6.6,4.3,4.2,5.7,5.6,5.4
"09年11月",7.7,6.6,5.3,4,3.7,5.2,4.9,10.8,6.5,4.6,4,6.2,5.7,5.5
"09年12月",8.4,6.7,5.2,4,3.4,5.3,5,11.1,6.3,4.4,3.9,5.6,5.5,5.3
"10年01月",7.2,6.5,5.3,3.7,3.3,5,4.7,11,6.2,4.2,4,5.7,5.5,5.3
"10年02月",7,6,5,3.5,3.3,4.8,4.5,11.4,6.7,4.1,4.1,5.9,5.6,5.4
"10年03月",8.1,5.7,4.8,3.5,3,4.8,4.5,11.4,6.7,4.3,4.4,6,5.8,5.5
"10年04月",7.8,5.9,4.9,3.8,3.8,4.9,4.7,9.7,6.5,4.3,4.3,6,5.6,5.4
"10年05月",9.2,5.7,5,3.4,3.6,4.9,4.6,11.3,6.5,4.5,3.7,6.2,5.7,5.5
"10年06月",9,5.4,5.2,3.8,3.1,4.9,4.7,12.7,6.6,4.2,4,5.8,5.7,5.5
"10年07月",8,5.3,5,4,3.4,4.8,4.5,10,6.5,3.9,4,6.1,5.5,5.4
"10年08月",7.9,5.8,5,4,3.6,5,4.6,9.5,6.6,4.3,4.2,6,5.5,5.4
"10年09月",8.6,5.6,4.7,3.7,3.4,4.8,4.5,9.2,6.4,5,4.2,6.6,5.8,5.6
"10年10月",8.7,5.9,4.9,3.5,3.5,4.9,4.6,9.9,6.5,4.4,3.9,6.7,5.7,5.4
"10年11月",8.1,6.1,5.1,3.4,3.2,4.9,4.5,10.4,6.9,4.3,3.9,6,5.7,5.4
"10年12月",7.5,5.6,5.3,3.1,3.1,4.7,4.4,9.8,7.1,4,4,5.6,5.5,5.2
"11年01月",7.5,5.4,4.7,3.4,3,4.5,4.3,9.1,7,4.1,4.1,5.7,5.5,5.2
"11年02月",7.1,5.4,4.8,3.6,3.2,4.6,4.4,9.2,5.9,4.2,3.6,5.5,5.1,4.9
"11年03月",7.5,5.3,4.7,3.4,3.3,4.7,4.3,9.6,6,4,3.6,5.9,5.2,5
"11年04月",6.9,5.6,4.7,2.9,3.3,4.5,4.2,10,6.1,3.9,3.9,5.9,5.2,5
"11年05月",6.8,5.3,4.5,3.2,3.2,4.4,4.1,9.5,6.1,4,3.7,5.6,5.2,5
"11年06月",6.7,5.7,5,3.6,3,4.7,4.4,9.1,6,4.2,4,5.5,5.1,4.9
"11年07月",7.5,5.7,4.3,3.8,3.1,4.6,4.3,9,6.1,4.2,3.8,5.6,5.2,5
"11年08月",7.4,5.4,4.5,3.4,2.9,4.5,4.2,9.8,5.8,3.5,3.4,5.5,4.9,4.7
"11年09月",6.4,4.7,4.3,2.9,3.2,4.1,3.8,8.6,5.7,3.5,3.5,4.9,4.7,4.5
"11年10月",6.5,4.6,4.4,3.3,3.4,4.2,3.9,9.9,6,3.6,3.6,5.2,5,4.8
"11年11月",6.9,4.7,4.4,3.6,3.1,4.3,4.1,10.2,6.1,3.9,3.5,4.9,5,4.7
"11年12月",7.6,5.2,4.1,3.6,2.8,4.3,4,10.4,6.1,4.1,3.4,5.3,5.1,4.9
"12年01月",8.1,5.7,4.1,3.8,3.1,4.6,4.3,9.7,5.5,3.7,3.4,5.5,4.9,4.7
"12年02月",8.3,5.3,4.2,3.4,3.2,4.4,4.2,10.2,5.6,3.6,3.3,5.7,4.9,4.7
"12年03月",7.6,5.7,4.4,3.7,2.9,4.5,4.2,9.8,6,3.7,3.5,5.3,4.9,4.8
"12年04月",7.9,5.1,4.3,3.3,3,4.4,4.1,9.6,6.2,4,3.3,5.3,5,4.8
"12年05月",7.1,5.2,4.5,3.4,2.8,4.3,4.1,9.1,5.9,3.6,3.6,4.8,4.8,4.6
"12年06月",7.3,4.6,4.4,3.3,3.2,4.2,4,7.5,5.9,3.8,3.9,4.5,4.7,4.6
"12年07月",7.9,4.3,4.9,3.4,2.8,4.3,4,9.1,5.9,3.9,3.5,4.5,4.7,4.6
"12年08月",6.9,4.8,4.1,3,2.9,4.1,3.8,9.1,5.9,3.9,3.5,4.3,4.7,4.5
"12年09月",6.8,5.4,4.3,2.9,2.8,4.2,3.9,7.9,5.9,4.1,3.3,4.7,4.7,4.5
"12年10月",7.4,4.8,4.3,3.3,2.9,4.2,3.9,8.2,5.7,3.8,3,4.3,4.5,4.3
"12年11月",6.1,4.9,4.3,3.1,3.2,4.1,3.8,8,5.3,3.9,3.3,4.7,4.5,4.3
"12年12月",6.4,5.1,4.3,3.1,3.3,4.2,3.9,8,5.5,3.7,3.2,5.1,4.6,4.5
"13年01月",5.9,4.7,4.4,2.8,3.3,4,3.8,8.2,5.9,4,3.2,5,4.8,4.5
"13年02月",6.1,5.2,4.5,3.1,2.8,4.2,3.9,7.4,6.4,4,3.7,4.4,4.8,4.6
"13年03月",5.9,4.8,3.9,2.7,2.7,3.8,3.6,7.5,6.5,3.9,3.6,4.2,4.7,4.5
"13年04月",7.2,4.7,4.1,3.2,2.5,4,3.8,8.5,6,3.6,3.5,4.1,4.6,4.4
"13年05月",6.4,5,4.1,3.3,2.8,4.1,3.9,7.5,5.7,3.8,3.4,4.5,4.6,4.3
"13年06月",5.6,5.2,3.6,2.8,2.8,3.7,3.5,7.2,5.8,3.3,3,4.6,4.3,4.2
"13年07月",4.8,4.8,3.5,2.8,2.3,3.5,3.3,7.4,5.4,3.4,3.3,4.6,4.4,4.2
"13年08月",6,4.6,4.4,3,2.7,3.9,3.7,7.6,5.6,3.8,3.5,4.4,4.5,4.4
"13年09月",5.6,4.7,4,3.1,2.6,3.8,3.5,9,5.3,3.4,3.3,4.3,4.4,4.2
"13年10月",5.7,5,4.1,3.5,2.6,4,3.7,7.7,5.3,3.5,3.7,4.2,4.4,4.2
"13年11月",6.7,4.8,3.4,3.2,3.1,3.9,3.7,7.2,5.2,3.5,3.3,4.2,4.2,4.1
"13年12月",5.6,4.5,3.4,3,3,3.7,3.5,6.6,4.8,3.8,2.9,3.7,4,3.8
"14年01月",5.9,4.5,3.8,2.9,2.7,3.7,3.5,7,4.8,3.4,3,3.6,3.9,3.8
"14年02月",5.1,4.6,3.5,3,2.4,3.6,3.4,7,4.8,3.5,2.7,3.6,3.9,3.7
"14年03月",5.5,4.4,3.7,3.4,2.3,3.7,3.5,7.7,4.6,3.4,2.8,3.8,3.9,3.8
"14年04月",4.7,4.3,3.5,3.4,2.6,3.5,3.4,7.7,4.6,3.3,3.2,3.8,4,3.9
"14年05月",5.3,4.8,3.4,2.9,2.6,3.6,3.4,7.6,4.7,3.3,2.8,3.7,3.8,3.7
"14年06月",5.8,4.6,3.3,3.1,2.5,3.7,3.4,8.4,4.6,3.5,2.7,4,4,3.9
"14年07月",5.9,4.2,3.8,3.3,2.9,3.8,3.6,7.4,4.9,3.1,3,3.9,4,3.8
"14年08月",5.3,4.1,3.2,3.3,2.1,3.4,3.2,6.1,4.8,3.1,2.8,3.8,3.8,3.7
"14年09月",5.7,4.3,3.7,3.2,2.1,3.6,3.4,5.7,5.1,3,3,3.7,3.8,3.7
"14年10月",5.2,4.9,3.3,2.7,2.4,3.5,3.3,6.2,4.9,3.4,3,3.8,3.9,3.8
"14年11月",6,4.2,3.1,2.4,2.2,3.3,3.1,7,4.6,3.2,2.9,3.7,3.9,3.7
"14年12月",5.7,3.7,3.6,2.8,2.2,3.4,3.2,7,4.2,2.9,3,3.5,3.6,3.5
"15年01月",6.8,4.4,3.2,2.7,2.4,3.5,3.3,6.9,5.2,3.1,3,3.6,3.9,3.8
"15年02月",5.9,4.1,3.1,2.9,2.8,3.5,3.2,6.5,4.8,3.1,2.8,3.7,3.8,3.6
"15年03月",4.8,4.3,3.3,2.5,2.7,3.3,3.1,5.9,4.9,3.1,2.9,3.8,3.8,3.6
"15年04月",5,4.5,3.4,2.6,2.4,3.4,3.2,5.5,4.5,3.1,2.5,3.8,3.6,3.5
"15年05月",4.9,4.3,3.1,2.5,2.5,3.2,3,5.9,4.9,3.1,2.7,3.8,3.7,3.5
"15年06月",4.9,4,3.2,2.6,2.4,3.3,3,6.1,5,3,3,3.5,3.8,3.6
"15年07月",5.6,4.8,3.1,2.7,2.3,3.4,3.2,5.6,4.7,3.1,3,3.3,3.6,3.5
"15年08月",4.9,4.4,3.1,2.8,2.6,3.4,3.2,6,4.4,3,2.9,3.7,3.6,3.5
"15年09月",5.3,4.2,2.9,3.1,2.2,3.3,3.1,5.8,4.7,3.3,2.8,3.5,3.7,3.6
"15年10月",5.3,3.9,2.9,2.6,1.8,3.1,2.8,5.7,4.5,3.2,2.6,3.5,3.6,3.4
"15年11月",4.8,4.2,3.2,2.9,1.8,3.2,3,5.9,5,2.8,2.8,3.2,3.6,3.4
"15年12月",4.2,4.6,2.8,2.8,2,3.2,2.9,6.1,5.1,2.7,2.9,3.5,3.7,3.5
"16年01月",4.4,4,2.7,2.9,2.2,3.1,2.9,6.1,4.4,3.1,3,3.6,3.7,3.4
"16年02月",5,4,2.9,2.5,2,3.1,2.9,6.2,4.2,3,3,3.9,3.7,3.6
"16年03月",5.6,3.6,3.1,2.5,2.2,3.2,3,6.3,3.9,3,2.7,3.7,3.5,3.4
"16年04月",4.7,4.6,3,2.4,2.2,3.2,3,5.6,4.6,2.9,2.5,3.6,3.5,3.4
"16年05月",4.9,4.2,3,2.5,2.1,3.1,2.9,5.5,4.2,3,2.7,3.3,3.5,3.4
"16年06月",5,4.2,3.3,2.5,2.1,3.2,2.9,5.2,4.2,2.9,2.7,3.2,3.4,3.2
"16年07月",3.8,4.3,3,2.1,2.4,3,2.8,5.7,4,2.9,2.2,3.4,3.3,3.2
"16年08月",4.5,4.4,2.9,2,2.2,3,2.8,5.7,4.2,3.2,2.5,3.5,3.5,3.4
"16年09月",3.7,3.9,2.6,2,2.3,2.8,2.6,5.7,4.4,2.8,2.5,3.2,3.4,3.3
"16年10月",4.3,3.7,2.8,2.2,2.1,2.9,2.7,5.7,4.7,2.4,2.5,2.8,3.2,3.2
"16年11月",3.5,4.2,2.9,2.5,2.1,3,2.8,5.3,4.5,2.7,2.5,3.1,3.3,3.2
"16年12月",4.1,3.9,2.7,2.1,2,2.8,2.6,5.6,4.6,3.1,2.4,3.2,3.5,3.3
"17年01月",3.8,3.7,2.9,2.3,2.3,2.9,2.7,5.7,4.2,2.9,2.4,3.2,3.3,3.2
"17年02月",4.2,3.8,2.7,2.3,2,2.9,2.7,4.4,4.3,2.8,2.6,3,3.2,3.1
"17年03月",4.7,3.9,2.5,2.2,2.1,2.9,2.7,4.2,3.6,2.7,2.4,3,3,2.9
"17年04月",5,3.5,2.6,2.4,2.1,2.9,2.7,5.1,3.6,2.8,2.4,2.6,3,2.9
"17年05月",5.1,3.4,2.8,2.8,2.2,3,2.9,5.1,4.5,2.4,2.8,3.5,3.4,3.2
"17年06月",4.1,3.5,2.6,2.4,2.3,2.8,2.7,5,3.6,2.4,2.3,3.2,3,2.9
"17年07月",4.3,3.5,2.6,1.9,1.9,2.7,2.5,5.4,4.3,2.7,2.4,3,3.2,3
"17年08月",4.1,3.4,2.8,2.1,2.1,2.8,2.5,4.9,4.5,2.4,2.4,2.6,3,2.9
"17年09月",4.4,3.4,2.8,2.2,2.4,2.9,2.6,4.9,3.5,2.7,2.4,3,3,2.9
"17年10月",3.5,3.5,2.7,2.4,2.2,2.8,2.6,4.8,3.4,2.6,2.2,3.1,2.9,2.8
"17年11月",4.5,2.9,2.6,2.2,2.2,2.7,2.5,4.3,3.6,2.5,2.4,2.9,2.9,2.8
"17年12月",5.3,3.3,2.5,2.3,2,2.8,2.6,4,3.7,2.3,2.4,2.6,2.8,2.8
"18年01月",3.7,3.5,2.2,2,1.5,2.4,2.2,3.7,3.5,2.1,2.4,2.4,2.7,2.6
"18年02月",3.5,3.4,2.5,2,2,2.6,2.4,4.8,3.5,2.3,2.1,2.4,2.8,2.7
"18年03月",3,3.4,2.4,2,2,2.5,2.3,4.6,4,2.2,2.1,2.4,2.8,2.6
"18年04月",3.2,3,2.1,1.9,2.2,2.3,2.2,4.3,3.9,2.4,2.2,2.6,2.9,2.8
"18年05月",3,3,2,1.7,2,2.2,2.1,3.9,2.9,2.4,1.9,2.1,2.4,2.4
"18年06月",3.6,3.7,2,1.9,2.1,2.5,2.3,4.1,3.3,2.5,2.1,2.6,2.7,2.6
"18年07月",3.7,3.4,1.9,2.2,2.2,2.5,2.3,4.2,3.6,2.5,2.1,2.8,2.8,2.7
"18年08月",3.5,3.2,2,2.3,2.1,2.5,2.3,4.2,3.5,2.1,2.1,2.6,2.7,2.6
"18年09月",3,3.3,2,2.1,1.9,2.4,2.2,3.6,3.3,2.1,2.1,2.3,2.5,2.4
"18年10月",2.7,3.1,2.2,1.9,2.1,2.3,2.1,3.7,3.4,2.4,2.1,2.7,2.7,2.6
"18年11月",2.9,3.8,2.2,1.9,2.1,2.5,2.2,4.2,3.4,2.6,2,2.7,2.8,2.7
"18年12月",3,3.5,2.2,2,2.1,2.5,2.2,3.9,3.2,2.4,2.1,2.6,2.6,2.6
"19年01月",3.2,3.3,2.5,2.2,2.1,2.6,2.4,3.6,3.6,2.3,1.7,2.6,2.6,2.6
"19年02月",3.1,3,2.2,1.9,2.1,2.4,2.2,3.9,3.6,2.3,1.8,2.4,2.6,2.5
"19年03月",3,3.4,2,2.2,2,2.4,2.2,4.1,4,2.4,2.2,2.3,2.8,2.7
"19年04月",3.3,3.2,2.2,2.1,1.9,2.4,2.3,4,3.3,2.3,2.2,2.5,2.6,2.5
"19年05月",3.1,3.3,2.3,1.9,1.9,2.4,2.2,4.4,3.5,2.3,2.1,2.3,2.7,2.5
"19年06月",3.4,2.5,2,2,1.6,2.2,2,4,3.8,2.2,2.1,2.3,2.7,2.6
"19年07月",3.6,2.5,2.3,2,1.6,2.3,2.1,3.1,3,1.9,2.2,2.1,2.4,2.4
"19年08月",3.4,2.9,2,1.8,1.6,2.2,2.1,3.8,2.9,2.2,2,2.3,2.4,2.4
"19年09月",4.3,3.1,2.2,1.9,1.7,2.4,2.2,4.8,3.5,2.1,1.9,2.6,2.7,2.6
"19年10月",5,3,1.9,1.8,1.8,2.4,2.2,4.4,3.5,2,2.2,2.2,2.6,2.5
"19年11月",4,2.6,1.7,1.8,1.8,2.2,2,3.9,3.3,1.9,2,2.2,2.4,2.3
"19年12月",2.9,2.5,2,1.8,2,2.1,2,3.9,3.6,1.9,1.8,2.3,2.5,2.4
"20年01月",3.2,3.7,2.1,1.7,2.3,2.5,2.2,4,3.5,2.3,1.8,2.4,2.6,2.4
"20年02月",3.5,3.8,1.6,2.2,1.7,2.4,2.2,4.9,3.3,2.2,1.8,2.7,2.6,2.6
"20年03月",3.6,2.9,2.2,2.3,1.5,2.4,2.2,3.8,3.9,2.3,2.2,2.7,2.8,2.7
"20年04月",3.9,3.1,2.1,2.1,1.9,2.4,2.3,5.7,4.3,2.5,2.1,2.5,3,2.9
"労働力調査:完全失業率(%):季節調整値 Source:総務省",,,,,,,,,,,,,,
"完全失業率",,,,,,,,,,,,,,
