"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"94年04月",5.4,4,2.5,1.8,1.6,3,2.8,6.1,2.5,1.9,1.8,4.3,2.9,2.8
"94年05月",5.9,4.2,2.4,1.8,2,3.2,3,5.3,2.3,1.9,1.7,4.1,2.7,2.7
"94年06月",4.8,4.4,2.2,1.8,1.9,2.9,2.8,5.9,2.5,1.8,1.7,4.7,3,2.9
"94年07月",5.6,4.4,2.6,1.8,1.5,3.1,3,6,2.8,1.7,1.7,4.9,3,2.9
"94年08月",5.3,5.2,2.3,2.1,2.2,3.3,3.1,5.4,2.6,1.8,1.9,4.9,3,2.9
"94年09月",5.3,4.9,2,1.9,1.9,3.1,2.9,6,2.6,2,1.9,4.9,3.1,3
"94年10月",5.5,4.8,2.2,1.9,2,3.2,3,6.1,2.8,1.8,1.8,5,3.1,3
"94年11月",5.4,5.3,1.9,1.9,2.1,3.2,3,5.5,2.6,1.8,1.6,5,2.9,2.8
"94年12月",4.9,4.9,2.4,1.6,2.1,3.1,2.9,5.3,2.5,1.9,1.8,4.7,2.9,2.8
"95年01月",5.2,4.8,2.5,2,1.7,3.1,3,5.9,2.6,1.9,1.9,4.6,3,2.9
"95年02月",5.7,4.5,2.2,2,1.7,3.2,3,5.7,2.8,1.9,1.9,4.6,3,2.9
"95年03月",5.9,4.6,2.6,2,1.8,3.3,3.2,5.8,3,2,1.8,4.8,3.1,3
"95年04月",6,4.9,2.5,2,2.1,3.3,3.1,6.2,3,2,1.8,4.8,3.2,3.1
"95年05月",5.5,4.9,2.6,1.8,2.2,3.3,3.1,5.4,3.1,1.9,1.6,4.6,3,2.9
"95年06月",5.8,4.4,2.5,2.4,2.7,3.4,3.3,6,3,1.9,1.8,4.5,3,3
"95年07月",5.9,4.6,2.3,2.2,2.3,3.3,3.2,6.6,2.9,2.3,1.8,4.6,3.2,3.1
"95年08月",7,4.8,2.5,2.1,2.1,3.5,3.4,6.9,3,2,1.9,4.2,3.2,3.1
"95年09月",6.6,5.2,2.8,2.2,2.3,3.6,3.4,6.5,3,1.9,2.1,4.4,3.2,3.1
"95年10月",5.3,5.6,2.7,1.9,2.2,3.5,3.3,6.4,2.9,2,1.9,4.7,3.2,3.2
"95年11月",6.5,4.8,2.8,1.9,2.4,3.5,3.4,6.9,3.6,2.2,1.9,5.1,3.5,3.4
