"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",-237925,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-01-09",-267622,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-01-16",-290642,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-01-23",-301086,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-01-30",-329066,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-02-06",-210758,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-02-13",-133986,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-02-20",-156952,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-02-27",-104947,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-03-06",-92794,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-03-13",-119263,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-03-20",-184036,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-03-27",-113227,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-04-03",-132636,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-04-10",-81805,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-04-17",-86748,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-04-24",-69264,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-05-01",-61236,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-05-08",-54256,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-05-15",-31029,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-05-22",4524,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-05-29",62892,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-06-05",3490,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-06-12",-17571,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-06-19",4404,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-06-26",23451,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-07-03",-11043,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-07-10",-59,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-07-17",-19143,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-07-24",-49057,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-07-31",-99059,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-08-07",-93582,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-08-14",-86846,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-08-21",-97333,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-08-28",-142738,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-09-04",-148064,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-09-11",-197128,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-09-18",-209367,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-09-25",-289832,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-10-02",-293018,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-10-09",-243564,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
"2018-10-16",-259716,"2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $200,000 FACE VALUE)"
