"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",99216,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-01-15",87913,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-01-22",74504,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-01-29",99593,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-02-05",109095,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-02-12",104874,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-02-19",145647,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-02-26",135696,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-03-05",88018,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-03-12",78819,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-03-19",88396,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-03-26",119938,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-04-02",94556,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-04-09",105364,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-04-16",56273,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-04-23",37395,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-04-30",66219,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-05-07",75411,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-05-14",124536,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-05-21",88805,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-05-28",86688,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-06-04",156115,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-06-11",184238,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-06-18",204323,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-06-25",236554,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-07-02",258946,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-07-09",244763,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-07-16",245501,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-07-23",251250,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-07-30",254388,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-08-06",292545,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-08-13",290090,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-08-20",299993,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-08-27",296838,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-09-03",300547,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-09-10",269725,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-09-17",282599,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-09-24",312444,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-10-01",268993,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-10-08",275563,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-10-15",253027,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
"2019-10-22",259132,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
