"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)",0,0.000001,0.000507,0.000065,0,0,0.000979,0.003227,0.004495,0.001472,0.000752,0.01705,0.000558,0.001836,0.001423,0.014795,0.00784,0.000533,0.006095,0.024159,0.017439,0.301243,0.380805,0.26376,0.067518,0.14369,0.000239,0.001481,0.037056,0.122465,0.002665,0.013522,0.000171,0.000795,0.029683,0.000056,0,0.000025,0,0.000292,0.002529,0.00009,0.000203,0.000681,0.000022,0.001193,0.006804,0.002067,0.001125,0.003642,0.000894,0.002026,0.000397,0.000021,0.000029,0.000066,0.000299,0.000126,0.000013,0.001185,0,0.000057,0.00022,0,0,0,0.000003,0.000067,0,0,0,0,0,0,0,0,0,0,0,0,0.000005,0.000543,0.000003,0,0,0,0,0.000306,0.000004,0.000439,0.004264,0.000389,0.000837,0.000013,0.000065,0,0.000001,0,0.000359,0,0,0,0.000722,0,0.000083,0,0.000277
"合成樹脂",0,0,0,0,0,0,0,0.000055,0,0.000017,0,0.001886,0.000038,0.002596,0.000748,0.002837,0.003222,0.000523,0,0,0,0,0.003175,0.065333,0,0.020859,0,0.000001,0.154166,0.000537,0.007494,0.000979,0,0,0.002333,0,0.00001,0,0,0,0.004468,0.00003,0.000185,0.000002,0.00007,0.002619,0.003682,0.003156,0.003291,0.004909,0,0.004514,0.001976,0.001131,0,0,0.002992,0.000419,0.000048,0.004317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000031,0,0,0,0.000151,0.0002,0,0.000014,0,0,0,0,0,0,0,0,0,0,0,0.001525
"化学繊維",0,0,0,0,0,0,0,0,0,0,0.011223,0.126029,0.056351,0.000096,0.00089,0.001163,0.000021,0,0,0,0,0,0,0.000079,0,0,0,0.000241,0.000321,0.000131,0.001619,0.000883,0,0,0.008774,0,0,0,0,0,0,0,0,0,0,0.000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013
"医薬品",0,0.008607,0.043238,0,0.005518,0,0,0.000194,0,0.002064,0.000035,0,0.000046,0,0,0,0,0,0,0,0,0,0,0,0.038146,0.001272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000032,0,0,0,0,0,0,0.00003,0.005007,0,0,0,0,0,0,0.000014,0,0.000017,0.000002,0,0,0,0.000851,0,0,0,0,0.000004,0.000323,0.000005,0.000806,0.183758,0.015971,0.007941,0.003806,0,0,0,0,0,0.000019,0,0,0.000026,0.000003,0,0.001888
"化学最終製品(医薬品を除く。)",0.042725,0.001804,0.00453,0.000546,0.003772,0.001895,0.017257,0.002175,0.003223,0.000017,0.001959,0.018933,0.007327,0.032021,0.024467,0.010324,0.018233,0.030365,0.003812,0.013334,0.005036,0.010958,0.008338,0.013684,0.015436,0.11797,0.000706,0.010589,0.005504,0.010202,0.001797,0.003177,0.007136,0.000807,0.015982,0.000162,0.000871,0.004917,0.000174,0.000022,0.002374,0.006776,0.006039,0.002336,0.003241,0.011632,0.002519,0.00449,0.004134,0.002926,0.00295,0.006351,0.004847,0.00653,0.005072,0.008957,0.008892,0.015314,0.004251,0.027685,0.000216,0.00591,0.00724,0.001764,0.002303,0.000185,0.002478,0.001103,0.002558,0.000009,0.000023,0.000014,0.000022,0.000043,0.000088,0.000381,0.000085,0.000157,0.000211,0.00002,0.00023,0.000427,0.000006,0,0.000469,0.000813,0.000001,0.006253,0.000432,0.000034,0.006731,0.001647,0.008837,0.003263,0.002953,0.002365,0.003137,0.004852,0.00558,0.003644,0.003054,0.002229,0.026917,0.003032,0.007303,0.009338,0.001201
"石油製品",0.010446,0.001344,0.003924,0.009857,0.05013,0.003583,0.027447,0.004507,0.003011,0.00553,0.000291,0.011646,0.002187,0.002032,0.001806,0.005758,0.003777,0.001696,0.056671,0.01801,0.643852,0.01365,0.001451,0.008622,0.001947,0.005203,0.053884,0.10473,0.000946,0.005096,0.001783,0.025585,0.009146,0.04503,0.018904,0.001981,0.002393,0.003323,0.001572,0.002864,0.001766,0.00286,0.002949,0.001266,0.001065,0.000886,0.001545,0.001169,0.001173,0.00078,0.000218,0.001556,0.000506,0.000314,0.000568,0.000681,0.002183,0.00371,0.005036,0.000785,0.006843,0.002342,0.003332,0.010856,0.00482,0.03447,0.028619,0.011467,0.011316,0.001577,0.000441,0.001394,0.000776,0.000001,0.003262,0.060331,0.338041,0.069539,0.2412,0.026471,0.001328,0.001873,0.004812,0.000689,0.000992,0.000672,0.000253,0.001419,0.010743,0.001575,0.006024,0.002089,0.003499,0.001823,0.003096,0.003278,0.001827,0.001137,0.004466,0.001644,0.002461,0.003796,0.007943,0.007675,0.003302,0,0.019349
"石炭製品",0,0,0,0,0,0,0.000252,0.000006,0,0,0,0.000001,0,0,0,0.000049,0,0,0.004566,0.00052,0.000223,0.003252,0,0,0,0.000102,0,0.039865,0.000052,0,0,0,0.00013,0,0.008673,0.045129,0.007873,0.01096,0.000062,0.001163,0.000065,0.000016,0.000049,0.000015,0.000014,0.000022,0,0,0.000005,0,0.000001,0,0.000008,0,0,0,0.000047,0.000007,0.000322,0.000012,0.000187,0.000747,0.00003,0.027558,0.012908,0.019749,0,0,0.000183,-0.000005,0,0,0,0,0.000018,0,0,0,0,0,0,0,0,0,0,0,0,0.000017,0,0,0,0,0,0.000018,0.000021,0.000213,0.000014,0,0,0.000003,0.000002,0.0005,0,0,0.000064,0,0.000012
"プラスチック製品",0.008358,0.00222,0.002966,0.013724,0.014799,0.001519,0.000395,0.016137,0.035795,0.000737,0.001453,0.003689,0.01094,0.008589,0.033388,0.00451,0.041241,0.047853,0.010123,0.007821,0,0.00203,0.000954,0.006394,0.035723,0.028222,0.000124,0,0.249434,0.040346,0.053275,0.022986,0.000886,0.001941,0.003129,0,0.000024,0.000308,0.000069,0.00051,0.008366,0.002675,0.003319,0.005142,0.006403,0.028465,0.017985,0.015842,0.019568,0.040263,0.006945,0.077565,0.036699,0.032186,0.023266,0.006288,0.026873,0.005248,0.011983,0.071401,0.002289,0.011557,0.016903,0.009052,0.011498,0,0,0.036508,0.001677,0.004967,0.002788,0.00052,0.001292,0.000405,0,0.000344,0.000038,0.000145,0.000758,0.001776,0.003633,0.003918,0,0.000029,0.00071,0.009216,0.000079,0.002863,0.000699,0.000225,0.008038,0.001183,0.000042,0.000162,0.000289,0.002564,0.00041,0.004698,0.006463,0.001554,0.001773,0.001152,0.00319,0.004898,0.000973,0.037034,0.003644
"ゴム製品",0.001871,0.000482,0.007008,0.000581,0.001048,0.005462,0.003642,0.000293,0.000154,0.000005,0.000001,0.000276,0.003499,0.000325,0.001213,0.000159,0.001268,0.000575,0.00119,0.000197,0.000446,0.000986,0.000631,0,0.001437,0.000397,0,0.000244,0.000727,0.043757,0.037375,0.000266,0.001947,0.000559,0.001857,0.000528,0.000773,0.001049,0.000129,0.00002,0.000174,0.003157,0.000917,0.007837,0.013984,0.010851,0.004436,0.000962,0.008987,0.007234,0.00129,0.00328,0.007282,0.002342,0.013601,0.024002,0.015162,0.01023,0.0089,0.0061,0.005234,0.000298,0.000272,0.00339,0.004438,0,0,0.001312,0.01189,0.000114,0.00001,0,0,0,0.000155,0.001667,0.006636,0.001599,0,0.000897,0.000632,0.000095,0.000338,0.000218,0.000046,0,0.000374,0.000029,0.001202,0.000072,0.000422,0.001088,0.000822,0.001552,0.00156,0.005237,0.00052,0.000014,0.041627,0.000038,0.001292,0.000147,0.000492,0.002149,0.000667,0.010256,0.000284
"なめし革･革製品･毛皮",0.000087,0.000007,0.000022,0.000102,0.000371,0,0.002604,0.00003,0.000015,0.000001,0,0.00013,0.0028,0.000227,0.000953,0.000058,0.000117,0.000088,0.000116,0.00002,0.000033,0.00001,0.000015,0.000083,0.000009,0.000288,0,0.000226,0.000108,0.000152,0.167942,0.00002,0.00012,0.000824,0.000145,0.000019,0.000039,0.000357,0.000017,0.00001,0.000047,0.000335,0.00004,0.000026,0.000244,0.001652,0.000283,0.000258,0.000065,0.000015,0.000271,0.000025,0.000349,0.000047,0.000099,0.000074,0.000105,0.000043,0.000085,0.002998,0.000071,0.000003,0.000015,0.000011,0.000059,0.000052,0.00352,0.00013,0.000177,0.000091,0.000115,0.000001,0,0,0.000223,0.000035,0,0.000012,0.000004,0.000005,0.000018,0.00006,0.000595,0.003113,0.000232,0.000005,0.001677,0.000031,0.000269,0.000062,0.000604,0.00003,0.00023,0.000076,0.000047,0.001596,0.000722,0.000028,0.000011,0.00011,0.00046,0.000014,0.000417,0.000275,0.001211,0,0.001088
"ガラス･ガラス製品",0,0,0,0.000691,0,0,0,0.000792,0.010943,0,0,0.000388,0.00079,0.000059,0.014246,0.000075,0,0.000007,0.000059,0.001603,0.000036,0.000578,0.000028,0,0.009823,0.007597,0,0,0.003442,0.000632,0.000003,0.044724,0.000025,0,0.001963,0,0,0,0,0,0.006043,0.000426,0.000757,0.000398,0.000141,0.016585,0.005779,0.007351,0.00019,0.002165,0.000646,0.012807,0.000696,0.000132,0.011016,0.004,0.000021,0.000553,0.006852,0.008713,0.000024,0.003648,0.001991,0.00005,0.000076,0,0,0.000001,0.000111,0.000076,0.000005,0,0,0,0.000002,0.000019,0,0.000048,0.000044,0.000001,0,0,0,0,0,0,0,0.000009,0.000078,0.000375,0.002042,0.000326,0.003919,0.000242,0.000254,0.000279,0,0.00003,0.003801,0.000009,0.000757,0.000436,0.000111,0.00057,0.000064,0,0.001287
"セメント･セメント製品",0,0,0,0.000072,0,0.000752,0.000086,0,0,0,0,0,0,0.000007,0,0,0,0,0,0,0,0,0,0,0,0.000015,0.000001,0.000064,0,0,0,0,0.105908,0,0.001051,0,0,0.000092,0,0,0,0.000004,0.000069,0.000004,0,0,0,0,0,0,0,0.000007,0,0,0,0,0,0,0.000002,0.000424,0,0.03084,0.035851,0.05949,0.038289,0,0.000008,0,0.000191,0,0,0,0.000035,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000005,0,0.000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000693
"陶磁器",0.000116,0,0,0,0,0,0,0,0.000152,0,0,0,0,0.000006,0.001523,0,0,0,0,0.000222,0,0.000002,0,0,0,0.000054,0,0,0.000061,0,0,0.000002,0.000063,0.00622,0.000001,0,0,0.000007,0,0,0,0.000001,0.000213,0.000034,0.000067,0.000465,0.004011,0.040399,0.003146,0.000023,0.000407,0.000551,0.001129,0,0,0,0.000115,0.000009,0.000045,0.00029,0.00008,0.005392,0.000842,0.000251,0.000557,0,0,0,0.000184,0.000061,0.000003,0,0,0,0,0.00002,0,0.000072,0,0.000011,0.000001,0.000005,0,0,0,0,0,0,0.000047,0.000097,0.000011,0.000174,0.000228,0.001047,0.000726,0.000181,0,0,0,0.000004,0.001056,0.001171,0,0.000016,0.000188,0,0.001153
"その他の窯業･土石製品",0.003055,0.001447,0.002604,0.000041,0.000048,0.001212,0,0.000153,0.000032,0.002226,0.000001,0,0,0.000147,0.000959,0.001355,0.000019,0.000018,0.004216,0.018002,0.00001,0.000525,0.000422,0.000117,0.001135,0.000546,0.000016,0.003328,0.000129,0.00026,0.000055,0.015052,0.014988,0.023863,0.053478,0.010816,0.000409,0.014972,0,0.010755,0.001685,0.003182,0.002452,0.005904,0.004144,0.001279,0.008159,0.002991,0.004844,0.001514,0.001531,0.007036,0.001621,0.001315,0.001662,0.000578,0.001646,0.00128,0.000877,0.002993,0,0.00907,0.016464,0.005611,0.01163,0.000036,0.000069,0.004458,0,0.000065,0.000002,0,0,0,0,0,0,0.000004,0,0,0,0.000001,0,0,0,0,0,0.000074,0.000048,0.001025,0.000172,0.00004,0,0,0.000007,0,0,0,0.000167,0.000002,0.00004,0.000079,0.000039,0.000581,0.000602,0.004986,0.00157
"銑鉄･粗鋼",0,0,0,0,0,0,-0.000002,0,0,0,0,0,0,0,-0.000001,0,0,0,-0.000003,0.000068,0,0,0,0,0,0.000002,0,-0.000004,0,0,0,0,-0.000003,-0.000004,-0.000014,0.384094,0.408935,0.150249,0.002942,0,0.000005,-0.00048,-0.001585,-0.000433,-0.000659,-0.000233,0,-0.000004,-0.00024,-0.000398,-0.000002,-0.000421,-0.000167,-0.000011,-0.000117,-0.000497,-0.000169,-0.002354,-0.000379,-0.00005,0,0,-0.000409,-0.000092,-0.000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0
"鋼材",0.000057,0.000006,0.000001,0.00001,0.000067,0.00778,0.000745,0,0,0,0,0.000072,0.000207,0.000565,0.022284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001436,0.003764,0.000009,0,0.011955,0,0.002036,0,0.236257,0.07739,0.555539,0.000171,0.001293,0.158841,0.122081,0.06158,0.049136,0.012015,0.000739,0.005203,0.037423,0.025963,0.003932,0.019714,0.00615,0.002912,0.033822,0.053191,0.019017,0.115554,0.019079,0.005555,0,0.020911,0.014141,0.020665,0.034369,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001697,0,0,0,0,0,0,0.000003,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,0.000061,0,0.003426
"鋳鍛造品(鉄)",0,0,0,0,0.000161,0.000079,0.000449,0,0,0,0,0,0,0.000002,0.000626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119,0,0.000108,0.002233,0.000303,0,0,0.005903,0,0,0,0.013839,0.005497,0.03113,0.025681,0.00495,0,0.000415,0.010784,0.000942,0.00195,0.001477,0.000706,0.001437,0.000437,0.000421,0.020794,0.025265,0.012448,0.001522,0,0.000281,0.000261,0.001188,0.009401,0,0,0.000023,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0.000003,0,0,0.000001,0,0.000007,0.000008,0.000005,0,0,0,0,0.000021,0.000024,0,0.000003,0.00002,0.000023,0.000839
