"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",-40533,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-01-15",-32661,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-01-22",-41006,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-01-29",-46474,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-02-05",-51964,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-02-12",-63900,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-02-19",-74934,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-02-26",-72455,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-03-05",-78166,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-03-12",-75745,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-03-19",-77704,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-03-26",-80278,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-04-02",-99184,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-04-09",-102198,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-04-16",-98023,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-04-23",-105418,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-04-30",-105544,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-05-07",-106105,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-05-14",-95301,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-05-21",-101102,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-05-28",-99691,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-06-04",-87551,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-06-11",-86792,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-06-18",-52330,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-06-25",-56295,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-07-02",-31733,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-07-09",-35865,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-07-16",-31351,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-07-23",-39004,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-07-30",-53983,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-08-06",-44010,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-08-13",-46649,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-08-20",-37977,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-08-27",-38804,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-09-03",-49136,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-09-10",-49842,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-09-17",-68559,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2019-09-24",-60722,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
