"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-12-10",-43682,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2019-12-17",-42062,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2019-12-24",-33542,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2019-12-31",-25302,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-01-07",-12248,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-01-14",-31430,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-01-21",-44701,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-01-28",-36025,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-02-04",-21898,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-02-11",-26188,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-02-18",-27221,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-02-25",-56389,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-03-03",-42324,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-03-10",8157,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-03-17",32935,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-03-24",23863,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-03-31",18282,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-04-07",22410,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-04-14",22643,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-04-21",26026,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-04-28",32326,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-05-05",27214,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
"2020-05-12",27937,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
