"Date","経常収支","経常収支:貿易・サービス収支:貿易収支","経常収支:貿易・サービス収支:貿易収支:輸出","経常収支:貿易・サービス収支:貿易収支:輸入","サービス収支:旅行"
"96年01月",342,2647,29260,26613,-2889
"96年02月",8609,8521,35089,26568,-2971
"96年03月",13154,13175,39813,26638,-2826
"96年04月",6176,5276,35076,29799,-2540
"96年05月",4080,4061,32685,28625,-2799
"96年06月",6361,9006,35080,26073,-2805
"96年07月",5450,6821,36608,29787,-3216
"96年08月",4778,5445,33142,27697,-3314
"96年09月",7049,9950,37253,27302,-3274
"96年10月",3758,6795,38056,31261,-3206
"96年11月",7146,8470,38024,29554,-2941
"96年12月",8041,10177,40067,29890,-3099
"97年01月",1307,2464,34336,31872,-3066
"97年02月",8950,8703,38501,29797,-2793
"97年03月",10613,10432,43690,33258,-2979
"97年04月",10847,10107,42600,32493,-2579
"97年05月",8894,9139,39263,30125,-2869
"97年06月",9801,10746,39404,28658,-2792
"97年07月",8822,10458,40915,30457,-3127
"97年08月",8074,9247,37641,28394,-3135
"97年09月",11437,12877,42546,29669,-3162
"97年10月",10830,12969,44485,31516,-2968
"97年11月",13055,12498,40426,27928,-2476
"97年12月",13070,14070,44994,30924,-2706
"98年01月",4661,5720,36964,31243,-2634
"98年02月",16657,14739,39329,24591,-2464
"98年03月",15484,14351,43944,29593,-2559
"98年04月",11193,13700,41576,27877,-2496
"98年05月",13445,14117,38648,24531,-2390
"98年06月",12632,13469,41135,27666,-2771
"98年07月",12940,14895,43476,28582,-2921
"98年08月",11438,11228,37997,26769,-2955
"98年09月",16040,17201,43699,26499,-3262
"98年10月",10730,15242,41650,26408,-3180
"98年11月",10646,10539,35215,24676,-2476
"98年12月",14115,15581,39263,23682,-2630
"99年01月",7293,9394,32968,23575,-2647
"99年02月",10659,10981,34262,23280,-2384
"99年03月",12364,14618,40931,26313,-2809
"99年04月",9085,11808,38423,26615,-2413
"99年05月",10555,9549,33898,24349,-2418
"99年06月",13804,13081,38836,25755,-2688
"99年07月",13366,13914,40110,26195,-3041
"99年08月",8062,8662,35540,26879,-3371
"99年09月",13272,15436,40872,25436,-3448
"99年10月",10730,13273,39297,26024,-2734
"99年11月",9137,8077,36962,28884,-2651
"99年12月",11407,12577,40448,27871,-2685
"00年01月",7115,6621,33370,26749,-2225
"00年02月",15578,12957,39109,26152,-2415
"00年03月",13939,12937,44911,31974,-2725
"00年04月",13854,13086,41664,28578,-2184
"00年05月",10257,7259,36639,29381,-2429
"00年06月",14190,13196,42541,29345,-2516
"00年07月",12667,11690,40969,29279,-2635
"00年08月",11828,7988,39748,31760,-2987
"00年09月",14280,14831,44319,29488,-2834
"00年10月",8077,8753,42185,33432,-2647
"00年11月",10164,7846,40342,32496,-2658
"00年12月",8664,9820,43838,34018,-2476
"01年01月",2722,989,34322,33333,-2496
"01年02月",14114,10485,39517,29031,-2521
"01年03月",14984,11284,46237,34953,-2557
"01年04月",8813,8880,40745,31864,-2274
"01年05月",4932,2786,35766,32980,-2554
"01年06月",7853,9211,38825,29614,-2488
"01年07月",7150,5900,37771,31871,-2820
"01年08月",7215,5237,36076,30839,-3151
"01年09月",11751,12275,39295,27020,-2478
"01年10月",6780,6551,38377,31825,-1747
"01年11月",9919,6714,36499,29785,-1498
"01年12月",8291,8155,36937,28782,-1584
"02年01月",6245,3725,33334,29610,-2033
"02年02月",13721,9452,37886,28434,-1993
"02年03月",21328,14670,44961,30291,-2296
"02年04月",10157,10320,41333,31013,-2085
"02年05月",9714,7846,38922,31076,-2420
"02年06月",13827,13755,41508,27754,-2239
"02年07月",10951,9216,41121,31905,-2680
"02年08月",10277,8268,37918,29651,-2763
"02年09月",11593,12382,41906,29523,-2780
"02年10月",9125,10984,43700,32716,-2636
"02年11月",11234,10744,43586,32842,-2457
"02年12月",8664,9848,42853,33004,-2498
"03年01月",4666,3157,36273,33116,-2325
"03年02月",14926,11016,40737,29721,-2127
"03年03月",16314,11706,45427,33722,-2030
"03年04月",13052,10210,43546,33336,-1160
