"Date","売上高(当期末)","設備投資(当期末新設固定資産合計)","経常利益(当期末)","ソフトウェアを除く設備投資(当期末新設固定資産)","営業利益(当期末)"
"18年03月期",3.2,3.4,0.2,2.1,4.7
"18年06月期",5.1,12.8,17.9,14,10.7
"18年09月期",6,4.5,2.2,2.5,2.3
"18年12月期",3.7,5.7,-7,5.5,-10.9
"19年03月期",3,6.1,10.3,6.9,9.7
"19年06月期",0.4,1.9,-12,-1.7,-8.8
"19年09月期",-2.6,7.1,-5.3,7.7,-5.3
"19年12月期",-6.4,-3.5,-4.6,-5,-9.7
"20年03月期",-3.5,4.3,-32,3.5,-33.9
"全産業（除く金融保険業）:全規模:前年同期比(%) Source:財務省",,,,,
"法人企業統計調査",,,,,
