"Date","二人以上の世帯_名目増減率[%]:消費支出","二人以上の世帯_実質増減率[%]:消費支出"
"01年01月",-0.2,0.2
"01年02月",1,1.4
"01年03月",1.4,2.3
"01年04月",-5,-4
"01年05月",-2.7,-1.8
"01年06月",-3.9,-2.9
"01年07月",-3.7,-2.6
"01年08月",-2.4,-1.5
"01年09月",-4.2,-3.2
"01年10月",-1.1,-0.2
"01年11月",-0.7,0.6
"01年12月",-8.1,-6.6
"02年01月",-1.2,0.5
"02年02月",-6.9,-5.1
"02年03月",-2.8,-1.3
"02年04月",0.5,1.8
"02年05月",-2.8,-1.7
"02年06月",1.2,2
"02年07月",0.5,1.3
"02年08月",-1.2,-0.2
"02年09月",4,4.9
"02年10月",-0.2,0.8
"02年11月",-2,-1.7
"02年12月",-0.9,-0.6
"03年01月",-2.1,-1.6
"03年02月",-1,-0.7
"03年03月",-2.6,-2.4
"03年04月",-1.6,-1.6
"03年05月",-1.6,-1.3
"03年06月",0.8,1.3
"03年07月",-4.2,-3.9
"03年08月",1.2,1.6
"03年09月",-2.6,-2.4
"03年10月",-1.7,-1.6
"03年11月",0.1,0.7
"03年12月",-0.4,0
"04年01月",0.9,1.2
"04年02月",5.3,5.3
"04年03月",0.1,0.2
"04年04月",3.3,3.9
"04年05月",4.5,5
"04年06月",-3,-3
"04年07月",0.1,0.3
"04年08月",-0.4,-0.2
"04年09月",-1,-1.1
"04年10月",-1,-1.6
"04年11月",-0.6,-1.5
"04年12月",-2.7,-3
"05年01月",0.3,0.3
"05年02月",-4.4,-4.1
"05年03月",-0.9,-0.8
"05年04月",-2.4,-2.5
"05年05月",-1.4,-1.6
"05年06月",0.4,1
"05年07月",-2.6,-2.3
"05年08月",0.4,0.8
"05年09月",1.1,1.6
"05年10月",1.1,2
"05年11月",-1.5,-0.5
"05年12月",0.1,0.5
"06年01月",-2.5,-2.4
"06年02月",-1.1,-1
"06年03月",-1.9,-1.6
"06年04月",-1.6,-1.5
"06年05月",-1.2,-1.3
"06年06月",-1.1,-1.7
"06年07月",-0.8,-1.3
"06年08月",-3.3,-4.3
"06年09月",-5.2,-6
"06年10月",-1.8,-2.4
"06年11月",-0.3,-0.7
"06年12月",-1.5,-1.9
"07年01月",0.6,0.6
"07年02月",1.2,1.3
"07年03月",0.1,0.1
"07年04月",1.1,1.1
"07年05月",0.4,0.4
"07年06月",-0.1,0.1
"07年07月",-0.2,-0.1
"07年08月",1.4,1.6
"07年09月",3,3.2
"07年10月",0.8,0.6
"07年11月",0,-0.6
"07年12月",3.1,2.2
"08年01月",4.5,3.6
"08年02月",1.1,0
"08年03月",-0.3,-1.6
"08年04月",-1.7,-2.7
"08年05月",-1.7,-3.2
"08年06月",0.5,-1.8
"08年07月",2.3,-0.5
"08年08月",-1.6,-4
"08年09月",0,-2.3
"08年10月",-1.8,-3.8
"08年11月",0.7,-0.5
"08年12月",-4.2,-4.6
"09年01月",-5.9,-5.9
"09年02月",-3.5,-3.5
"09年03月",-0.6,-0.4
"09年04月",-1.4,-1.3
"09年05月",-0.9,0.3
"09年06月",-1.7,0.2
"09年07月",-4.5,-2
"09年08月",-0.1,2.6
"09年09月",-1.5,1
"09年10月",-1.3,1.6
"09年11月",0,2.2
"09年12月",0.3,2.1
"10年01月",0.2,1.7
"10年02月",-1.8,-0.5
"10年03月",3,4.4
"10年04月",-2.1,-0.7
"10年05月",-1.7,-0.7
"10年06月",-0.3,0.5
"10年07月",0.1,1.1
"10年08月",0.8,1.7
"10年09月",-0.6,0
"10年10月",-0.1,-0.4
"10年11月",-0.2,-0.4
"10年12月",-3.2,-3.3
"11年01月",-0.9,-0.3
"11年02月",-0.1,0.5
"11年03月",-8.8,-8.2
"11年04月",-2.5,-2
"11年05月",-1.6,-1.2
"11年06月",-3.9,-3.5
"11年07月",-1.8,-2.1
"11年08月",-3.9,-4.1
"11年09月",-1.9,-1.9
"11年10月",-0.6,-0.4
"11年11月",-3.8,-3.2
"11年12月",0.3,0.5
"12年01月",-2.1,-2.3
"12年02月",2.7,2.3
"12年03月",4.1,3.4
"12年04月",3.2,2.6
"12年05月",4.3,4
"12年06月",1.5,1.6
"12年07月",1.2,1.7
"12年08月",1.4,1.8
"12年09月",-1.2,-0.9
"12年10月",-0.5,-0.1
"12年11月",0.1,0.2
"12年12月",-0.8,-0.7
"13年01月",2.1,2.4
"13年02月",0.1,0.8
"13年03月",4.1,5.2
"13年04月",0.8,1.5
"13年05月",-1.9,-1.6
"13年06月",-0.1,-0.4
"13年07月",1,0.1
"13年08月",-0.5,-1.6
"13年09月",5.2,3.7
"13年10月",2.3,0.9
