"Date","二人以上の世帯_名目増減率[%]:消費支出","二人以上の世帯_実質増減率[%]:消費支出"
"13年11月",2.1,0.2
"13年12月",2.7,0.7
"14年01月",2.8,1.1
"14年02月",-0.6,-2.5
"14年03月",9.3,7.2
"14年04月",-0.7,-4.6
"14年05月",-3.9,-8
"14年06月",1.3,-3
"14年07月",-2,-5.9
"14年08月",-0.9,-4.7
"14年09月",-1.9,-5.6
"14年10月",-0.7,-4
"14年11月",0.3,-2.5
"14年12月",-0.6,-3.4
"15年01月",-2.4,-5.1
"15年02月",-0.4,-2.9
"15年03月",-8.1,-10.6
"15年04月",-0.5,-1.3
"15年05月",5.5,4.8
"15年06月",-1.5,-2
"15年07月",0.1,-0.2
"15年08月",3.2,2.9
"15年09月",-0.3,-0.4
"15年10月",-2.1,-2.4
"15年11月",-2.5,-2.9
"15年12月",-4.2,-4.4
"16年01月",-3.1,-3
"16年02月",1.6,1.3
"16年03月",-5.3,-5.3
"16年04月",-0.7,-0.4
"16年05月",-1.6,-1.1
"16年06月",-2.7,-2.3
"16年07月",-0.9,-0.5
"16年08月",-5.1,-4.6
"16年09月",-2.6,-2.1
"16年10月",-0.2,-0.4
"16年11月",-0.9,-1.5
"16年12月",0.1,-0.3
"17年01月",-0.6,-1.2
"17年02月",-3.4,-3.8
"17年03月",-1,-1.3
"17年04月",-0.9,-1.4
"17年05月",0.4,-0.1
"17年06月",2.8,2.3
"17年07月",0.4,-0.2
"17年08月",1.4,0.6
"17年09月",0.6,-0.3
"17年10月",0.3,0
"17年11月",2.4,1.7
"17年12月",1.2,-0.1
"18年01月",3.7,2
"18年02月",1.9,0.1
"18年03月",1.1,-0.2
"18年04月",-0.5,-1.3
"18年05月",-0.6,-1.4
"18年06月",-0.4,-1.2
"18年07月",1.5,0.4
"18年08月",4.3,2.8
"18年09月",0.9,-0.5
"18年10月",2.7,1
"18年11月",1.3,0.3
"18年12月",2.2,1.9
"19年01月",2.3,2.1
"19年02月",2.1,1.9
"19年03月",2.7,2.1
"19年04月",2.3,1.3
"19年05月",7,6
"19年06月",3.5,2.7
"19年07月",1.6,1
"19年08月",1.3,1
"19年09月",10.8,10.5
"19年10月",-3.7,-4
"19年11月",-0.8,-1.4
"19年12月",-2.4,-3.3
"20年01月",-3.1,-3.9
"20年02月",0.2,-0.3
"20年03月",-5.5,-6
"20年04月",-11,-11.1
"20年05月",-16.2,-16.2
"家計調査(二人以上の世帯),前年同月比(%) Source:総務省",,
"全世帯家計調査消費支出",,
