"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合大分類)(単位:100万円)(総務省)","農林漁業","鉱業","飲食料品","繊維製品","パルプ･紙･木製品","化学製品","石油･石炭製品","プラスチック･ゴム製品","窯業･土石製品","鉄鋼","非鉄金属","金属製品","はん用機械","生産用機械","業務用機械","電子部品","電気機械","情報通信機器","輸送機械","その他の製造工業製品","建設","電力･ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産","運輸･郵便","情報通信","公務","教育･研究","医療･福祉","他に分類されない会員制団体","対事業所サービス","対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"はん用機械",24,1870,0,0,13330,590,0,5306,13246,3266,134,12160,1635494,658076,102974,29828,212170,11896,430470,5097,391387,0,46838,0,406,1,0,4757,286,13236,0,10,0,494807,386,0,0,4088045,0,13291,0,157066,4278071,88467,4536895,8624940,3372310,3372310,7909205,11997250,-1424716,0,-113976,-1538692,6370513,10458558
"生産用機械",122,1763,0,0,1163,0,237,35359,8463,3812,1124,5767,50593,2447173,13040,40661,37647,4937,49596,1213,4279,133,1126,0,318,0,0,2442,145,645,0,0,0,726972,459,0,0,3439189,0,7805,0,99585,8574450,164159,8845999,12285188,6445904,6445904,15291903,18731092,-1876084,0,-150085,-2026169,13265734,16704923
"業務用機械",4119,0,9,0,0,21,0,0,0,0,0,216,27536,93173,588055,1610,14914,6849,21221,1724,11956,0,444,136,104030,413,0,1484,9820,127453,0,703825,0,267422,37045,36162,0,2059637,2339,101116,202,444862,4303373,73505,4925397,6985034,2027360,2027360,6952757,9012394,-1952156,-747,-156191,-2109094,4843663,6903300
"電子部品",12,21,69,3,123,147,10,7,2,30,1197,31132,78312,158528,933046,3758946,2334628,1705223,592700,69972,18936,132,95,0,2340,1583,0,304,69276,88065,64918,286,0,735625,676,52660,0,10699004,540,156676,0,0,0,91428,248644,10947648,6762588,6762588,7011232,17710236,-3864965,0,-309187,-4174152,2837080,13536084
"電気機械",2869,292,15,0,1716,81,0,303,265,0,193,9504,243985,380192,132675,274971,1849593,102344,1749866,12924,485332,77,836,0,20747,89,990,11180,11959,73193,20260,4891,0,423795,9629,0,5435,5830201,66248,3137046,0,300267,5231031,47057,8781649,14611850,6173899,6173899,14955548,20785749,-4373272,-134,-349633,-4723039,10232509,16062710
"情報通信機器",194,11,718,27,78,919,50,127,82,23,27,621,7892,4027,230,805,740,141774,346048,390,102767,366,52,102,29671,5229,5394,5830,12096,66902,5301,1789,336,102648,7965,0,0,851231,37306,3450635,0,1002831,4884831,9691,9385294,10236525,1632379,1632379,11017673,11868904,-5938214,0,-474230,-6412444,4605229,5456460
"輸送機械",72155,31,0,0,0,0,0,0,0,0,0,0,0,8497,0,0,0,0,24848093,0,0,0,0,0,0,0,0,816148,0,216263,2937,0,0,1785992,1522,0,0,27751638,0,5899609,0,857899,6865919,119233,13742660,41494298,18471877,18471877,32214537,59966175,-4255337,0,-333125,-4588462,27626075,55377713
"その他の製造工業製品",30646,3605,323847,58272,171775,101798,21632,29025,61416,216986,285673,34128,14165,51182,47941,73464,64748,41465,93023,515226,210846,222733,16542,19038,584929,564980,5750,128407,1175091,351787,762499,281994,209687,743473,348173,214894,7804,8088644,219835,3074041,10,111388,1068573,39449,4513296,12601940,766143,766143,5279439,13368083,-3105882,-108335,-224553,-3438770,1840669,9929313
"建設",30170,2604,17938,8068,41694,86227,5809,41315,33850,106287,26342,43111,17351,26866,8379,42911,27167,8547,33752,13780,37948,357223,133015,13937,276671,86761,722676,358460,170921,324300,229883,151767,7339,89065,117246,0,0,3699380,0,0,0,20550168,36587021,0,57137189,60836569,0,0,57137189,60836569,0,0,0,0,57137189,60836569
"電力･ガス･熱供給",119603,32069,509336,110091,509238,810680,128917,454407,343938,1175487,313425,273139,141566,179457,67279,382362,147357,30318,677372,177207,197529,2122867,192002,361559,2152379,177305,324512,696286,286139,476933,844091,847937,20451,401838,1966385,0,21285,17672746,6754,6895130,0,0,0,0,6901884,24574630,60832,60832,6962716,24635462,-1753,0,0,-1753,6960963,24633709
