"Date","M2","M3","広義流動性"
"03年04月",1.3,0.5,0.2
"03年05月",1.6,0.7,-0.4
"03年06月",1.8,0.8,0.2
"03年07月",1.8,0.8,0.4
"03年08月",1.9,0.9,0.7
"03年09月",1.8,0.8,0.7
"03年10月",1.5,0.7,0.5
"03年11月",1.5,0.7,0.8
"03年12月",1.5,0.7,1.1
"04年01月",1.6,0.8,1
"04年02月",1.7,0.8,1.1
"04年03月",1.7,0.9,0.9
"04年04月",1.8,1.2,1.7
"04年05月",2,1.2,3
"04年06月",1.7,1.1,2.8
"04年07月",1.8,1.1,2.9
"04年08月",1.9,1.1,2.8
"04年09月",2.1,1.2,2.8
"04年10月",2,1.1,2.8
"04年11月",2,1.1,2.9
"04年12月",2,1,3
"05年01月",1.9,0.9,3.2
"05年02月",1.8,0.7,3.2
"05年03月",2,0.8,3.3
"05年04月",1.8,0.6,2.8
"05年05月",1.4,0.3,2.3
"05年06月",1.6,0.3,2.3
"05年07月",1.6,0.3,2.2
"05年08月",1.6,0.2,2.1
"05年09月",2,0.5,2.3
"05年10月",1.9,0.4,2.2
"05年11月",2,0.5,2.2
"05年12月",1.9,0.3,2
"06年01月",1.8,0.2,2
"06年02月",1.7,0.1,2.2
"06年03月",1.4,-0.1,2.3
"06年04月",1.6,0.1,3.3
"06年05月",1.3,-0.1,3.9
"06年06月",1.1,-0.2,3.8
"06年07月",0.5,-0.7,3.4
"06年08月",0.4,-0.7,3.5
"06年09月",0.5,-0.7,3.6
"06年10月",0.5,-0.7,3.7
"06年11月",0.6,-0.6,3.8
"06年12月",0.7,-0.6,3.9
"07年01月",0.9,-0.4,3.8
"07年02月",1,-0.3,3.6
"07年03月",1.1,-0.2,3.3
"07年04月",1.1,-0.2,2.9
"07年05月",1.4,0,2.7
"07年06月",1.8,0.3,3
"07年07月",2,0.5,3.1
"07年08月",1.8,0.3,2.9
"07年09月",1.7,0.3,2.8
"07年10月",1.9,0.6,3.1
"07年11月",2,0.6,3.1
"07年12月",2.1,0.7,3.1
"08年01月",2.1,0.7,3.1
"08年02月",2.4,0.9,3.2
"08年03月",2.3,0.8,3.1
"08年04月",1.9,0.5,2.2
"08年05月",2.1,0.7,1.7
"08年06月",2.2,0.9,1.7
"08年07月",2.1,0.8,1.5
"08年08月",2.4,1,1.6
"08年09月",2.2,0.9,1.3
"08年10月",1.8,0.5,0.7
"08年11月",1.8,0.6,0.6
