"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",21062,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-01-15",-9825,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-01-22",-22557,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-01-29",-22087,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-02-05",-38599,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-02-12",-59644,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-02-19",-74299,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-02-26",-89699,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-03-05",-94141,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-03-12",-89005,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-03-19",-128217,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-03-26",-118170,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-04-02",-141483,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-04-09",-164383,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-04-16",-169908,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-04-23",-177754,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-04-30",-180359,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-05-07",-150307,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-05-14",-89696,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-05-21",-105320,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
"2019-05-28",-105827,"VIX FUTURES - CBOE FUTURES EXCHANGE","($1000 X INDEX)"
