"Date","正社員労働市場関係指標","パートタイムを含む一般","パートタイムを除く一般","一般パートタイム"
"73年10月",,1.86,1.86,2.19
"73年11月",,1.93,1.91,2.24
"73年12月",,1.84,1.8,2.17
"74年01月",,1.64,1.64,1.86
"74年02月",,1.53,1.52,1.66
"74年03月",,1.45,1.42,1.62
"74年04月",,1.34,1.36,1.54
"74年05月",,1.35,1.34,1.46
"74年06月",,1.27,1.27,1.33
"74年07月",,1.18,1.18,1.24
"74年08月",,1.09,1.09,1.11
"74年09月",,1.02,1.02,1.06
"74年10月",,0.95,0.95,1.01
"74年11月",,0.88,0.88,0.96
"74年12月",,0.79,0.79,0.9
"75年01月",,0.75,0.76,0.89
"75年02月",,0.71,0.7,0.89
"75年03月",,0.67,0.66,0.89
"75年04月",,0.68,0.68,1.01
"75年05月",,0.63,0.62,0.98
"75年06月",,0.59,0.58,0.99
"75年07月",,0.56,0.55,1
"75年08月",,0.55,0.54,1.14
"75年09月",,0.55,0.54,1.19
"75年10月",,0.55,0.54,1.2
"75年11月",,0.55,0.54,1.21
"75年12月",,0.55,0.53,1.23
"76年01月",,0.58,0.57,1.25
"76年02月",,0.61,0.59,1.24
"76年03月",,0.63,0.61,1.22
"76年04月",,0.65,0.65,1.29
"76年05月",,0.64,0.63,1.37
"76年06月",,0.66,0.64,1.41
"76年07月",,0.67,0.65,1.4
"76年08月",,0.67,0.66,1.31
"76年09月",,0.66,0.65,1.29
"76年10月",,0.64,0.63,1.24
"76年11月",,0.64,0.62,1.23
"76年12月",,0.62,0.6,1.24
"77年01月",,0.61,0.59,1.17
"77年02月",,0.6,0.59,1.13
"77年03月",,0.6,0.59,1.07
"77年04月",,0.61,0.59,1
"77年05月",,0.56,0.55,0.91
"77年06月",,0.54,0.53,0.89
"77年07月",,0.53,0.52,0.85
"77年08月",,0.53,0.52,0.88
"77年09月",,0.53,0.52,0.91
"77年10月",,0.53,0.52,0.92
"77年11月",,0.52,0.51,0.89
"77年12月",,0.52,0.51,0.86
"78年01月",,0.51,0.5,0.89
"78年02月",,0.53,0.52,0.94
"78年03月",,0.54,0.53,0.94
"78年04月",,0.57,0.55,0.94
"78年05月",,0.54,0.53,0.93
"78年06月",,0.54,0.53,0.96
"78年07月",,0.56,0.55,0.98
"78年08月",,0.57,0.56,1.01
"78年09月",,0.59,0.57,1.04
"78年10月",,0.59,0.58,1.04
"78年11月",,0.6,0.58,1.08
"78年12月",,0.6,0.59,1.12
"79年01月",,0.62,0.61,1.15
"79年02月",,0.63,0.62,1.17
"79年03月",,0.66,0.64,1.22
"79年04月",,0.7,0.67,1.29
"79年05月",,0.69,0.68,1.32
"79年06月",,0.71,0.69,1.38
"79年07月",,0.72,0.71,1.4
"79年08月",,0.73,0.71,1.44
"79年09月",,0.75,0.73,1.44
"79年10月",,0.77,0.75,1.5
"79年11月",,0.78,0.76,1.48
"79年12月",,0.79,0.78,1.45
"80年01月",,0.77,0.75,1.38
"80年02月",,0.76,0.74,1.42
"80年03月",,0.77,0.75,1.43
"80年04月",,0.77,0.75,1.39
"80年05月",,0.76,0.74,1.41
"80年06月",,0.77,0.75,1.45
"80年07月",,0.76,0.74,1.38
"80年08月",,0.74,0.73,1.29
"80年09月",,0.73,0.71,1.27
"80年10月",,0.73,0.71,1.26
"80年11月",,0.71,0.7,1.27
"80年12月",,0.7,0.69,1.24
"81年01月",,0.69,0.68,1.22
"81年02月",,0.68,0.66,1.23
"81年03月",,0.67,0.65,1.24
"81年04月",,0.67,0.65,1.2
"81年05月",,0.67,0.65,1.19
"81年06月",,0.68,0.67,1.17
"81年07月",,0.7,0.68,1.17
"81年08月",,0.69,0.67,1.18
"81年09月",,0.68,0.66,1.19
"81年10月",,0.67,0.65,1.19
"81年11月",,0.66,0.64,1.18
"81年12月",,0.67,0.66,1.18
"82年01月",,0.66,0.64,1.2
"82年02月",,0.65,0.63,1.23
"82年03月",,0.63,0.61,1.17
"82年04月",,0.62,0.6,1.22
"82年05月",,0.6,0.58,1.21
"82年06月",,0.6,0.58,1.22
"82年07月",,0.6,0.58,1.24
"82年08月",,0.6,0.58,1.24
"82年09月",,0.6,0.58,1.26
"82年10月",,0.6,0.57,1.25
"82年11月",,0.59,0.57,1.23
"82年12月",,0.59,0.57,1.25
"83年01月",,0.59,0.57,1.25
"83年02月",,0.59,0.56,1.25
"83年03月",,0.59,0.57,1.28
"83年04月",,0.59,0.56,1.33
"83年05月",,0.59,0.56,1.33
"83年06月",,0.59,0.56,1.37
"83年07月",,0.59,0.56,1.39
"83年08月",,0.6,0.57,1.45
"83年09月",,0.61,0.58,1.48
