"Date","消費者態度指数","雇用環境","収入の増え方","耐久消費財の買い時判断","暮らし向き","資産価値"
"17年10月",0.4,0.6,0.7,0.2,0.2,1.4
"17年11月",0,0,0,0,0.2,0.2
"17年12月",-0.2,0.1,0,-0.7,-0.5,-0.5
"18年01月",-0.1,0.4,0,-0.1,-0.4,0.7
"18年02月",-0.1,-0.5,0.2,-0.3,-0.1,-1.4
"18年03月",-0.1,0.3,-0.3,-0.1,-0.2,-0.3
"18年04月",-0.4,-1.1,-0.3,0.1,-0.1,-0.1
"18年05月",0.2,0.5,-0.1,0.3,0.1,0.6
"18年06月",-0.2,-0.2,-0.3,-0.2,-0.1,0.1
"18年07月",0,-0.1,0.4,-0.2,-0.1,-0.8
"18年08月",-0.1,-0.4,-0.4,0,0.1,0.2
"18年09月",-0.1,-0.1,0.1,0.1,-0.2,-0.3
"18年10月",-0.3,-0.8,-0.6,0,-0.1,-0.2
"18年11月",-0.4,-0.5,0.2,-0.4,-0.7,-1.4
"18年12月",-0.3,-0.8,-0.1,-0.2,-0.3,-0.5
"19年01月",-1,-1.6,-0.3,-1.2,-0.8,-1.7
"19年02月",-0.1,0.9,-0.1,-0.6,-0.7,2.1
"19年03月",-1.1,-1.1,-0.6,-1.1,-1.4,-0.5
"19年04月",0,0.5,-0.1,-0.6,0.3,0.6
"19年05月",-0.9,-0.9,-0.5,-1.6,-0.7,-1.4
"19年06月",-0.8,-0.4,-0.1,-1.6,-1,-0.4
"19年07月",-0.6,-0.3,-0.2,-1.8,-0.3,0.9
"19年08月",-0.7,-0.4,0,-1.5,-0.8,-1.3
"19年09月",-1.4,-0.6,-0.7,-3.6,-0.8,1
"19年10月",0.6,-0.9,0,3,0.4,-0.9
"19年11月",2.3,0.5,1.2,4,3.3,0.8
"19年12月",0.2,-0.3,0.1,0.7,0.3,-0.3
"20年01月",-0.2,0.4,-0.4,0.1,-0.7,-0.6
"20年02月",-0.5,-1.9,-0.1,0,-0.1,1.5
"20年03月",-7.4,-11.6,-4.9,-5.4,-7.5,-8.3
"20年04月",-9.3,-12.9,-8.5,-7.7,-8.1,-5.4
"20年05月",2.4,1.8,1.5,3,3.1,2.5
"長期時系列表　2表　消費者態度指数、消費者意識指標の推移(二人以上の世帯、季節調整値):前月差 Source:内閣府",,,,,,
"消費者態度指数",,,,,,
