"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-12-17",54276,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-12-24",56492,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-12-31",62163,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-01-07",62281,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-01-14",64525,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-01-21",67391,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-01-28",67596,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-02-04",62780,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-02-11",61840,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-02-18",61615,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-02-25",50201,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-03-03",34037,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-03-10",33247,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-03-17",27647,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-03-24",22296,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-03-31",19848,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-04-07",19021,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-04-14",17796,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-04-21",15287,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-04-28",17334,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-05-05",18246,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-05-12",18155,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2020-05-19",22013,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
