"Date","一致指数","先行指数","遅行指数"
"85年01月",84.1,82.6,87
"85年02月",83.7,82.8,86.5
"85年03月",84,82.6,87.1
"85年04月",84.6,83.2,87.7
"85年05月",84.6,83.2,87.7
"85年06月",84.1,82.4,88.1
"85年07月",84.7,82.3,89.1
"85年08月",84.2,81,89.2
"85年09月",84,81.1,88.9
"85年10月",84.2,80.8,88.2
"85年11月",84,80.1,88.6
"85年12月",83.4,80.1,89.1
"86年01月",83.4,80.7,88.9
"86年02月",83.2,79.9,89.1
"86年03月",82.8,79.7,88.7
"86年04月",82.9,79.1,87.2
"86年05月",82.1,78,87.8
"86年06月",82,78,87.8
"86年07月",81.3,77.5,87.3
"86年08月",81.2,78.4,87.2
"86年09月",82,78.1,87.4
"86年10月",81.8,77.8,87.4
"86年11月",81.2,77.7,86.8
"86年12月",82,79,86.7
"87年01月",82.3,80,86.7
"87年02月",82.6,81,86.9
"87年03月",83.5,82.6,87.5
"87年04月",83.5,83.6,87.6
"87年05月",84.1,85.9,87
"87年06月",85.8,87.8,87.7
"87年07月",87,88.8,88.6
"87年08月",87.8,91,89.4
"87年09月",89.3,92.1,89.8
"87年10月",90.4,93.4,90.3
"87年11月",91.4,94.2,90.7
"87年12月",92.3,93.7,91.6
"88年01月",93.2,95.1,92
"88年02月",95.6,96,93
"88年03月",94.5,95.1,93.8
"88年04月",96.1,95.3,94.2
"88年05月",95.8,95.7,95
"88年06月",96.7,95.6,95.5
"88年07月",97.4,95.3,95.9
"88年08月",97.8,95.1,97
"88年09月",98.3,95,98.1
"88年10月",98.6,95.9,98.9
"88年11月",100,96.5,99.3
"88年12月",100.2,98,100
"89年01月",100.6,97,100.4
"89年02月",100.7,96.2,100.8
"89年03月",104.5,97.3,102.1
"89年04月",101.8,97.3,102.7
"89年05月",101.5,96.6,103.3
"89年06月",102,97,104.5
"89年07月",101.5,96.8,104.9
"89年08月",102.5,97.3,104.8
"89年09月",102.9,97.3,105.4
"89年10月",102.6,96.8,105.5
"89年11月",103.5,97.6,106.7
"89年12月",104.1,98.3,107.1
"90年01月",104,97.3,107.6
"90年02月",104.1,98.1,108
"90年03月",104.1,97.3,108.2
"90年04月",104.6,98,108.2
"90年05月",105.7,99.4,108.2
"90年06月",106.5,98.7,108.1
"90年07月",106.9,97.7,107.8
"90年08月",106.5,96.8,108.4
"90年09月",105.9,95.3,108.6
"90年10月",107.3,95.7,109.1
"90年11月",106.6,95.1,109.2
"90年12月",106.7,95.1,110.3
"91年01月",106.3,93.9,110
"91年02月",105.8,93,110.2
"91年03月",104.6,92.1,110.4
"91年04月",104.1,91.3,110.7
"91年05月",104.4,90.5,111.4
"91年06月",102.6,89.2,111.8
"91年07月",103.5,88.8,111.2
"91年08月",102.1,87.8,110.3
"91年09月",100.9,86.9,110.1
"91年10月",99.9,86.8,109.8
"91年11月",100.1,85.6,110
"91年12月",97.8,84.5,109.2
"92年01月",96.3,83.9,108.5
"92年02月",95.5,83.4,108.4
"92年03月",93.5,82.9,107.3
"92年04月",92,81.3,106.7
"92年05月",89.9,80.7,106.3
"92年06月",89.8,80.5,105.7
"92年07月",88.9,79.9,104.8
"92年08月",86.7,79.4,104.3
"92年09月",88,79.7,103.7
"92年10月",85.5,78.1,102.7
"92年11月",83.8,77.8,101.8
"92年12月",83.2,78.6,100.8
"93年01月",84.1,78.4,100.6
"93年02月",83.9,79.4,99.9
"93年03月",82.9,79.1,98.7
"93年04月",82.2,80,98
"93年05月",82.2,81,96.9
"93年06月",81,81.1,96
"93年07月",80.6,81.3,95.9
"93年08月",80.4,80.9,95.3
"93年09月",80.3,80.9,94.3
"93年10月",78.9,80,93.9
"93年11月",78.6,79.6,93.3
"93年12月",78.1,79.2,92
