"Date","マネタリーベース平均残高(前年比):%","マネタリーベース平均残高/うち日本銀行券発行高(前年比):%","マネタリーベース平均残高/うち日銀当座預金(前年比):%","マネタリーベース平均残高/うち貨幣流通高(前年比):%"
"99年12月",14.2,10.1,81.1,1.6
"00年01月",22.8,11.3,199.1,1.6
"00年02月",9.4,7.5,41.2,1.6
"00年03月",10.9,8,51.2,1.4
"00年04月",11.7,10.4,35,1.3
"00年05月",7.6,7.8,11.1,1.1
"00年06月",6.4,6.6,8.8,1.1
"00年07月",5.8,5.7,11.1,1
"00年08月",4.6,5.6,-3.3,1.9
"00年09月",4,6.6,-20.4,1.8
"00年10月",5.3,7.9,-19.6,1.6
"00年11月",5.7,8.5,-19.7,1.4
"00年12月",-1.1,3.8,-41.3,0.9
"01年01月",-5.6,4.1,-56.2,0.9
"01年02月",3.4,6.6,-25.4,1.2
"01年03月",1.2,5.5,-33.2,1.4
"01年04月",1.4,3.8,-19.6,1.5
"01年05月",5.1,6.1,-2.8,1.6
"01年06月",7.6,8.9,-0.1,1.7
"01年07月",8,9.6,-4.3,1.9
"01年08月",9,8.9,17.7,1
"01年09月",14.2,8.7,103.5,1
"01年10月",14.3,7.7,123.7,1.2
"01年11月",15.5,8,136.8,1.3
"01年12月",16.9,8.1,157,1.6
"02年01月",23.4,10,200.3,1.7
"02年02月",27.5,12.4,255.1,1.6
"02年03月",32.6,14.6,286.7,1.5
"02年04月",36.3,16.2,292.8,1.6
"02年05月",29.7,15.9,208.6,1.9
"02年06月",27.6,14.6,196,2
"02年07月",25.1,12.4,193,2
"02年08月",26.1,14,171.9,2
"02年09月",21.4,13.5,88.1,2.1
"02年10月",19.8,12.6,77.9,2.1
"02年11月",21.8,11.8,96.5,2.1
"02年12月",19.5,10,83.2,1.9
"03年01月",13.4,9.4,34.3,1.7
"03年02月",12.6,8.3,33.6,1.9
"03年03月",10.9,6.3,30.1,2
"03年04月",11.5,4.5,37.2,1.7
"03年05月",16.7,4.7,72.6,1.2
"03年06月",20.3,5.2,91.8,1.2
"03年07月",20.4,5.3,93.4,1.3
"03年08月",20.5,5.2,93.4,1.3
"03年09月",20.9,5.1,95.2,1.4
"03年10月",20.6,4.7,95.2,1.4
"03年11月",16.7,4.4,65.9,1.4
"03年12月",13.2,3.3,51.4,1.4
"04年01月",13.6,2.6,55,1.3
"04年02月",16.2,2.7,65.3,1.4
"04年03月",11.9,1.7,44.7,1.5
"04年04月",6.6,1.6,20.4,1.5
"04年05月",7.4,1.7,22.9,1.7
"04年06月",4.4,1,13.1,1.9
"04年07月",4.7,1.1,14,1.9
"04年08月",4.6,1.2,13.3,1.9
"04年09月",4.7,2.2,11,1.9
"04年10月",4.2,2.1,9.4,2
"04年11月",4.9,3.6,8.3,1.9
"04年12月",4.2,2.4,8.9,1.7
"05年01月",3.9,2.6,7.1,1.6
"05年02月",1.2,2.5,-1.6,1.9
"05年03月",2,3.7,-1.4,2
"05年04月",3,4.5,0,1.9
"05年05月",2.2,4,-1.4,1.6
"05年06月",1.7,3.5,-2.1,1.2
"05年07月",1.5,3.4,-2.7,0.8
"05年08月",1.1,3.1,-3.1,0.6
"05年09月",1.7,2.6,-0.1,0.5
"05年10月",2.8,2.9,3.1,0.4
"05年11月",1.5,1.1,2.5,0.4
"05年12月",1,1.9,-1.2,0.3
"06年01月",1.4,1.9,0.6,0.3
"06年02月",1.9,2.3,1.3,0.1
"06年03月",-1,1.5,-6.5,0
"06年04月",-7.2,0.4,-25,0.2
"06年05月",-15.3,0.6,-53.7,0.4
"06年06月",-16.2,0.9,-57.7,0.6
"06年07月",-17.8,0.7,-62.6,0.7
"06年08月",-20.2,1.1,-71.8,0.8
"06年09月",-21.2,0.9,-73.3,0.8
"06年10月",-21.3,0.9,-72.8,0.8
"06年11月",-22.3,0.9,-76.4,0.7
"06年12月",-20,0.5,-71.3,0.6
"07年01月",-21.1,0.7,-73.2,0.7
"07年02月",-21.1,1.3,-74.1,0.8
"07年03月",-19.1,1.3,-71.9,0.9
"07年04月",-12.2,1.3,-55.2,0.8
"07年05月",-5.7,1.1,-41.4,0.7
"07年06月",-4.1,1.7,-37.2,0.7
"07年07月",-2.3,1.6,-27.5,0.7
