"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"電子デバイス",0.000624,0.000397,0.000623,0.000569,0.000367,0.000654,0.001189,0.000346,0.000269,0.000213,0.000086,0.000333,0.000322,0.000464,0.00038,0.000373,0.000272,0.000273,0.000334,0.000516,0.000156,0.000509,0.00033,0.000371,0.000291,0.000283,0.00005,0.000222,0.000346,0.000404,0.000298,0.000363,0.000571,0.000407,0.000502,0.000265,0.000326,0.000426,0.000297,0.00021,0.000295,0.000436,0.000519,0.002068,0.004555,0.066028,1.032719,0.022309,0.038629,0.115311,0.14826,0.022511,0.121048,0.180301,0.008039,0.006594,0.010962,0.002318,0.00296,0.009935,0.000541,0.001058,0.00063,0.000896,0.001049,0.000637,0.000181,0.000684,0.000545,0.000359,0.000223,0.000174,0.000119,0.000028,0.000334,0.000699,0.003796,0.000144,0.000763,0.000383,0.000296,0.000323,0.000154,0.000278,0.00051,0.000573,0.000518,0.000545,0.001023,0.000175,0.000557,0.000732,0.000738,0.000447,0.000278,0.00037,0.002455,0.000463,0.016842,0.000326,0.000362,0.000314,0.000309,0.000604,0.000297,0.003115,0.000487
"その他の電子部品",0.001833,0.001155,0.001527,0.001693,0.000872,0.001936,0.003552,0.001022,0.000924,0.000618,0.000266,0.000988,0.00084,0.001375,0.001095,0.001101,0.00083,0.001128,0.00101,0.001589,0.000465,0.00152,0.000989,0.001107,0.00091,0.000903,0.000149,0.000651,0.000996,0.001254,0.000743,0.001072,0.001718,0.001194,0.001476,0.000785,0.000929,0.001231,0.000856,0.00062,0.001062,0.001304,0.004633,0.008907,0.008496,0.0473,0.116799,1.210743,0.036585,0.041975,0.140436,0.022515,0.11805,0.103423,0.012207,0.010586,0.017355,0.004146,0.002871,0.004775,0.001516,0.002086,0.00185,0.001893,0.001961,0.001893,0.000528,0.002033,0.00166,0.000878,0.000708,0.000469,0.000333,0.000088,0.00069,0.002044,0.011209,0.000402,0.001637,0.001167,0.00085,0.000943,0.000534,0.000981,0.002669,0.001833,0.001936,0.002829,0.003716,0.000512,0.002707,0.000934,0.001321,0.000925,0.000703,0.001132,0.006206,0.001858,0.050464,0.000728,0.001063,0.000872,0.000966,0.001157,0.000841,0.02881,0.001625
"産業用電気機器",0.0009,0.000546,0.000681,0.000817,0.000976,0.000958,0.001798,0.000485,0.00033,0.000283,0.000114,0.000467,0.000364,0.000642,0.000667,0.000518,0.000367,0.000358,0.000482,0.000748,0.00023,0.000745,0.000477,0.000532,0.000377,0.000378,0.000073,0.000322,0.000544,0.000564,0.000298,0.000568,0.000841,0.000667,0.00074,0.000389,0.000456,0.00063,0.000407,0.000307,0.000406,0.002147,0.000464,0.019694,0.018052,0.011213,0.000613,0.000904,1.127243,0.021103,0.010022,0.000775,0.00737,0.009344,0.05363,0.037476,0.055864,0.018134,0.008806,0.000888,0.000745,0.002644,0.001239,0.00227,0.005375,0.000946,0.000254,0.001097,0.000779,0.000346,0.000247,0.000175,0.000132,0.000038,0.00071,0.000984,0.005663,0.000377,0.001451,0.000476,0.000385,0.000405,0.000199,0.000314,0.000503,0.000622,0.000573,0.000399,0.000667,0.000211,0.000555,0.000314,0.000523,0.000331,0.000245,0.000432,0.003008,0.000421,0.025666,0.000256,0.000467,0.000371,0.000392,0.000449,0.000317,0.000665,0.000485
"民生用電気機器",0.000222,0.000136,0.000164,0.000202,0.000089,0.000224,0.00042,0.000116,0.000084,0.000072,0.000032,0.000116,0.000092,0.000159,0.00009,0.000129,0.000092,0.00009,0.000121,0.000184,0.000057,0.000183,0.000117,0.000131,0.000098,0.000097,0.000018,0.000079,0.000116,0.00014,0.000074,0.000113,0.000202,0.000121,0.000167,0.000096,0.000112,0.000141,0.0001,0.000075,0.0001,0.000123,0.000106,0.000109,0.000096,0.000107,0.000115,0.000123,0.000101,1.061072,0.000094,0.000086,0.000083,0.000088,0.000101,0.000102,0.000104,0.000322,0.00074,0.000121,0.000199,0.003285,0.000152,0.000163,0.000164,0.000232,0.000061,0.000232,0.000194,0.000086,0.000066,0.000046,0.000034,0.000008,0.000093,0.000291,0.001396,0.000037,0.000236,0.000119,0.000092,0.000124,0.000053,0.000087,0.00022,0.000161,0.000173,0.000535,0.000503,0.000053,0.000142,0.000058,0.000117,0.000079,0.000059,0.000117,0.0008,0.000215,0.006304,0.000081,0.000119,0.000093,0.000101,0.000236,0.000089,0.000099,0.000207
"電子応用装置･電気計測器",0.00008,0.000051,0.000063,0.000073,0.000168,0.000094,0.000164,0.00005,0.000033,0.000032,0.000014,0.000043,0.000036,0.000059,0.000046,0.000048,0.000036,0.000036,0.000044,0.000068,0.00002,0.000066,0.000043,0.000049,0.000036,0.000037,0.000007,0.00003,0.000064,0.000053,0.00003,0.000053,0.000081,0.000072,0.000076,0.000036,0.000042,0.000064,0.000041,0.000029,0.000039,0.000048,0.000044,0.001012,0.005035,0.001614,0.000379,0.000072,0.000373,0.00012,1.017357,0.000044,0.00033,0.000331,0.000093,0.000069,0.000085,0.004155,0.000179,0.000051,0.000073,0.000072,0.000064,0.000097,0.000242,0.000085,0.000024,0.0001,0.000075,0.000037,0.000029,0.000023,0.000015,0.000004,0.000051,0.000089,0.000486,0.000074,0.000077,0.000046,0.000042,0.000047,0.000018,0.000037,0.000053,0.000075,0.000065,0.000039,0.000997,0.000023,0.000057,0.000101,0.000057,0.000037,0.000025,0.000044,0.000264,0.000045,0.002191,0.000095,0.000045,0.000037,0.000038,0.000044,0.000031,0.000072,0.000276
"その他の電気機械",0.000271,0.000247,0.000203,0.000214,0.000952,0.000269,0.000614,0.000206,0.000133,0.000123,0.000051,0.000154,0.000147,0.000192,0.000739,0.000195,0.00015,0.000154,0.000147,0.000233,0.000068,0.000212,0.000153,0.000186,0.000151,0.000155,0.000022,0.000101,0.000183,0.000174,0.000129,0.000168,0.000259,0.00018,0.000351,0.00013,0.000155,0.000193,0.000152,0.000101,0.000144,0.000193,0.000278,0.000802,0.001037,0.003704,0.007389,0.005781,0.007601,0.006833,0.004109,1.050736,0.011626,0.003443,0.01636,0.009457,0.004458,0.001614,0.005728,0.001714,0.000224,0.003457,0.002756,0.001056,0.00165,0.000271,0.000142,0.000527,0.000227,0.000319,0.000111,0.000121,0.000096,0.000039,0.000683,0.000286,0.001519,0.0002,0.000841,0.000253,0.000177,0.000577,0.00008,0.000139,0.000867,0.000236,0.000369,0.000734,0.00058,0.000566,0.000506,0.000161,0.000335,0.000137,0.000101,0.000172,0.000733,0.000481,0.00574,0.000179,0.000289,0.000208,0.000168,0.000673,0.0002,0.000545,0.000426
"通信･映像･音響機器",0.000093,0.000111,0.000136,0.00016,0.000298,0.000103,0.000141,0.000141,0.000134,0.000104,0.000039,0.000094,0.00011,0.000115,0.000128,0.000122,0.000114,0.000102,0.000071,0.000095,0.000029,0.000078,0.000071,0.000093,0.000227,0.000119,0.000015,0.000056,0.000096,0.000121,0.000144,0.000112,0.000125,0.000098,0.000132,0.000055,0.000067,0.000095,0.000096,0.000054,0.000081,0.000212,0.000101,0.000933,0.000172,0.000135,0.000172,0.000144,0.000174,0.000146,0.000172,0.000141,1.005194,0.000285,0.006824,0.00283,0.000144,0.00534,0.000771,0.000168,0.000259,0.00157,0.000638,0.002721,0.002812,0.000108,0.00009,0.000192,0.000116,0.00042,0.000271,0.000374,0.000206,0.000031,0.000215,0.000289,0.000235,0.000203,0.000224,0.000318,0.000178,0.000211,0.000058,0.000155,0.000381,0.000594,0.000325,0.000464,0.001718,0.000091,0.000387,0.000135,0.000108,0.000148,0.000064,0.000207,0.000235,0.000596,0.000513,0.000725,0.000125,0.000302,0.000103,0.000334,0.00009,0.000187,0.000513
"電子計算機･同附属装置",0.00004,0.000036,0.000037,0.000032,0.000021,0.000121,0.000107,0.000028,0.000023,0.000018,0.000007,0.000025,0.000023,0.000038,0.000029,0.000028,0.000024,0.000034,0.000021,0.000034,0.00001,0.000025,0.000019,0.000024,0.000021,0.000023,0.000003,0.000024,0.000026,0.000029,0.00002,0.000026,0.000045,0.000024,0.000039,0.000019,0.000022,0.000031,0.000027,0.000017,0.000023,0.000026,0.000027,0.000031,0.000096,0.000026,0.000035,0.000031,0.000043,0.000028,0.000026,0.000033,0.000069,1.017795,0.000029,0.000028,0.000028,0.000042,0.000047,0.000037,0.00012,0.000058,0.000046,0.000096,0.000131,0.000034,0.000025,0.000035,0.000036,0.000037,0.000031,0.000014,0.000012,0.000003,0.000018,0.000041,0.000354,0.000013,0.000187,0.000039,0.000025,0.000033,0.000016,0.00008,0.000123,0.000044,0.000151,0.000041,0.000045,0.000014,0.000029,0.000024,0.000043,0.000031,0.000045,0.000032,0.001879,0.000065,0.00052,0.000032,0.000042,0.000023,0.000024,0.000029,0.000024,0.000027,0.00004
"乗用車",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"その他の自動車",0.000127,0.000076,0.000092,0.000115,0.000046,0.000126,0.00024,0.000064,0.000045,0.00004,0.000017,0.000065,0.00005,0.00009,0.000049,0.000071,0.00005,0.000049,0.000067,0.000105,0.000032,0.000104,0.000066,0.000074,0.000051,0.000052,0.00001,0.000044,0.000064,0.000079,0.00004,0.000063,0.000114,0.000067,0.000094,0.000054,0.000063,0.00008,0.000056,0.000042,0.000056,0.000069,0.000059,0.000061,0.000054,0.000059,0.000064,0.000068,0.000056,0.000052,0.000052,0.000046,0.000045,0.000048,0.000055,1.041848,0.000058,0.00005,0.00004,0.000064,0.000101,0.000064,0.000085,0.00009,0.00009,0.000133,0.000033,0.000131,0.00011,0.000046,0.000033,0.000024,0.000017,0.000004,0.000031,0.00014,0.000801,0.000018,0.000091,0.000065,0.00005,0.000052,0.000025,0.000043,0.000068,0.000086,0.000078,0.000051,0.000438,0.000029,0.000076,0.000031,0.000065,0.000042,0.000032,0.000059,0.000422,0.000056,0.003658,0.000034,0.000064,0.00005,0.000054,0.000056,0.000042,0.000053,0.00015
